,两轮脚踏自行车产量,中厚宽钢带产量,中小型型钢产量,中成药产量,乙烯产量,传真机产量,农用氮、磷、钾化肥产量,冷轧薄宽钢带产量,初级形态的塑料产量,化学农药原药产量,化学纤维产量,化学药品原药产量,十种有色金属产量,卷烟产量,厚钢板产量,原油产量,原煤产量,原盐产量,原铝(电解铝)产量,发动机产量,发电机组产量,发电量,合成橡胶产量,合成氨产量,合成洗涤剂产量,啤酒产量,复印和胶版印制设备产量,大中型拖拉机产量,大型型钢产量,天然气产量,客车产量,家用吸尘器产量,家用吸排油烟机产量,家用洗衣机产量,家用电冰箱产量,家用电风扇产量,布产量,平板玻璃产量,彩色电视机产量,微型计算机设备产量,成品糖产量,房间空气调节器产量,摩托车整车产量,数码照相机产量,显示器产量,机制纸及纸板产量,柴油产量,棒材产量,橡胶轮胎外胎产量,氧化铝产量,氮肥产量,水泥产量,水电发电量,汽油产量,汽车产量,火电发电量,炼油、化工生产专用设备产量,烧碱(折100%)产量,热轧薄宽钢带产量,焦炭产量,照相机产量,特厚板产量,生铁产量,电话单机产量,硫酸(折100%)产量,磷肥产量,移动通信手持机产量,程控交换机产量,笔记本计算机产量,粗钢产量,精制食用植物油产量,精炼铜产量,纯碱(碳酸钠)产量,纱产量,线材产量,组合音响产量,罐头产量,载货汽车产量,轿车产量,采矿专用设备产量,重轨产量,金属切削机床产量,钢材产量,钢筋产量,铁路客车产量,铁路货车产量,镀层板产量,集成电路产量
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
