,军事学研究生招生数,农学研究生招生数,医学研究生招生数,历史学研究生招生数,哲学研究生招生数,工学研究生招生数,教育学研究生招生数,文学研究生招生数,普通高校军事学研究生招生数,普通高校农学研究生招生数,普通高校医学研究生招生数,普通高校历史学研究生招生数,普通高校哲学研究生招生数,普通高校工学研究生招生数,普通高校教育学研究生招生数,普通高校文学研究生招生数,普通高校法学研究生招生数,普通高校理学研究生招生数,普通高校研究生招生数,普通高校管理学研究生招生数,普通高校经济学研究生招生数,法学研究生招生数,理学研究生招生数,研究生招生数,科研机构军事学研究生招生数,科研机构农学研究生招生数,科研机构医学研究生招生数,科研机构历史学研究生招生数,科研机构哲学研究生招生数,科研机构工学研究生招生数,科研机构教育学研究生招生数,科研机构文学研究生招生数,科研机构法学研究生招生数,科研机构理学研究生招生数,科研机构研究生招生数,科研机构管理学研究生招生数,科研机构经济学研究生招生数,管理学研究生招生数,经济学研究生招生数
1978年,,,,,,,,,,,,,,,,,,,,,,,,1.0708,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,0.811,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,0.3616,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,0.9363,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,1.108,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,1.5642,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,2.3181,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,4.6871,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,4.131,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,3.9017,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,3.5645,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,2.8569,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,2.9649,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,2.9679,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,3.3439,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,4.2145,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,5.0864,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,5.1053,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,5.9398,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,6.3749,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,7.2508,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,9.2225,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,12.8484,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,16.5197,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,20.2611,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,26.8925,,,,,,,,,,,,,,,
2004年,0.0174,1.211,3.3012,0.4572,0.3882,12.075,1.0053,2.4783,0.0173,1.1577,3.2242,0.449,0.3762,11.4834,0.9999,2.4584,2.2407,3.4706,31.0672,3.5379,1.6519,2.2979,4.1067,32.6286,0.0001,0.0533,0.077,0.0082,0.012,0.5916,0.0054,0.0199,0.0572,0.6361,1.5614,0.0518,0.0488,3.5897,1.7007
2005年,0.0219,1.3864,3.834,0.5249,0.4414,13.1345,1.2357,2.8962,0.0216,1.3268,3.7507,0.5173,0.4244,12.5052,1.2293,2.8742,2.4314,3.8531,34.8407,4.0961,1.8106,2.477,4.5193,36.4831,0.0003,0.0596,0.0833,0.0076,0.017,0.6293,0.0064,0.022,0.0456,0.6662,1.6424,0.0545,0.0506,4.1506,1.8612
