,军事学研究生在校学生数,农学研究生在校学生数,医学研究生在校学生数,历史学研究生在校学生数,哲学研究生在校学生数,工学研究生在校学生数,教育学研究生在校学生数,文学研究生在校学生数,普通高校军事学研究生在校学生数,普通高校农学研究生在校学生数,普通高校医学研究生在校学生数,普通高校历史学研究生在校学生数,普通高校哲学研究生在校学生数,普通高校工学研究生在校学生数,普通高校教育学研究生在校学生数,普通高校文学研究生在校学生数,普通高校法学研究生在校学生数,普通高校理学研究生在校学生数,普通高校研究生在校学生数,普通高校管理学研究生在校学生数,普通高校经济学研究生在校学生数,法学研究生在校学生数,理学研究生在校学生数,研究生在校学生数,科研机构军事学研究生在校学生数,科研机构农学研究生在校学生数,科研机构医学研究生在校学生数,科研机构历史学研究生在校学生数,科研机构哲学研究生在校学生数,科研机构工学研究生在校学生数,科研机构教育学研究生在校学生数,科研机构文学研究生在校学生数,科研机构法学研究生在校学生数,科研机构理学研究生在校学生数,科研机构研究生在校学生数,科研机构管理学研究生在校学生数,科研机构经济学研究生在校学生数,管理学研究生在校学生数,经济学研究生在校学生数
1978年,,,,,,,,,,,,,,,,,,,,,,,,1.0934,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,1.883,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,2.1604,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,1.8848,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,2.5847,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,3.7166,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,5.7566,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,8.7331,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,11.0371,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,12.0191,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,11.2776,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,10.1339,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,9.3018,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,8.8128,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,9.4164,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,10.6771,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,12.7935,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,14.5443,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,16.3322,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,17.6353,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,19.8885,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,23.3513,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,30.1239,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,39.3256,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,50.098,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,65.126,,,,,,,,,,,,,,,
2004年,0.0427,2.893,8.1859,1.1319,0.9666,31.8063,2.2812,5.7589,0.0421,2.7772,7.9932,1.1121,0.9327,30.2296,2.2664,5.7105,5.4299,8.5643,77.9408,8.7845,4.0983,5.5575,10.2381,81.9896,0.0006,0.1158,0.1927,0.0198,0.0339,1.5767,0.0148,0.0484,0.1276,1.6738,4.0488,0.1005,0.1442,8.885,4.2425
2005年,0.0546,3.6061,10.0343,1.379,1.1632,36.9738,2.9855,7.3,0.054,3.4548,9.8096,1.3559,1.1216,35.1921,2.9694,7.2409,6.3882,10.1855,93.2711,10.6762,4.8229,6.5272,12.051,97.861,0.0006,0.1513,0.2247,0.0231,0.0416,1.7817,0.0161,0.0591,0.139,1.8655,4.5899,0.1349,0.1523,10.8111,4.9752
2006年,0.0629,4.1442,11.5901,1.563,1.3221,41.2273,3.6702,8.3738,0.0622,3.9638,11.3373,1.5389,1.2771,39.4159,3.6514,8.3064,7.0236,11.4941,105.6283,12.2976,5.26,7.1724,13.4729,110.4653,0.0007,0.1804,0.2528,0.0241,0.045,1.8114,0.0188,0.0674,0.1488,1.9788,4.837,0.1526,0.1562,12.4502,5.4162
2007年,0.0704,4.5285,12.8471,1.6389,1.4708,43.6352,4.098,9.3935,0.0696,4.3269,12.5881,1.6156,1.4231,41.6387,4.0753,9.3215,7.8892,12.5543,114.3637,13.3458,5.5156,8.0311,14.6146,119.5047,0.0008,0.2016,0.259,0.0233,0.0477,1.9965,0.0227,0.072,0.1419,2.0603,5.141,0.157,0.1582,13.5028,5.6738
2008年,0.0733,4.4914,14.003,1.6739,1.5321,46.1951,4.4385,10.4445,0.0726,4.2735,13.7733,1.6495,1.4826,44.1458,4.4135,10.3704,8.9798,13.6696,123.0945,14.4967,5.7672,9.1324,15.7404,128.3046,0.0007,0.2179,0.2297,0.0244,0.0495,2.0493,0.025,0.0741,0.1526,2.0708,5.2101,0.1551,0.161,14.6518,5.9282
2009年,0.0763,4.5325,12.8205,1.7447,1.5911,47.417,4.7368,11.4445,0.0758,4.3124,12.5967,1.72,1.5324,45.3571,4.7105,11.3646,8.5843,14.8023,135.1404,11.3278,5.9989,8.7389,16.8908,140.4942,0.0005,0.2201,0.2238,0.0247,0.0587,2.0599,0.0263,0.0799,0.1546,2.0885,5.3538,0.1716,0.1703,11.4994,6.1692
2010年,0.0762,4.5273,12.8916,1.789,1.6001,49.0374,4.8468,12.084,0.0758,4.3033,12.665,1.7632,1.5432,46.9692,4.8207,12.0001,8.8479,15.6602,148.268,11.6051,6.0904,9.0168,17.757,153.8416,0.0004,0.224,0.2266,0.0258,0.0569,2.0682,0.0261,0.0839,0.1689,2.0968,5.5736,0.1779,0.1756,11.783,6.266
