,中外合作经营零售业企业固定资产合计,中外合资经营零售业企业固定资产合计,其他外商投资零售业企业固定资产合计,其他有限责任公司零售业企业固定资产合计,其他港澳台商投资零售业企业固定资产合计,其他联营零售业企业固定资产合计,其他零售业企业固定资产合计,内资零售业企业固定资产合计,国有与集体联营零售业企业固定资产合计,国有独资公司零售业企业固定资产合计,国有联营零售业企业固定资产合计,国有零售业企业固定资产合计,外商投资股份有限公司零售业企业固定资产合计,外商投资零售业企业固定资产合计,外资零售业企业固定资产合计,有限责任公司零售业企业固定资产合计,港澳台商合作经营零售业企业固定资产合计,港澳台商合资经营零售业企业固定资产合计,港澳台商投资股份有限公司零售业企业固定资产合计,港澳台商投资零售业企业固定资产合计,港澳台商独资经营零售业企业固定资产合计,私营合伙零售业企业固定资产合计,私营有限责任公司零售业企业固定资产合计,私营独资零售业企业固定资产合计,私营股份有限公司零售业企业固定资产合计,私营零售业企业固定资产合计,联营零售业企业固定资产合计,股份合作零售业企业固定资产合计,股份有限公司零售业企业固定资产合计,集体联营零售业企业固定资产合计,集体零售业企业固定资产合计,零售业固定资产合计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,21.3077,44.5742,,97.6555,,4.5594,0.1956,1397.6132,6.3512,15.913,13.8337,583.6534,,68.8247,2.9428,113.5685,15.3131,29.2292,4.4108,49.0011,0.0481,0.1394,11.1258,1.9514,2.7126,15.9292,28.6392,36.4302,471.9433,3.8948,147.254,1515.4
2000年,25.2083,53.9111,,147.7815,,5.2566,0.6122,1398.3888,4.3031,21.2651,4.7554,539.5166,0.0448,79.1843,0.0201,169.0466,15.2603,41.0096,14.8733,71.4871,0.3438,0.6243,26.2731,2.8686,2.7777,32.5436,19.2929,33.3529,480.0286,4.9778,123.9954,1549.0602
2001年,25.9778,62.6304,,193.7102,,7.7243,0.5184,1406.9228,3.6884,23.0962,6.9136,481.2508,,90.4353,1.827,216.8064,13.791,51.7592,2.657,68.6087,0.4017,0.4019,60.9998,6.6457,6.7935,74.8408,18.8942,35.5719,488.4502,0.5679,90.5901,1565.9668
2002年,32.2961,51.1714,,254.7854,,6.5113,0.548,1509.1295,5.5377,25.5305,28.408,437.2664,1.953,93.1647,7.7442,280.3159,8.9875,50.1289,3.5784,63.1517,0.4568,0.7942,75.4059,6.5255,10.3098,93.0353,40.8825,34.3576,537.9039,0.4254,84.82,1665.4459
2003年,15.58226,59.99964,,357.38835,,4.25198,0.62713,1636.56322,6.35237,32.13561,3.88017,430.26694,1.9626,101.93279,24.38829,389.52396,12.6074,41.21418,,65.87789,12.05564,3.22089,111.45042,11.25417,10.24075,136.16623,14.89721,31.49907,551.73066,0.41269,81.85202,1804.36441
