,书报杂志类农村居民消费价格指数(上年=100),娱乐教育文化用品及服务类农村居民消费价格指数(上年=100),学杂托幼费类农村居民消费价格指数(上年=100),教材及参考书类农村居民消费价格指数(上年=100),教育类农村居民消费价格指数(上年=100),文化娱乐用品农村居民消费价格指数(上年=100),文化娱乐类农村居民消费价格指数(上年=100),文娱用耐用消费品及服务类农村居民消费价格指数(上年=100),文娱费类农村居民消费价格指数(上年=100),旅游类农村居民消费价格指数(上年=100)
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,101.3,0.0,115.7,0.0,103.7,105.6,94.2,0.0,0.0
1998年,104.6,96.5,0.0,102.3,0.0,100.6,102.2,92.0,106.4,0.0
1999年,103.8,96.8,0.0,103.1,0.0,99.7,101.4,92.4,101.8,0.0
2000年,104.1,98.1,0.0,108.1,0.0,99.0,101.1,92.5,103.1,0.0
2001年,101.6,106.4,109.9,106.8,109.8,99.3,100.2,94.1,100.1,100.8
2002年,100.3,101.2,103.3,97.7,103.1,98.8,99.8,92.4,101.7,97.6
2003年,100.1071,102.7597,104.9566,100.9852,104.7811,98.6985,99.6243,94.1256,101.5379,98.9988
2004年,100.7459,102.0968,103.7791,103.3739,103.7538,99.2642,100.2186,94.824,101.6645,100.5331
2005年,100.7037,103.7835,106.312,100.7679,105.9517,99.8839,100.6275,95.8508,102.0004,100.5407
2006年,100.64133586,98.59736127,98.37746235,99.62326428,98.49637902,99.76179807,100.89552044,96.10344214,102.98880594,102.12241155
2007年,100.72563144,98.4438637,98.18145876,98.19937265,98.17317633,100.21454639,100.94497613,95.79942873,102.34769461,103.42722386
2008年,101.03311888,99.90152995,100.9471423,100.43818791,100.87924241,101.18145318,101.21716583,95.1243216,101.43932613,100.38440853
2009年,104.611574,100.64159865,102.42855689,102.48301774,102.43845722,100.61805443,102.11215148,93.66579834,101.94482923,98.92797211
2010年,100.8,100.9,101.7,103.0,101.9,100.4,100.9,96.1,101.7,104.3
2011年,100.91180409,100.77188633,101.7,101.13485483,101.66007143,100.85057511,100.82704922,95.95840799,100.74762483,103.89160877
2012年,101.14953644,100.96628818,101.9,101.79901801,101.88619805,100.66190135,101.1089956,96.02549383,101.60946401,103.39609915
2013年,101.18634555,101.83867936,102.4,102.96758902,102.45182551,100.43480589,101.60837156,97.75885659,103.23147613,104.88069901
2014年,100.92732538,101.688163,0.0,101.50660779,101.90461952,100.55962152,101.10720232,98.56686883,101.83471577,105.92119856
