,中国实际利用中国台湾外商其他投资金额,中国实际利用中国澳门外商其他投资金额,中国实际利用中国香港外商其他投资金额,中国实际利用乌兹别克斯坦外商其他投资金额,中国实际利用也门外商其他投资金额,中国实际利用亚洲其他国家(地区)外商其他投资金额,中国实际利用亚洲外商其他投资金额,中国实际利用以色列外商其他投资金额,中国实际利用伊拉克外商其他投资金额,中国实际利用伊朗外商其他投资金额,中国实际利用卡塔尔外商其他投资金额,中国实际利用印度外商其他投资金额,中国实际利用印度尼西亚外商其他投资金额,中国实际利用叙利亚外商其他投资金额,中国实际利用哈萨克斯坦外商其他投资金额,中国实际利用土耳其外商其他投资金额,中国实际利用塔吉克斯坦外商其他投资金额,中国实际利用塞浦路斯外商其他投资金额,中国实际利用孟加拉国外商其他投资金额,中国实际利用尼泊尔外商其他投资金额,中国实际利用巴勒斯坦外商其他投资金额,中国实际利用巴基斯坦外商其他投资金额,中国实际利用巴林外商其他投资金额,中国实际利用文莱外商其他投资金额,中国实际利用斯里兰卡外商其他投资金额,中国实际利用新加坡外商其他投资金额,中国实际利用日本外商其他投资金额,中国实际利用朝鲜外商其他投资金额,中国实际利用柬埔寨外商其他投资金额,中国实际利用沙特阿拉伯外商其他投资金额,中国实际利用泰国外商其他投资金额,中国实际利用科威特外商其他投资金额,中国实际利用约旦外商其他投资金额,中国实际利用缅甸外商其他投资金额,中国实际利用老挝外商其他投资金额,中国实际利用菲律宾外商其他投资金额,中国实际利用蒙古外商其他投资金额,中国实际利用越南外商其他投资金额,中国实际利用阿富汗外商其他投资金额,中国实际利用阿曼外商其他投资金额,中国实际利用阿联酋外商其他投资金额,中国实际利用韩国外商其他投资金额,中国实际利用马来西亚外商其他投资金额,中国实际利用黎巴嫩外商其他投资金额
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,5295,870,91911,0,0,0,113052,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,6390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8525,0,0
1998年,13602,1767,89147,0,0,0,109085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4371,0,80,0,0,0,0,0,0,0,0,0,0,0,0,110,8,0
1999年,15987,2914,103928,0,0,0,132436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,2,0
2000年,24044,3511,122935,0,0,0,166146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,14532,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1081,0,0
2001年,39215,3244,121779,0,0,0,181004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,16079,0,0,0,170,0,0,0,0,0,0,0,0,0,0,348,0,0
2002年,44453,3335,130902,0,0,0,196401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,16608,0,0,0,0,0,0,0,0,0,96,0,0,0,0,793,0,0
2003年,47007,1550,181596,0,0,0,240559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,142,8828,0,0,0,385,0,0,0,0,0,0,0,0,0,0,755,21,0
2004年,34061,191,180673,0,0,10071,232647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,6746,0,0,0,164,0,0,0,0,13,0,0,0,0,0,542,0,0
2005年,40462,826,184920,0,0,0,240763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,551,11662,0,0,0,178,0,0,0,0,5,0,0,240763,0,0,1618,531,0
2006年,674,905,195077,0,0,0,210812,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,919,0
2007年,20698,832,208811,0,0,0,249781,199,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,168,16003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034,600,0
2008年,15968,141,150548,0,0,0,194877,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,185,24667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634,1387,0
2009年,22560,84,65272,0,0,0,115524,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,248,22835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225,1600,0
2010年,12016,44,67314,0,0,0,243721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,163597,0,0,0,0,0,0,0,0,150,0,0,0,0,0,100,0,0
2011年,0,0,78795,0,0,0,105239,1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012年,489,0,109534,0,0,0,117523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,88298,0,0,0,95279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,11777,0,0,0,11777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
