,中成药制造高技术产业利润额,仪器仪表制造业高技术产业利润额,其他电子设备制造高技术产业利润额,化学药品制造高技术产业利润额,医疗仪器设备及器械制造业高技术产业利润额,医疗器械及仪器仪表制造业高技术产业利润额,医药制造业高技术产业利润额,家用视听设备制造业高技术产业利润额,广播电视设备制造业高技术产业利润额,生物、生化制品的制造高技术产业利润额,电子元件制造业高技术产业利润额,电子及通信设备制造业高技术产业利润额,电子器件制造业高技术产业利润额,电子计算机及办公设备制造业高技术产业利润额,电子计算机外部设备制造业高技术产业利润额,电子计算机整机制造业高技术产业利润额,航空航天器制造业高技术产业利润额,通信设备制造业高技术产业利润额,雷达及配套设备制造业高技术产业利润额,高技术产业利润额
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,1780400.0
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,6734600.0
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,14232286.6
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,27251000.0
2009年,2203095.0,2859119.0,700873.0,5087680.0,1120950.0,3980069.0,9939643.0,1448898.0,258302.0,1353209.0,3529814.0,13096044.0,1536052.0,4872488.0,2976784.0,1489466.0,897096.0,5508106.0,113999.0,32785340.0
2010年,3053686.6,4176557.2,927633.8,6675251.9,1255765.9,5432323.1,13310939.1,2467642.2,394057.2,1785091.7,6291402.1,22336962.6,4794905.5,6904505.0,3517713.7,2282593.6,812743.0,7323437.5,137884.3,48797472.8
2011年,4055073.7,5090969.9,1226707.2,7270270.9,1535526.5,6626496.4,16060241.5,2306146.6,475755.7,2244296.7,6088061.8,21618867.6,5067043.4,7103912.4,3780558.3,2874783.0,1039839.9,6273841.4,181311.5,52449357.8
2012年,4716386.8,5415488.0,1476385.1,8380870.4,1871069.3,7286557.3,18658942.1,2426907.0,777290.5,2734262.3,6149331.7,26795063.2,6422840.0,7905331.6,1329967.8,3417033.3,1217509.6,7028553.7,240486.5,61863403.8
2013年,5626220.4,6234558.3,1668913.0,9360138.8,2011073.7,8245632.0,21327062.6,3795279.4,1066935.3,2961365.9,7040713.6,33267794.7,7974307.2,8104261.1,1001815.3,4123789.7,1392728.4,8971594.6,283159.3,72337478.8
2014年,6190998.5,6716737.8,2754321.3,10642334.3,2371827.7,9088565.5,23824659.6,2938270.1,1079565.1,3333587.1,8702965.4,37443878.1,8471865.5,8891512.4,1529269.9,4219878.0,1703461.4,10462546.5,292649.9,80952077.0
