,中成药制造高技术产业主营业务收入,仪器仪表制造业高技术产业主营业务收入,其他电子设备制造高技术产业主营业务收入,化学药品制造高技术产业主营业务收入,医疗仪器设备及器械制造业高技术产业主营业务收入,医疗器械及仪器仪表制造业高技术产业主营业务收入,医药制造业高技术产业主营业务收入,家用视听设备制造业高技术产业主营业务收入,广播电视设备制造业高技术产业主营业务收入,生物、生化制品的制造高技术产业主营业务收入,电子元件制造业高技术产业主营业务收入,电子及通信设备制造业高技术产业主营业务收入,电子器件制造业高技术产业主营业务收入,电子计算机及办公设备制造业高技术产业主营业务收入,电子计算机外部设备制造业高技术产业主营业务收入,电子计算机整机制造业高技术产业主营业务收入,航空航天器制造业高技术产业主营业务收入,通信设备制造业高技术产业主营业务收入,雷达及配套设备制造业高技术产业主营业务收入,高技术产业主营业务收入
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,39171200.0
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,100337200.0
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,339217854.2
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,557289100.0
2009年,19428860.0,33200443.0,12051817.0,47803269.0,9393287.0,42593730.0,90870035.0,39142923.0,4089161.0,9193237.0,81015173.0,284654741.0,61629660.0,164319913.0,64735332.0,92769343.0,13228484.0,85405265.0,1320742.0,595666902.0
2010年,25200275.0,43824305.3,14244617.2,59141963.6,11485125.7,55309431.0,114173048.2,45912578.0,5595079.6,11286571.3,107025252.3,359844293.4,86104422.4,199577277.3,83068616.0,104078402.9,15923710.8,99025481.5,1936862.4,744827760.7
2011年,33444131.0,53757155.7,17292892.5,71181682.6,13629223.6,67386379.3,144843798.6,54890139.9,6469562.2,15252895.5,118655514.0,432063436.7,113183826.5,211635343.5,84483511.6,118201929.1,19343078.5,119264902.5,2306599.1,875272036.6
2012年,41125313.1,61700983.9,24399288.6,83042916.8,16020350.5,77721334.4,173376744.0,61721887.8,9276649.5,19787936.0,130656921.0,527991019.0,127253578.9,220451907.8,27245668.2,126443534.7,23299361.6,137699766.0,3131096.3,1022840366.8
2013年,50225866.4,70098791.0,30438270.6,94338443.5,18535962.5,88634753.5,204842236.9,75607067.8,15540038.2,24037417.8,136138851.3,606338853.1,135606400.5,232141666.2,25055794.1,138934831.1,28531500.7,170189376.5,4441636.4,1160489010.4
2014年,57458164.6,77239474.6,42482148.7,105180734.9,21825532.7,99065007.3,233503300.4,73589130.7,16190073.6,28013384.8,147173393.4,675842084.8,148795349.8,234990666.4,27746780.6,137693434.4,30275630.6,199599439.5,4435240.7,1273676689.5
