,中成药制造高技术产业出口交货值,仪器仪表制造业高技术产业出口交货值,其他电子设备制造高技术产业出口交货值,化学药品制造高技术产业出口交货值,医疗仪器设备及器械制造业高技术产业出口交货值,医疗器械及仪器仪表制造业高技术产业出口交货值,医药制造业高技术产业出口交货值,家用视听设备制造业高技术产业出口交货值,广播电视设备制造业高技术产业出口交货值,生物、生化制品的制造高技术产业出口交货值,电子元件制造业高技术产业出口交货值,电子及通信设备制造业高技术产业出口交货值,电子器件制造业高技术产业出口交货值,电子计算机及办公设备制造业高技术产业出口交货值,电子计算机外部设备制造业高技术产业出口交货值,电子计算机整机制造业高技术产业出口交货值,航空航天器制造业高技术产业出口交货值,通信设备制造业高技术产业出口交货值,雷达及配套设备制造业高技术产业出口交货值,高技术产业出口交货值
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,11252300.0
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,33883800.0
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,176359745.3
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,315039400.0
2009年,483687.0,5787567.0,5244325.0,4945471.0,2805667.0,8593234.0,7471661.0,18857491.0,1598409.0,1002391.0,43977557.0,155420076.0,40904484.0,121430347.0,48820088.0,67999881.0,2082024.0,44810878.0,26931.0,294353000.0
2010年,403635.9,7319723.3,5555139.7,6290504.5,3519898.8,10839622.1,9485827.8,22271437.3,2267290.2,1495436.0,59178776.8,195885315.2,57564738.5,151780065.4,67106795.1,77414851.8,2024979.0,48796319.4,251613.3,370015809.5
2011年,543218.9,7606663.3,5790504.9,6346368.0,4144674.0,11751337.3,10304814.9,26006253.8,2275961.0,1815175.3,61186495.5,222399040.0,70254123.7,158798645.1,67201829.2,85090513.4,2749480.1,56515261.6,370439.5,406003317.4
2012年,546639.7,8079496.2,9644885.7,6989446.3,3941643.2,12021139.4,11649212.5,28853702.8,3323436.8,1839089.2,65970583.6,270490030.5,83766218.9,169263655.5,21186823.8,95009096.7,3586899.2,70550271.4,581417.6,467010937.1
2013年,482215.6,9065725.6,12526567.1,7244460.4,4452189.7,13517915.3,11841674.6,32952192.5,5749506.4,1941409.9,63089742.8,287383675.4,84117743.3,176407068.1,18754110.4,105247509.2,3700573.0,81029274.8,912761.7,492850906.4
2014年,755926.0,9296763.3,14608408.1,7516657.1,4760983.3,14057746.6,13123152.6,33484205.3,5530577.4,2345490.6,64610386.4,314868318.4,94396096.0,161548991.7,19169901.4,93232917.0,4053799.3,95031895.2,529232.0,507652008.6
