,中成药制造高技术产业总产值,仪器仪表制造业高技术产业总产值,其他电子设备制造高技术产业总产值,化学药品制造高技术产业总产值,医疗仪器设备及器械制造业高技术产业总产值,医疗器械及仪器仪表制造业高技术产业总产值,医药制造业高技术产业总产值,家用视听设备制造业高技术产业总产值,广播电视设备制造业高技术产业总产值,生物、生化制品的制造高技术产业总产值,电子元件制造业高技术产业总产值,电子及通信设备制造业高技术产业总产值,电子器件制造业高技术产业总产值,电子计算机及办公设备制造业高技术产业总产值,电子计算机外部设备制造业高技术产业总产值,电子计算机整机制造业高技术产业总产值,航空航天器制造业高技术产业总产值,通信设备制造业高技术产业总产值,雷达及配套设备制造业高技术产业总产值,高技术产业总产值
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,40977600.0
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,104114700.0
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,343671086.0
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,570873800.0
2009年,20572675.0,34208333.0,12436517.0,48905770.0,9734778.0,43943112.0,94433032.0,39184498.0,4246602.0,9806632.0,82591400.0,289471244.0,64470993.0,162927358.0,66552168.0,89602913.0,13530103.0,85312534.0,1228700.0,604304849.0
2010年,26511312.2,44388658.6,14145776.6,59515356.6,11784449.9,56173108.5,117413083.6,44528141.9,5772921.7,12080201.5,108941389.2,359297648.3,88262766.4,198224600.4,84472591.1,101232655.7,15981049.5,95911918.6,1734733.9,747089490.3
2011年,35438025.1,54995108.7,17280684.4,72437677.4,13847105.5,68842214.2,149419874.0,53779939.7,6574928.6,16037049.8,121170025.1,435594944.2,115489605.5,211351751.3,86287162.7,116074374.8,19129748.4,119126613.7,2173147.2,884338532.1
2012年,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,
