,中成药制造高技术产业从业人员年平均人数,仪器仪表制造业高技术产业从业人员年平均人数,其他电子设备制造高技术产业从业人员年平均人数,化学药品制造高技术产业从业人员年平均人数,医疗仪器设备及器械制造业高技术产业从业人员年平均人数,医疗器械及仪器仪表制造业高技术产业从业人员年平均人数,医药制造业高技术产业从业人员年平均人数,家用视听设备制造业高技术产业从业人员年平均人数,广播电视设备制造业高技术产业从业人员年平均人数,生物、生化制品的制造高技术产业从业人员年平均人数,电子元件制造业高技术产业从业人员年平均人数,电子及通信设备制造业高技术产业从业人员年平均人数,电子器件制造业高技术产业从业人员年平均人数,电子计算机及办公设备制造业高技术产业从业人员年平均人数,电子计算机外部设备制造业高技术产业从业人员年平均人数,电子计算机整机制造业高技术产业从业人员年平均人数,航空航天器制造业高技术产业从业人员年平均人数,通信设备制造业高技术产业从业人员年平均人数,雷达及配套设备制造业高技术产业从业人员年平均人数,高技术产业从业人员年平均人数
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,4484239.0
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,3899785.0
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,6633422.0
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,9447700.0
2009年,428684.0,679601.0,280250.0,767596.0,233022.0,912623.0,1604792.0,541130.0,100141.0,129036.0,2213312.0,5100040.0,1035697.0,1632703.0,1022983.0,513380.0,325270.0,893945.0,35565.0,9575428.0
2010年,449042.0,771131.0,295138.0,832429.0,252814.0,1023945.0,1731652.0,573280.0,109621.0,141614.0,2746589.0,6015152.0,1247942.0,1814873.0,1101053.0,546542.0,336630.0,1006802.0,35780.0,10922252.0
2011年,487421.0,789686.0,298025.0,832357.0,241674.0,1031360.0,1786022.0,644624.0,124673.0,153551.0,2584111.0,6356687.0,1431397.0,1945089.0,1162090.0,676008.0,349995.0,1236585.0,37272.0,11469153.0
2012年,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,
