,中成药制造高技术产业利税额,仪器仪表制造业高技术产业利税额,其他电子设备制造高技术产业利税额,化学药品制造高技术产业利税额,医疗仪器设备及器械制造业高技术产业利税额,医疗器械及仪器仪表制造业高技术产业利税额,医药制造业高技术产业利税额,家用视听设备制造业高技术产业利税额,广播电视设备制造业高技术产业利税额,生物、生化制品的制造高技术产业利税额,电子元件制造业高技术产业利税额,电子及通信设备制造业高技术产业利税额,电子器件制造业高技术产业利税额,电子计算机及办公设备制造业高技术产业利税额,电子计算机外部设备制造业高技术产业利税额,电子计算机整机制造业高技术产业利税额,航空航天器制造业高技术产业利税额,通信设备制造业高技术产业利税额,雷达及配套设备制造业高技术产业利税额,高技术产业利税额
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262400.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10334400.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20895651.8
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40238600.0
2009年,3569376.0,4159571.0,995503.0,7920433.0,1473970.0,5633540.0,15176386.0,2108141.0,355008.0,1781559.0,5035244.0,18581945.0,2486802.0,6077714.0,3698123.0,1873658.0,1133427.0,7465028.0,136219.0,46603012.0
2010年,4675278.1,5878767.5,1288921.4,9975114.9,1648653.7,7527421.2,19558867.8,3496088.4,529463.9,2342811.6,8318687.2,30191962.7,6225124.5,9183063.6,4867103.1,2981888.0,1069701.3,10132414.1,201263.2,67531016.6
2011年,6071033.1,7181081.7,1647757.6,11254137.8,2069095.5,9250177.2,23747066.5,3435821.5,658926.4,2985464.0,8394813.8,33566790.8,6785949.4,10177037.4,4877397.8,4706334.3,1397098.5,12382661.1,260861.0,78138170.4
2012年,7521600.9,7994384.7,2235552.1,13182288.4,2540856.9,10535241.6,28570105.7,4512209.7,1051920.7,3766588.0,9237385.8,42864557.0,8881761.2,11156572.7,1727924.8,5066088.0,1816915.6,13258295.4,327313.3,94943392.6
2013年,8935148.9,9258804.9,2624806.1,15027750.6,2647494.3,11906299.2,33162465.5,5893561.6,1536070.5,4269184.4,10693482.6,52778634.5,10725409.5,11483688.9,1436559.8,5908510.9,1838967.0,17168818.7,387331.8,111170055.1
2014年,9869334.0,9935930.0,3884595.6,17207730.5,3295160.4,13231090.4,37248272.2,4406783.5,1516453.6,4766210.5,12702481.0,56851833.1,11070380.1,12089043.2,1935799.8,5818782.3,2465441.0,18669372.9,363968.8,121885679.9
