,中成药制造高技术产业企业数,仪器仪表制造业高技术产业企业数,其他电子设备制造高技术产业企业数,化学药品制造高技术产业企业数,医疗仪器设备及器械制造业高技术产业企业数,医疗器械及仪器仪表制造业高技术产业企业数,医药制造业高技术产业企业数,家用视听设备制造业高技术产业企业数,广播电视设备制造业高技术产业企业数,生物、生化制品的制造高技术产业企业数,电子元件制造业高技术产业企业数,电子及通信设备制造业高技术产业企业数,电子器件制造业高技术产业企业数,电子计算机及办公设备制造业高技术产业企业数,电子计算机外部设备制造业高技术产业企业数,电子计算机整机制造业高技术产业企业数,航空航天器制造业高技术产业企业数,通信设备制造业高技术产业企业数,雷达及配套设备制造业高技术产业企业数,高技术产业企业数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18834
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9758
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17527
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25817
2009年,1510,4422,1110,2494,1262,5684,6807,1088,477,815,6145,12831,2355,1676,1291,162,220,1605,51,27218
2010年,1550,4536,1109,2525,1310,5846,7039,1090,473,862,6674,13425,2485,1642,1101,157,237,1540,54,28189
2011年,1398,3121,833,2172,878,3999,5926,864,365,731,4791,10220,2114,1313,990,154,224,1206,47,21682
2012年,1493,3369,960,2274,974,4343,6387,897,447,821,5091,12215,2356,1387,404,157,304,1323,61,24636
2013年,1555,3623,1095,2366,1084,4707,6839,1039,624,889,5367,13465,2593,1565,441,167,318,1449,58,26894
2014年,1592,3695,1176,2371,1196,4891,7108,1036,626,934,5490,13973,2752,1629,442,172,338,1507,59,27939
