,01章活动物进口额,02章肉及食用杂碎进口额,03章鱼、甲壳动物、软体动物及其他水生无脊椎动物进口额,04章乳品；蛋品；天然蜂蜜；其他食用动物产品进口额,05章其他动物产品进口额,06章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶进口额,07章食用蔬菜、根及块茎进口额,08章食用水果及坚果；甜瓜或柑桔属水果的果皮进口额,09章咖啡、茶、马黛茶及调味香料进口额,10章谷物进口额,11章制粉工业产品；麦芽；淀粉；菊粉；面筋进口额,12章含油子仁及果实；杂项子仁及果实；工业用或药用植物；稻草、秸秆及饲料进口额,13章虫胶；树胶、树脂及其他植物液、汁进口额,14章编结用植物材料；其他植物产品进口额,15章动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡进口额,16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品进口额,17章糖及糖食进口额,18章可可及可可制品进口额,19章谷物、粮食粉、淀粉或乳的制品；糕饼点心进口额,20章蔬菜、水果、坚果或植物其他部分的制品进口额,21章杂项食品进口额,22章饮料、酒及醋进口额,23章食品工业的残渣及废料；配制的动物饲料进口额,24章烟草、烟草及烟草代用品的制品进口额,25章盐；硫磺；泥土及石料；石膏料、石灰及水泥进口额,26章矿砂、矿渣及矿灰进口额,27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡进口额,28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物进口额,29章有机化学品进口额,30章药品进口额,31章肥料进口额,32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料，颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨进口额,33章精油及香膏；芳香料制品及化妆盥洗品进口额,34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂进口额,35章蛋白类物质；改性淀粉；胶；酶进口额,36章炸药；烟火制品；火柴；引火合金；易燃材料制品进口额,37章照相及电影用品进口额,38章杂项化学产品进口额,39章塑料及其制品进口额,40章橡胶及其制品进口额,41章生皮(毛皮除外)及皮革进口额,42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线(蚕胶丝除外)制品进口额,43章毛皮、人造毛皮及其制品进口额,44章木及木制品；木炭进口额,45章软木及软木制品进口额,46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品进口额,47章木浆及其他纤维状纤维素浆；纸及纸板的废碎品进口额,48章纸及纸板；纸浆，纸或纸板制品进口额,49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸进口额,50章蚕丝进口额,51章羊毛、动物细毛或粗毛；马毛纱线及其机织物进口额,52章棉花进口额,53章其他植物纺织纤维；纸纱线及其机织物进口额,54章化学纤维长丝进口额,55章化学纤维短纤进口额,56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品进口额,57章地毯及纺织材料的其他铺地制品进口额,58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品进口额,59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品进口额,60章针织物及钩编织物进口额,61章针织或钩编的服装及衣着附件进口额,62章非针织或非钩编的服装及衣着附件进口额,63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物进口额,64章鞋靴、护腿和类似品及其零件进口额,65章帽类及其零件进口额,66章雨伞、阳伞、手杖、鞭子、马鞭及其零件进口额,67章已加工羽毛、羽绒及其制品；人造花；人发制品进口额,68章石料、石膏、水泥、石棉、云母及类似材料的制品进口额,69章陶瓷产品进口额,70章玻璃及其制品进口额,71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币进口额,72章钢铁进口额,73章钢铁制品进口额,74章铜及其制品进口额,75章镍及其制品进口额,76章铝及其制品进口额,78章铅及其制品进口额,79章锌及其制品进口额,80章锡及其制品进口额,81章其他贱金属，金属陶瓷及其制品进口额,82章贱金属工具、器具、利口器、餐匙、餐叉及其零件进口额,83章贱金属杂项制品进口额,84章核反应堆、锅炉、机械器具及零件进口额,85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件进口额,86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件、附件；各种机械(包括电动机械)交通信号设备进口额,87章车辆及其零件，附件，但铁道及电车道车辆除外进口额,88章航空器，航天器及其零件进口额,89章船舶及浮动结构体进口额,90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件进口额,91章钟表及其零件进口额,92章乐器及其零件，附件进口额,93章武器、弹药及其零件，附件进口额,94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光名牌及类似品；活动房屋进口额,95章玩具、游戏品、运动用品及其零件、附件进口额,96章杂项制品进口额,97章艺术品、收藏品及古物进口额,98章特殊交易品及未分类商品进口额,第一类活动物；动物产品进口额,第七类塑料及其制品；橡胶及其制品进口额,第三类动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡进口额,第九类木及木制品；木炭；软木及软木制品；稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品进口额,第二十一类艺术品、收藏品及古物进口额,第二十二类特殊交易品及未分类商品进口额,第二十类杂项制品进口额,第二类植物产品进口额,第五类矿产品进口额,第八类生皮、皮革、毛皮及其制品；鞍具及挽具；旅行用品、手提包及类似品；动物肠线(蚕胶丝除外)制品进口额,第六类化学工业及其相关工业的产品进口额,第十一类纺织原料及纺织制品进口额,第十七类车辆、航空器、船舶及有关运输设备进口额,第十三类石料、石膏、水泥、石棉、云母及类似材料的制品；陶瓷产品；玻璃及其制品进口额,第十九类武器、弹药及其零件、附件进口额,第十二类鞋、帽、伞、杖、鞭及其零件；已加工的羽毛及其制品；人造花；人发制品进口额,第十五类贱金属及其制品进口额,第十八类光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；钟表；乐器；上述物品的零件、附件进口额,第十六类机器、机械器具、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件进口额,第十四类天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币进口额,第十类木浆及其他纤维状纤维素浆；纸及纸板的废碎品；纸、纸板及其制品进口额,第四类食品；饮料、酒及醋；烟草、烟草及烟草代用品的制品进口额,进口额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10890.0
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15670.0
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20017.0
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22020.0
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19290.0
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21390.0
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27410.0
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42252.09
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42910.0
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43210.0
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55270.0
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59140.0
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53345.0
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63791.0
1992年,20.0,57.0,323.0,69.0,,,38.0,41.0,24.0,1677.0,,116.0,,,,7.0,273.0,,16.0,14.0,,35.0,,204.0,61.0,1149.0,3571.0,,1875.0,319.0,3004.0,500.0,33.0,,,,,,4754.0,555.0,1188.0,58.0,148.0,,,,414.0,1653.0,,174.0,1282.0,1719.0,131.0,2259.0,1979.0,297.0,27.0,376.0,834.0,599.0,138.0,264.0,35.0,377.0,5.0,90.0,34.0,75.0,93.0,289.0,,3583.0,1468.0,1565.0,99.0,669.0,7.0,67.0,13.0,,,,,,61.0,3614.0,,452.0,,,,,,,,,,510.0,5309.0,540.0,1420.0,,,,1987.0,4781.0,1394.0,7175.0,10114.0,6162.0,457.0,,506.0,7844.0,2991.0,24462.0,860.0,2184.0,1093.0,80585.0
1993年,19.0,68.0,364.0,57.0,,,25.0,45.0,14.0,997.0,,103.0,,,,5.0,133.0,,24.0,26.0,,47.0,,200.0,124.0,1214.0,5819.0,,1708.0,263.0,1479.0,592.0,39.0,,,,,,4956.0,599.0,1581.0,68.0,194.0,,,,294.0,1620.0,,181.0,1190.0,1236.0,160.0,2374.0,1844.0,293.0,30.0,378.0,753.0,689.0,132.0,377.0,33.0,380.0,6.0,92.0,35.0,106.0,136.0,308.0,,12058.0,1838.0,1486.0,57.0,582.0,6.0,75.0,17.0,,,,,,90.0,5490.0,,843.0,,,,,,,,,,550.0,5555.0,516.0,1596.0,,,,1277.0,7157.0,1843.0,5610.0,9670.0,8693.0,550.0,,513.0,16553.0,3380.0,35841.0,848.0,2035.0,843.0,103959.0
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115614.0
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132084.0
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138833.0
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142370.0
