,主要港口主要货物吞吐量,主要港口其他货物吞吐量,主要港口化肥和农药吞吐量,主要港口木材吞吐量,主要港口水泥吞吐量,主要港口煤炭及制品吞吐量,主要港口盐吞吐量,主要港口石油、天然气及制品吞吐量,主要港口矿建材料吞吐量,主要港口粮食吞吐量,主要港口金属矿石吞吐量,主要港口钢铁吞吐量,主要港口非金属矿石吞吐量
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,21257.0,1744.0,701.0,305.0,292.0,5212.0,698.0,5526.0,1206.0,1755.0,1779.0,1611.0,428.0
1980年,21731.0,2058.0,725.0,448.0,230.0,5350.0,668.0,5767.0,972.0,1920.0,1766.0,1234.0,593.0
1981年,21931.0,2188.0,737.0,482.0,211.0,5925.0,595.0,5647.0,1141.0,2119.0,1112.0,1197.0,577.0
1982年,23764.0,2287.0,779.0,716.0,270.0,6676.0,628.0,5756.0,1231.0,2263.0,1230.0,1292.0,636.0
1983年,24952.0,2343.0,985.0,893.0,310.0,6907.0,657.0,5790.0,1427.0,1942.0,1333.0,1723.0,642.0
1984年,27549.0,2337.0,1234.0,979.0,250.0,7753.0,604.0,6451.0,1600.0,1927.0,1659.0,2025.0,730.0
1985年,31154.0,2966.0,968.0,1166.0,256.0,8464.0,648.0,7549.0,1450.0,1888.0,2196.0,3000.0,603.0
1986年,37937.0,4357.0,944.0,870.0,417.0,10825.0,899.0,8184.0,2385.0,2528.0,2604.0,3107.0,817.0
1987年,40604.0,4758.0,1786.0,961.0,298.0,12112.0,843.0,8226.0,2413.0,3273.0,2668.0,2275.0,991.0
1988年,45587.371,6007.0,2230.0,1390.0,339.0,14075.0,792.0,8520.0,2721.0,3521.0,2531.0,2243.0,1217.0
1989年,49025.0,6004.0,2108.0,791.0,343.0,16760.0,893.0,8985.0,2961.0,3607.0,2940.0,2063.0,1572.0
1990年,48321.0,6070.0,2281.0,689.0,709.0,16866.0,799.0,8964.0,2467.0,2963.0,3450.0,1593.0,1470.0
1991年,53220.0,6810.0,2462.0,823.0,1259.0,17260.0,712.0,9803.0,2560.0,3752.0,4353.0,1753.0,1675.0
1992年,60380.0,7999.0,2222.0,935.0,1314.0,19991.0,683.0,10733.0,3018.0,4112.0,5014.0,2592.0,1767.0
1993年,67835.0,8607.0,1416.0,1006.0,1874.0,21110.0,673.0,12163.0,3503.0,3649.0,6270.0,5649.0,1915.0
1994年,74370.0,11312.2,1929.0,850.0,2543.0,22349.0,582.0,12464.0,4338.0,3936.5,7863.0,4180.0,2023.0
1995年,80166.0,14332.0,2491.0,823.0,1749.0,23239.0,586.0,12957.0,4970.0,4314.0,8595.0,3837.0,2272.0
1996年,85152.0,16489.0,2277.0,736.0,1606.0,25252.0,493.0,15053.0,5082.0,3396.0,8772.0,3803.0,2193.0
1997年,90822.0,19868.0,2332.0,826.0,1241.0,23892.0,472.0,17499.0,5126.0,3717.0,9842.0,3603.0,2406.0
1998年,92237.0,22855.0,1877.0,797.0,992.0,24188.0,453.0,16038.0,5666.0,3814.0,9981.0,3403.0,2173.0
1999年,105162.0,28960.0,1753.0,902.0,957.0,26319.0,423.0,18773.0,6273.0,4333.0,10410.0,3960.0,2100.0
2000年,125603.0,32999.0,1803.0,1047.0,983.0,32536.0,526.0,23397.0,7255.0,5616.0,11892.0,4970.0,2579.0
2001年,142634.0,39165.0,1718.0,1064.0,1198.0,37203.0,562.0,24407.0,9657.0,5341.0,14606.0,5152.0,2561.0
2002年,166628.0,49600.0,2221.0,1152.0,1203.0,40282.0,658.0,25775.0,12570.0,5564.0,18238.0,6205.0,3161.0
2003年,201126.0,60166.0,1995.0,1294.0,1622.0,46872.0,686.0,30438.0,14689.0,7465.0,24285.0,8416.0,3198.0
2004年,246074.0,75797.0,2223.0,1365.0,2115.0,57113.0,685.0,35051.0,18529.0,7164.0,31769.0,10928.0,3335.0
2005年,292777.0,93469.0,2074.0,1555.0,2230.0,63514.0,822.0,37637.0,24439.0,8590.0,41963.0,12522.0,3962.0
2006年,342191.0,117426.0,1741.0,1603.0,2960.0,70468.0,770.0,39661.0,27597.0,8193.0,51272.0,15497.0,5003.0
2007年,388200.0,140620.0,2344.0,2052.0,3362.0,81924.0,629.0,41718.0,24028.0,8591.0,57967.0,18626.0,6339.0
2008年,429599.0,157217.0,1466.0,1821.0,3245.0,88949.0,627.0,44970.0,30228.0,9135.0,67643.0,18265.0,6033.0
2009年,475480.5847,168163.0,1310.0,2162.0,2620.0,94902.0,413.0,52685.0,31245.0,10483.0,86569.0,19081.0,5846.0
2010年,548358.0,193890.0,1973.0,3343.0,3048.0,116258.0,631.0,60786.0,33729.0,12504.0,93143.0,21226.0,7827.0
2011年,616292.0,220140.0,2063.0,4347.0,4521.0,136949.0,708.0,63982.0,38114.0,12176.0,101537.0,22481.0,9272.0
2012年,665245.0,246431.0,2236.0,4728.0,4571.0,138102.0,734.0,63157.0,47348.0,14309.0,111045.0,23596.0,8988.0
2013年,728098.0,268891.0,2336.0,5111.0,5513.0,150401.0,905.0,64298.0,52935.0,15835.0,124328.0,25848.0,11697.0
2014年,769557.0,290285.0,3320.0,5332.0,6877.0,148649.0,933.0,67207.0,57082.0,16510.0,133244.0,28643.0,11475.0
