,主要港口主要货物出港量,主要港口其他货物出港量,主要港口化肥和农药出港量,主要港口木材出港量,主要港口水泥出港量,主要港口煤炭及制品出港量,主要港口盐出港量,主要港口石油、天然气及制品出港量,主要港口矿建材料出港量,主要港口粮食出港量,主要港口金属矿石出港量,主要港口钢铁出港量,主要港口非金属矿石出港量
1978年,,,,,,,,,,,,,
1979年,10368.0,830.0,223.0,151.0,128.0,2979.0,326.0,3705.0,382.0,359.0,703.0,329.0,253.0
1980年,11054.0,999.0,219.0,167.0,104.0,3138.0,336.0,3904.0,311.0,408.0,722.0,379.0,367.0
1981年,11468.0,1103.0,203.0,183.0,101.0,3537.0,293.0,3870.0,352.0,442.0,512.0,498.0,374.0
1982年,12402.0,1161.0,218.0,198.0,101.0,3966.0,308.0,4019.0,369.0,494.0,614.0,546.0,408.0
1983年,12467.0,1161.0,274.0,251.0,81.0,4118.0,333.0,3985.0,402.0,418.0,657.0,392.0,395.0
1984年,13937.0,1145.0,317.0,231.0,50.0,4697.0,330.0,4570.0,368.0,649.0,739.0,377.0,464.0
1985年,15873.0,1346.0,245.0,265.0,46.0,5105.0,342.0,5484.0,295.0,1056.0,844.0,432.0,413.0
1986年,19512.0,2427.0,328.0,208.0,95.0,6306.0,471.0,5601.0,766.0,1328.0,947.0,558.0,477.0
1987年,21146.0,2675.0,540.0,281.0,88.0,7289.0,442.0,5644.0,766.0,1210.0,1031.0,594.0,587.0
1988年,23844.0,3213.0,618.0,411.0,106.0,8495.0,379.0,5801.0,878.0,1387.0,951.0,885.0,720.0
1989年,25519.0,3303.0,583.0,243.0,128.0,10019.0,418.0,5997.0,891.0,1330.0,1045.0,710.0,854.0
1990年,26010.0,3544.0,610.0,249.0,550.0,10057.0,388.0,6044.0,725.0,1099.0,1195.0,689.0,862.0
1991年,28751.0,3907.0,662.0,304.0,998.0,10474.0,321.0,6263.0,727.0,1864.0,1379.0,866.0,985.0
1992年,31509.0,4436.0,534.0,347.0,906.0,11947.0,308.0,6415.0,845.0,2183.0,1542.0,1038.0,1008.0
1993年,33456.0,4833.0,421.0,404.0,997.0,12626.0,298.0,6549.0,845.0,2169.0,1870.0,1281.0,1163.0
1994年,36946.0,6161.2,511.0,348.0,1393.6,13655.0,260.0,6748.0,922.0,2154.0,2378.0,1146.0,1269.0
1995年,39265.0,7502.0,608.0,398.0,1180.0,14428.0,272.0,6619.0,1069.0,1394.0,2394.0,1914.0,1487.0
1996年,41157.0,8271.0,604.0,334.0,1170.0,15757.0,236.0,6836.0,1212.0,1253.0,2500.0,1591.0,1393.0
1997年,45138.0,10265.0,603.0,405.0,913.0,15051.0,231.0,8155.0,1490.0,1982.0,2598.0,1810.0,1637.0
1998年,45571.0,11287.0,477.0,379.0,629.0,15353.0,225.0,7847.0,1673.0,1999.0,2742.0,1503.0,1456.0
1999年,51415.0,14467.0,429.0,372.0,525.0,16730.0,200.0,8347.0,2121.0,2332.0,2784.0,1717.0,1393.0
2000年,61590.0,16943.0,514.0,457.0,472.0,20641.0,253.0,9261.0,2844.0,2929.0,3158.0,2397.0,1721.0
2001年,69194.0,19918.0,541.0,419.0,430.0,24136.0,248.0,10111.0,3820.0,2308.0,3563.0,2013.0,1687.0
2002年,79736.0,25524.0,610.0,412.0,406.0,25063.0,243.0,10584.0,5109.0,2966.0,4283.0,2514.0,2023.0
2003年,96344.0,31018.0,748.0,440.0,560.0,30477.0,257.0,12125.0,5697.0,3876.0,5721.0,3428.0,1997.0
2004年,115876.0,39480.0,980.0,539.0,649.0,36396.0,249.0,12926.0,6607.0,2795.0,7670.0,5562.0,2023.0
2005年,136085.0,48420.0,717.0,650.0,965.0,40155.0,160.0,13397.0,9191.0,3583.0,9667.0,6934.0,2246.0
2006年,159362.0,61538.0,708.0,701.0,1564.0,44214.0,220.0,13402.0,10224.0,3117.0,11781.0,9709.0,2184.0
2007年,182500.0,73698.0,1260.0,1090.0,1674.0,51035.0,101.0,14325.0,8786.0,3464.0,12578.0,12040.0,2449.0
2008年,198011.0,81695.0,839.0,963.0,1299.0,55518.0,84.0,15379.0,10121.0,3299.0,14418.0,11872.0,2524.0
2009年,202273.0,85882.0,751.0,525.0,886.0,52548.0,59.0,18690.0,10572.0,3606.0,15221.0,11112.0,2423.0
2010年,237778.0,100025.0,1344.0,671.0,849.0,63856.0,67.0,20958.0,11555.0,4036.0,18621.0,12689.0,3109.0
2011年,270162.0,115524.0,1281.0,661.0,1242.0,75729.0,73.0,21200.0,13724.0,4258.0,19508.0,13647.0,3314.0
2012年,284076.0,126752.0,1486.0,651.0,1182.0,74300.0,57.0,19652.0,16375.0,4710.0,21176.0,14428.0,3307.0
2013年,311987.0,138312.0,1561.0,642.0,1571.0,81341.0,58.0,19393.0,19948.0,5387.0,23526.0,16071.0,4177.0
2014年,334653.0,149781.0,2254.0,705.0,2259.0,83428.0,53.0,20189.0,21718.0,5323.0,25283.0,18773.0,4887.0
