,入境游客,入境过夜游客,台湾同胞入境游客,国内居民出境人数,国内居民因私出境人数,国内旅游总花费,国内游客,国际旅游外汇收入,外国人入境游客,旅行社数,星级饭店总数,港澳同胞入境游客
1978年,,71.6,,,,,,263.0,,,,
1979年,,152.9,,,,,,449.0,,,,
1980年,,350.0,,,,,,617.0,,,,
1981年,,376.7,,,,,,785.0,,,,
1982年,,392.4,,,,,,843.0,,,,
1983年,,379.1,,,,,,941.0,,,,
1984年,,514.1,,,,,,1131.0,,,,
1985年,,713.3,,,,,,1250.0,,,,
1986年,,900.1,,,,,,1531.0,,,,
1987年,,1076.0,,,,,,1862.0,,,,
1988年,,1236.1,,,,,,2247.0,,,,
1989年,,936.1,,,,,,1860.0,,,,
1990年,,1048.4,,,,,,2218.0,174.73,,,
1991年,,1246.4,,,,,,2845.0,,,,
1992年,,1651.2,,,,,,3947.0,,,,
1993年,,1898.2,,,,,,4683.0,,,,
1994年,4368.45,2107.0,139.02,373.36,164.23,1023.51,52400.0,7323.0,518.21,4382.0,2995.0,3699.7
1995年,4638.65,2003.4,153.23,452.05,205.39,1375.7,62900.0,8733.0,588.67,3826.0,3720.0,3885.17
1996年,5112.75,2276.5,173.39,506.07,241.39,1638.38,63950.0,10200.0,674.43,4252.0,4418.0,4249.47
1997年,5758.79,2377.0,211.76,532.39,243.96,2112.7,64400.0,12074.0,742.8,4986.0,5201.0,4794.33
1998年,6347.84,2507.3,217.46,842.56,319.02,2391.18,69450.0,12602.0,710.77,6222.0,5782.0,5407.54
1999年,7279.56,2704.7,258.46,923.24,426.61,2831.92,71900.0,14099.0,843.23,7326.0,7035.0,6167.06
2000年,8344.39,3122.9,310.86,1047.26,563.09,3175.54,74400.0,16224.0,1016.04,8993.0,10481.0,7009.93
2001年,8901.29,3316.7,344.2,1213.44,694.67,3522.37,78400.0,17792.0,1122.64,10532.0,7358.0,7434.45
2002年,9790.83,3680.3,366.06,1660.23,1006.14,3878.36,87800.0,20385.0,1343.95,11552.0,8880.0,8080.82
2003年,9166.21,3297.1,273.19,2022.19,1481.09,3442.27,87000.0,17406.0,1140.29,13361.0,9751.0,7752.73
2004年,10903.8218,4176.1,368.525,2885.0,2298.0,4710.71,110200.0,25739.0,1693.2506,14927.0,10888.0,8842.0462
2005年,12029.23,4680.9,410.92,3102.63,2514.0,5285.86,121200.0,29296.0,2025.51,16245.0,11828.0,9592.79
2006年,12494.21,4991.3,441.35,3452.36,2879.91,6229.74,139400.0,33949.0,2221.03,17957.0,12751.0,9831.84
2007年,13187.33,5471.98,462.79,4095.4,3492.4,7770.6,161000.0,41920.0,2610.97,18943.0,13583.0,10113.57
2008年,13002.74,5304.92401959,438.56,4584.44,4013.12,8749.29591842,171200.0,40840.0,2432.53,20110.0,14099.0,10131.65
2009年,12647.59,5087.52,448.4,4765.62,4220.97,10183.7,190200.0,39680.0,2193.75,20399.0,14237.0,10005.44
2010年,13376.22,5566.45,514.06,5738.65,5150.79,12579.77,210300.0,45814.0,2612.69,22784.0,13991.0,10249.48
2011年,13542.35,5758.07,526.3,7025.0,6411.79,19305.39,264100.0,48464.0,2711.2,23690.0,13513.0,10304.85
2012年,13240.53,5772.49,534.02,8318.17,7705.51,22706.2,295700.0,50028.0,2719.1591,24944.0,12807.0,9987.35
2013年,12907.78,5568.59,516.25,9818.52,9197.08,26276.12,326200.0,51663.5389903,2629.0294,26054.0,13293.0,9762.5
2014年,12849.83,5562.2,536.59,10727.55,11002.91,30311.86,361100.0,56913.0,2636.0831,,,9677.16
