,14岁以下外国人入境游客,15-24岁外国人入境游客,25-44岁外国人入境游客,45-64岁外国人入境游客,65岁以上外国人入境游客,会议/商务外国人入境游客,其他外国人入境游客,外国人入境游客,女性外国人入境游客,探亲访友外国人入境游客,服务员工外国人入境游客,男性外国人入境游客,观光休闲外国人入境游客
1978年,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,
1990年,,,,,,,,174.73,62.56,,,112.17,
1991年,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,
1994年,,,,,,,,518.21,,,,,
1995年,,,,,,,,588.67,183.73,,,404.94,
1996年,,,,,,,,674.43,211.68,,,463.75,
1997年,,,,,,,,742.8,241.41,,,501.39,
1998年,24.05,61.7,355.91,229.54,39.57,,,710.77,228.98,,,481.79,
1999年,29.03,67.86,413.8,282.44,50.1,,,843.23,290.16,,,553.07,
2000年,35.71,82.43,494.44,343.53,59.93,,,1016.04,360.07,,,655.97,
2001年,40.49,87.56,545.42,384.84,64.33,198.48,263.63,1122.64,393.81,39.26,128.92,728.83,492.35
2002年,48.16,101.77,651.28,464.96,77.78,322.04,271.28,1343.95,466.44,41.25,153.33,877.51,556.05
2003年,37.72,86.72,591.32,380.8,43.73,290.2,242.17,1140.29,361.71,24.73,152.51,778.58,430.67
2004年,64.1471,131.9684,828.8153,588.2716,80.0482,386.1359,352.7979,1693.2506,572.8543,37.6233,175.4815,1120.3963,741.212
2005年,79.93,164.46,979.74,703.84,97.55,459.81,389.54,2025.51,704.36,40.54,201.16,1321.15,934.46
2006年,88.29,173.24,1031.99,804.46,123.05,554.84,306.73,2221.03,785.62,17.03,209.24,1435.41,1133.19
2007年,107.7706,209.4332,1192.5356,948.3949,152.8325,696.0548,359.5271,2610.97,953.9757,7.9551,233.3458,1656.9911,1314.084
2008年,98.5212,206.1263,1129.098,871.7018,127.0864,567.7694,410.824,2432.53,871.6383,6.791,243.1908,1560.8954,1203.9585
2009年,92.05,171.9,1004.28,796.56,128.95,523.72,421.38,2193.75,763.6,8.01,227.37,1430.15,1013.27
2010年,109.4373,203.0903,1171.3082,965.2027,163.651,619.6744,499.4364,2612.69,933.8077,9.1046,246.2722,1678.8818,1238.2019
2011年,111.9409,212.4373,1227.6183,992.2843,166.9163,632.6416,576.354,2711.2,965.7869,10.9923,269.3903,1745.4102,1221.8189
2012年,111.7885,215.872,1229.7225,988.7022,173.0739,628.0185,630.9924,2719.1591,981.4,10.7722,286.4734,1737.7591,1162.9026
2013年,107.8866,206.6541,1209.1632,950.5407,154.7848,619.3998,657.8889,2629.0294,926.9629,19.9119,319.5303,1702.0665,1012.2985
2014年,103.9237,204.7848,1210.24,961.0014,156.1332,539.5682,814.6557,2636.0831,926.5718,60.332,328.5369,1709.5113,892.9903
