,住宿国际旅游外汇收入,其他服务国际旅游外汇收入,商品销售国际旅游外汇收入,国际旅游外汇收入,娱乐国际旅游外汇收入,市内交通国际旅游外汇收入,民航国际旅游外汇收入,汽车国际旅游外汇收入,游览国际旅游外汇收入,轮船国际旅游外汇收入,邮电通讯国际旅游外汇收入,铁路国际旅游外汇收入,长途交通国际旅游外汇收入,餐饮国际旅游外汇收入
1978年,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,8.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,9.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,15.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,18.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,22.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,22.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,28.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,39.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,46.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,73.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,87.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,120.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,17.37,12.39,25.91,126.02,8.1,4.42,22.37,3.27,5.48,2.88,5.02,3.33,31.85,15.48
1999年,20.34,10.63,27.71,140.99,8.45,5.33,31.4,3.82,7.49,1.98,4.11,4.45,41.65,15.28
2000年,22.05,14.04,32.31,162.24,11.93,5.34,35.02,5.96,7.51,1.86,5.03,5.96,48.8,15.23
2001年,22.42,17.92,37.54,177.92,13.77,6.02,35.88,4.45,8.02,4.51,6.79,5.21,50.05,15.39
2002年,25.65,21.31,42.11,203.85,15.25,8.82,36.61,8.74,14.31,2.6,7.2,4.65,52.6,16.6
2003年,21.64,18.27,36.2,174.06,13.02,7.86,30.9,7.37,12.2,2.2,6.18,3.92,44.38,14.31
2004年,31.24,30.86,57.98,257.39,18.25,10.87,49.52,8.1,13.07,4.63,8.81,4.63,66.88,19.42
2005年,37.75,32.99,63.78,292.96,17.02,10.3,59.28,7.18,12.27,7.44,8.44,9.04,82.94,27.48
2006年,48.97,30.06,112.07,339.49,12.53,12.01,66.63,3.1,9.86,1.24,5.11,2.79,73.76,35.12
2007年,59.38,46.83,104.94,419.2,21.1,12.42,87.91,6.94,18.0,8.87,7.61,7.71,111.43,37.48
2008年,48.6,35.6,85.34,408.4,29.7,13.55,90.47,10.47,22.02,10.47,10.02,13.46,124.87,38.73
2009年,44.34,34.91,91.49,396.8,28.82,13.29,85.84,9.58,20.8,9.22,9.55,12.77,117.41,36.14
2010年,51.95,40.15,115.9,458.14,31.72,14.6,98.08,10.81,21.07,9.56,10.68,12.47,130.91,41.15
2011年,50.98,41.41,118.56,484.64,34.66,16.19,114.697865937,14.0625736014,25.32,8.34965307585,10.36,14.0625736014,151.172666215,35.98
2012年,52.1092471269,40.6775721163,111.5436782,500.28,36.1276537474,16.1016771315,131.644413794,15.5413544063,25.5532969663,9.14197318016,7.91075788444,16.4555517243,172.783293105,37.4736729678
2013年,59.758304259,40.011412828,111.818591439,516.635389903,35.9131515236,14.4353907352,134.103281211,13.6455970355,30.921625651,10.8223700626,7.92435887502,15.9982861796,174.569534489,41.2830201028
2014年,69.5,45.77,113.28,569.13,36.74,16.04,145.79,15.68,32.54,13.59,11.04,20.9,195.95,48.28
