,住宿业客房收入,住宿业客房数,住宿业年末从业人数,住宿业床位数,住宿业法人企业数,住宿业营业额,住宿业餐费收入,住宿业餐饮营业面积,住宿和餐饮业年末从业人数,住宿和餐饮业法人企业数,住宿和餐饮业营业额,住宿和餐饮业餐费收入,住宿和餐饮业餐饮营业面积,餐饮业年末从业人数,餐饮业法人企业数,餐饮业营业额,餐饮业餐费收入,餐饮业餐饮营业面积
1978年,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,6350650.0,47578.0,,,
1995年,,,,,,,,,,,,,,7100962.0,45201.0,,,
1996年,,,,,,,,,,,,,,7753108.0,48240.0,,,
1997年,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,660850.0,3266.0,442.59012,,
2000年,,,,,,,,,,,,,,664749.0,3508.0,528.5,,
2001年,,,,,,,,,,,,,,779370.0,4132.0,618.7,,
2002年,,,,,,,,,,,,,,978043.0,5021.0,740.3,,
2003年,,,,,,,,,,,,,,1132733.0,5935.0,896.20292,,
2004年,554.7,,1282173.0,,9232.0,1170.5,438.8,,2621418.0,19299.0,2331.0,,,1339245.0,10067.0,1160.5,1030.8,
2005年,661.1,,1529270.0,,9444.0,1353.3,507.8,,2874000.0,19366.0,2613.5,,,1344263.0,9922.0,1260.2,1124.0,
2006年,742.2,,1622808.0,,10269.0,1551.9,607.2,,3112000.0,22091.0,3125.5,,,1489402.0,11822.0,1573.6,1410.6,
2007年,851.67481,,1744142.0,286.9,10971.0,1804.28477,715.70944,1969.6,3418000.0,25041.0,3711.5,2427.02687,5117.9,1673561.0,14070.0,1907.21515,1711.31743,3148.3
2008年,1064.5796,215.5468,1998667.0,379.9867,14628.0,2231.6117,887.6696,2256.7984,4000366.0,37151.0,4824.4296,3246.0579,6171.382,2001699.0,22523.0,2592.8179,2358.3883,3914.5836
2009年,1041.19403,201.6684,2000484.0,351.4658,14498.0,2260.69973,931.7793,2308.1091,4006540.0,35192.0,4947.05993,3373.08644,6093.8927,2006056.0,20694.0,2686.3602,2441.30714,3785.7836
2010年,1309.7602,224.8983,2108179.0,393.2213,15713.0,2797.84297,1143.86846,2269.6452,4311167.0,37308.0,5992.9874,4037.09646,6249.3863,2202988.0,21595.0,3195.14443,2893.228,3979.7411
2011年,1535.3203,254.3225,2156638.0,426.4094,16506.0,3261.893,1321.9823,4279.699,4434618.0,39002.0,7070.9417,4755.7566,9630.8019,2277980.0,22496.0,3809.0487,3433.7743,5351.1029
2012年,1617.91349,336.0,2107502.0,548.7,17109.0,3534.43884,1476.03171,4641.6287,4544590.0,40499.0,7954.2841,5442.76114,10000.7573,2437088.0,23390.0,4419.84526,3966.72943,5359.1286
2013年,1705.42678,265.5144,2094185.0,439.5387,18437.0,3527.99,1374.45077,3880.3242,4561878.0,45180.0,8061.32118,5430.51778,9473.842,2467693.0,26743.0,4533.33118,4056.06701,5593.5178
2014年,1739.1883,319.9,1978522.0,523.0,18874.0,3535.2496,1333.4728,4014.2,4324000.0,45508.0,8150.6,5453.7,9570.0,2345474.0,26634.0,4615.3,4120.2,5555.8
