,交通运输、仓储和邮政业实际利用外商直接投资金额,住宿和餐饮业实际利用外商直接投资金额,信息传输、计算机服务和软件业实际利用外商直接投资金额,公共管理和社会组织实际利用外商直接投资金额,农、林、牧、渔业实际利用外商直接投资金额,制造业实际利用外商直接投资金额,卫生、社会保障和社会福利业实际利用外商直接投资金额,国际组织实际利用外商直接投资金额,实际利用外商直接投资金额,居民服务和其他服务业实际利用外商直接投资金额,建筑业实际利用外商直接投资金额,房地产业实际利用外商直接投资金额,批发和零售业实际利用外商直接投资金额,教育实际利用外商直接投资金额,文化、体育和娱乐业实际利用外商直接投资金额,水利、环境和公共设施管理业实际利用外商直接投资金额,电力、燃气及水的生产和供应业实际利用外商直接投资金额,科学研究、技术服务和地质勘查业实际利用外商直接投资金额,租赁和商务服务业实际利用外商直接投资金额,采矿业实际利用外商直接投资金额,金融业实际利用外商直接投资金额
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2751500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3376700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3752100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4172600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,165513.0,0.0,0.0,0.0,62763.0,2811983.0,0.0,0.0,4525700.0,198802.0,143782.0,516901.0,0.0,0.0,0.0,0.0,207191.0,0.0,0.0,94033.0,0.0
1998年,164513.0,0.0,0.0,0.0,62375.0,2558238.0,0.0,0.0,4546300.0,296315.0,206423.0,641006.0,0.0,0.0,0.0,0.0,310279.0,0.0,0.0,57809.0,0.0
1999年,155114.0,0.0,0.0,0.0,71015.0,2260334.0,0.0,0.0,4031900.0,0.0,91658.0,558831.0,0.0,0.0,0.0,0.0,370274.0,0.0,0.0,55714.0,9767.0
2000年,101188.0,0.0,0.0,0.0,67594.0,2584417.0,0.0,0.0,4071500.0,218544.0,90542.0,465751.0,0.0,0.0,0.0,0.0,224212.0,0.0,0.0,58328.0,7629.0
2001年,90890.0,0.0,0.0,0.0,89873.0,3090747.0,0.0,0.0,4687800.0,0.0,80670.0,513655.0,0.0,0.0,0.0,0.0,227276.0,0.0,0.0,81102.0,3527.0
2002年,91346.0,0.0,0.0,0.0,102764.0,3679998.0,0.0,0.0,5274300.0,0.0,70877.0,566277.0,0.0,0.0,0.0,0.0,137508.0,0.0,0.0,58106.0,10665.0
