,交通运输、仓储和邮政业签订外商直接投资项目数,住宿和餐饮业签订外商直接投资项目数,信息传输、计算机服务和软件业签订外商直接投资项目数,公共管理和社会组织签订外商直接投资项目数,农、林、牧、渔业签订外商直接投资项目数,制造业签订外商直接投资项目数,卫生、社会保障和社会福利业签订外商直接投资项目数,居民服务和其他服务业签订外商直接投资项目数,建筑业签订外商直接投资项目数,房地产业签订外商直接投资项目数,批发和零售业签订外商直接投资项目数,教育签订外商直接投资项目数,文化、体育和娱乐业签订外商直接投资项目数,水利、环境和公共设施管理业签订外商直接投资项目数,电力、燃气及水的生产和供应业签订外商直接投资项目数,科学研究、技术服务和地质勘查业签订外商直接投资项目数,租赁和商务服务业签订外商直接投资项目数,签订外商直接投资项目数,采矿业签订外商直接投资项目数,金融业签订外商直接投资项目数
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,470.0,,
1984年,,,,,,,,,,,,,,,,,,1856.0,,
1985年,,,,,,,,,,,,,,,,,,3073.0,,
1986年,,,,,,,,,,,,,,,,,,1498.0,,
1987年,,,,,,,,,,,,,,,,,,2233.0,,
1988年,,,,,,,,,,,,,,,,,,5945.0,,
1989年,,,,,,,,,,,,,,,,,,5779.0,,
1990年,,,,,,,,,,,,,,,,,,7273.0,,
1991年,,,,,,,,,,,,,,,,,,12978.0,,
1992年,,,,,,,,,,,,,,,,,,48764.0,,
1993年,,,,,,,,,,,,,,,,,,83437.0,,
1994年,,,,,,,,,,,,,,,,,,47549.0,,
1995年,,,,,,,,,,,,,,,,,,37011.0,,
1996年,,,,,,,,,,,,,,,,,,24556.0,,
1997年,279.0,,,,814.0,14716.0,,1400.0,455.0,862.0,,,,,156.0,,,21001.0,154.0,
1998年,274.0,,,,876.0,13477.0,,1634.0,318.0,834.0,,,,,142.0,,,19799.0,168.0,
1999年,205.0,,,,762.0,12042.0,,1474.0,247.0,669.0,,,,,116.0,,,16918.0,130.0,
2000年,306.0,,,,821.0,15988.0,,2679.0,233.0,684.0,,,,,107.0,,,22347.0,162.0,
2001年,297.0,,,,887.0,19106.0,,,256.0,820.0,,,,,136.0,,,26140.0,149.0,8.0
2002年,405.0,,,,975.0,24930.0,,,329.0,1316.0,,,,,185.0,,,34171.0,164.0,17.0
2003年,506.0,,,,1116.0,29281.0,,,396.0,1553.0,,,,,333.0,,,41081.0,211.0,23.0
2004年,,,,,,,,,,,,,,,,,,43664.0,,
2005年,734.0,1207.0,1493.0,,1058.0,28928.0,22.0,329.0,457.0,2120.0,2602.0,51.0,272.0,139.0,390.0,926.0,2981.0,44001.0,252.0,40.0
2006年,665.0,1060.0,1378.0,,951.0,24790.0,20.0,236.0,352.0,2398.0,4664.0,27.0,241.0,132.0,375.0,1035.0,2885.0,41473.0,208.0,52.0
2007年,658.0,938.0,1392.0,,1048.0,19193.0,13.0,270.0,308.0,1444.0,6338.0,15.0,207.0,154.0,352.0,1716.0,3539.0,37871.0,234.0,51.0
2008年,523.0,633.0,1286.0,1.0,917.0,11568.0,10.0,205.0,262.0,452.0,5854.0,24.0,170.0,138.0,320.0,1839.0,3138.0,27514.0,149.0,25.0
2009年,395.0,502.0,1081.0,,896.0,9767.0,18.0,207.0,220.0,569.0,5100.0,20.0,158.0,183.0,238.0,1066.0,2864.0,23435.0,99.0,52.0
2010年,396.0,579.0,1046.0,2.0,929.0,11047.0,12.0,217.0,276.0,689.0,6786.0,12.0,168.0,143.0,210.0,1299.0,3418.0,27406.0,92.0,85.0
2011年,413.0,513.0,993.0,1.0,865.0,11114.0,11.0,212.0,215.0,466.0,7259.0,15.0,152.0,151.0,214.0,1357.0,3518.0,27712.0,87.0,156.0
2012年,397.0,505.0,926.0,3.0,882.0,8970.0,24.0,192.0,209.0,472.0,7029.0,11.0,145.0,122.0,187.0,1287.0,3229.0,24925.0,53.0,282.0
2013年,401.0,436.0,796.0,,757.0,6504.0,18.0,166.0,180.0,530.0,7349.0,22.0,151.0,107.0,200.0,1241.0,3359.0,22773.0,47.0,509.0
2014年,376.0,567.0,981.0,,719.0,5178.0,22.0,181.0,230.0,446.0,7978.0,20.0,194.0,99.0,208.0,1611.0,3963.0,23778.0,35.0,970.0
