,中外合作经营连锁零售企业零售营业面积,中外合资经营连锁零售企业零售营业面积,其他外商投资连锁零售企业零售营业面积,其他有限责任公司连锁零售企业零售营业面积,其他港澳台商投资连锁零售企业零售营业面积,其他联营连锁零售企业零售营业面积,其他连锁零售企业零售营业面积,内资连锁零售企业零售营业面积,国有与集体联营连锁零售企业零售营业面积,国有独资公司连锁零售企业零售营业面积,国有联营连锁零售企业零售营业面积,国有连锁零售企业零售营业面积,外商投资股份有限公司连锁零售企业零售营业面积,外商投资连锁零售企业零售营业面积,外资连锁零售企业零售营业面积,有限责任公司连锁零售企业零售营业面积,港澳台商合作经营连锁零售企业零售营业面积,港澳台商合资经营连锁零售企业零售营业面积,港澳台商投资股份有限公司连锁零售企业零售营业面积,港澳台商投资连锁零售企业零售营业面积,港澳台商独资经营连锁零售企业零售营业面积,私营合伙连锁零售企业零售营业面积,私营有限责任公司连锁零售企业零售营业面积,私营独资连锁零售企业零售营业面积,私营股份有限公司连锁零售企业零售营业面积,私营连锁零售企业零售营业面积,联营连锁零售企业零售营业面积,股份合作连锁零售企业零售营业面积,股份有限公司连锁零售企业零售营业面积,连锁零售企业零售营业面积,集体联营连锁零售企业零售营业面积,集体连锁零售企业零售营业面积
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
