,专用设备制造业私营工业企业出口交货值,交通运输设备制造业私营工业企业出口交货值,仪器仪表及文化办公用机械制造业私营工业企业出口交货值,其他矿采选业私营工业企业出口交货值,其它制造业私营工业企业出口交货值,化学原料及化学制品制造业私营工业企业出口交货值,化学纤维制造业私营工业企业出口交货值,医药制造业私营工业企业出口交货值,印刷业、记录媒介的复制私营工业企业出口交货值,塑料制品业私营工业企业出口交货值,家具制造业私营工业企业出口交货值,文教体育用品制造业私营工业企业出口交货值,普通机械制造业私营工业企业出口交货值,有色金属冶炼及压延加工业私营工业企业出口交货值,有色金属矿采选业私营工业企业出口交货值,服装及其他纤维制品制造业私营工业企业出口交货值,木材加工及竹、藤、棕、草制品业私营工业企业出口交货值,木材及竹材采运业私营工业企业出口交货值,橡胶制品业私营工业企业出口交货值,烟草加工业私营工业企业出口交货值,煤气生产和供应业私营工业企业出口交货值,煤炭采选业私营工业企业出口交货值,电力、蒸汽、热水的生产和供应业私营工业企业出口交货值,电子及通信设备制造业私营工业企业出口交货值,电气机械及器材制造业私营工业企业出口交货值,皮革、毛皮、羽绒及其制品业私营工业企业出口交货值,石油加工及炼焦业私营工业企业出口交货值,石油和天然气开采业私营工业企业出口交货值,私营工业企业出口交货值,纺织业私营工业企业出口交货值,自来水的生产和供应业私营工业企业出口交货值,造纸及纸制品业私营工业企业出口交货值,金属制品业私营工业企业出口交货值,非金属矿物制造业私营工业企业出口交货值,非金属矿采选业私营工业企业出口交货值,食品制造业私营工业企业出口交货值,食品加工业私营工业企业出口交货值,饮料制造业私营工业企业出口交货值,黑色金属冶炼及压延加工业私营工业企业出口交货值,黑色金属矿采选业私营工业企业出口交货值
2001年,15.4411,43.93053,5.92698,0.14612,90.82734,44.21751,11.49824,10.96953,0.81982,33.43286,13.50666,52.47445,70.27388,17.43469,2.85003,169.91241,29.77636,,6.97503,,,0.03,,17.56877,75.71723,85.76878,1.40656,,1194.97899,187.65565,0.21923,6.79743,94.42897,32.37679,4.12304,13.27738,41.34937,6.78542,7.01163,0.0492
2002年,21.34462,72.49,10.48085,0.03123,121.72591,59.54636,10.52838,11.95725,2.07984,53.09546,26.90462,72.68586,115.11721,18.80586,2.86521,271.28789,39.70938,,10.87762,,,,,30.38158,138.30245,142.83389,2.71461,,1837.85457,291.42668,,8.28816,151.65366,43.12297,7.86851,17.28504,65.4409,8.09826,8.90431,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
