,涉外亲属关系公证办证件数,涉外公司章程公证办证件数,涉外公证文书办证件数,涉外其他公证办证件数,涉外其他法律文书公证办证件数,涉外其他经济合同公证办证件数,涉外出生公证办证件数,涉外副本等与原本相符公证办证件数,涉外受、未受刑事处分公证办证件数,涉外商标注册公证办证件数,涉外国籍公证办证件数,涉外声明书公证办证件数,涉外委托书公证办证件数,涉外婚姻状况公证办证件数,涉外学历公证办证件数,涉外担保公证办证件数,涉外收养公证办证件数,涉外死亡公证办证件数,涉外法人资格公证办证件数,涉外生存、居住公证办证件数,涉外签名印鉴属实公证办证件数,涉外经历公证办证件数,涉外继承权公证办证件数,涉外职称公证办证件数,涉外营业证书公证办证件数,涉外贷款公证办证件数,涉外遗嘱公证办证件数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,47811.0,73.0,357684.0,51135.0,3079.0,815.0,83904.0,22257.0,43529.0,37.0,6444.0,2931.0,1449.0,48281.0,29022.0,232.0,670.0,2571.0,146.0,965.0,,9085.0,779.0,788.0,1157.0,105.0,419.0
1989年,124479.0,131.0,772555.0,84949.0,14104.0,1569.0,163642.0,50456.0,79677.0,247.0,11625.0,4966.0,2684.0,100073.0,70737.0,223.0,1270.0,3861.0,126.0,1205.0,,51031.0,1395.0,2995.0,239.0,602.0,269.0
1990年,103337.0,371.0,809216.0,120124.0,10030.0,4582.0,181156.0,28918.0,75056.0,404.0,7354.0,9481.0,3144.0,101642.0,63348.0,11873.0,1973.0,21469.0,577.0,1441.0,,42147.0,2393.0,2963.0,13504.0,1690.0,239.0
1991年,90200.0,389.0,939255.0,194355.0,20080.0,1926.0,170922.0,59001.0,101573.0,474.0,6105.0,7769.0,4297.0,97286.0,131497.0,1306.0,1823.0,4940.0,2475.0,1443.0,,28451.0,5368.0,3537.0,379.0,2663.0,996.0
1992年,94844.0,262.0,1022464.0,295870.0,19651.0,11316.0,157648.0,13112.0,93842.0,88.0,3083.0,9573.0,7940.0,96936.0,168557.0,504.0,1862.0,5021.0,742.0,1732.0,,27166.0,3961.0,3830.0,989.0,3031.0,904.0
1993年,101921.0,731.0,1039483.0,238346.0,21042.0,11544.0,174612.0,76359.0,112277.0,64.0,4657.0,12680.0,9308.0,105602.0,111204.0,865.0,2308.0,7394.0,1950.0,3402.0,,28900.0,2375.0,4973.0,1441.0,1344.0,4184.0
1994年,111355.0,905.0,980287.0,137412.0,18990.0,21996.0,171448.0,86554.0,104865.0,390.0,7139.0,15510.0,14973.0,106082.0,116004.0,673.0,4280.0,9133.0,1316.0,4531.0,,32543.0,3852.0,4505.0,2562.0,2288.0,981.0
1995年,153613.0,949.0,1350661.0,240396.0,24850.0,11813.0,218932.0,119757.0,163498.0,666.0,15373.0,17115.0,15383.0,145914.0,121014.0,1332.0,8621.0,9340.0,1718.0,8256.0,,48101.0,4157.0,8348.0,2263.0,2830.0,6422.0
1996年,176070.0,2160.0,1708333.0,311761.0,38486.0,13963.0,268067.0,154244.0,175771.0,589.0,27728.0,26801.0,23901.0,187874.0,148118.0,5172.0,7310.0,17559.0,2351.0,12565.0,,71862.0,6193.0,16692.0,6355.0,2743.0,3998.0
1997年,161926.0,2257.0,1688921.0,167207.0,23784.0,16054.0,251558.0,276528.0,172445.0,2517.0,51635.0,27626.0,14086.0,172815.0,148817.0,1606.0,5845.0,12898.0,2444.0,19585.0,66215.0,64071.0,3729.0,14005.0,6537.0,1407.0,1324.0
