,人民法院审理一审案件收案数,人民法院审理刑事一审案件收案数,人民法院审理民事一审案件收案数,人民法院审理海事海商一审案件收案数,人民法院审理经济纠纷一审案件收案数,人民法院审理行政一审案件收案数
1978年,447755,146968,300787,0,0,0
1979年,513789,123846,389943,0,0,0
1980年,763535,197856,565679,0,0,0
1981年,906051,232125,673926,0,0,0
1982年,1024160,245219,778941,0,0,0
1983年,1343164,542648,756436,0,43553,527
1984年,1355460,431357,838307,0,84813,983
1985年,1319741,246655,846391,238,225541,916
1986年,1611282,299720,989409,301,321220,632
1987年,1875229,289614,1213219,346,366110,5940
1988年,2290624,313306,1455130,569,513046,8573
1989年,2913515,392564,1815385,725,694907,9934
1990年,2916774,459656,1851897,753,591462,13006
1991年,2901685,427840,1880635,951,566592,25667
1992年,3051157,422991,1948786,1654,650601,27125
1993年,3414845,403267,2089257,1830,892580,27911
1994年,3955475,482927,2383764,1959,1051742,35083
1995年,4545676,495741,2718533,2847,1275959,52596
1996年,5312580,618826,3093995,3945,1515848,79966
1997年,5288379,436894,3277572,4534,1478822,90557
1998年,5410798,482164,3375069,5166,1450049,98350
1999年,5692434,540008,3519244,5736,1529877,97569
2000年,5356294,560432,3412259,6976,1290867,85760
2001年,5344934,628996,3459025,6891,1149101,100921
2002年,5132199,631348,4420123,0,0,80728
2003年,5130760,632605,4410236,0,0,87919
2004年,5072881,647541,4332727,0,0,92613
2005年,5161170,684897,4380095,0,0,96178
2006年,5183794,702445,4385732,0,0,95617
2007年,5550062,724112,4724440,0,0,101510
2008年,6288831,767842,5412591,0,0,108398
2009年,6688963,768507,5800144,0,0,120312
2010年,6999350,779595,6090622,0,0,129133
2011年,7596116,845714,6614049,0,0,136353
2012年,8442657,996611,7316463,0,0,129583
2013年,8876733,971567,7781972,11224,0,123194
2014年,9489787,1040457,8307450,12174,0,141880
