,35岁以下妇联干部数,36-45岁妇联干部数,46-55岁妇联干部数,56岁以上妇联干部数,事业编制妇联干部数,共产党员妇联干部数,共青团员妇联干部数,博士研究生妇联干部数,县处级妇联干部数,参加党校培训的妇联干部数,参加博士研究生学历教育妇联干部数,参加参照公务员管理培训的妇联干部数,参加大学、大专学历教育妇联干部数,参加岗位培训的妇联干部数,参加硕士研究生学历教育妇联干部数,司局级妇联干部数,大学本科、大专学历妇联干部数,妇联干部总数,少数民族干部妇联干部数,招聘干部妇联干部数,民主党派妇联干部数,省(区、市)妇联领导进同级人大人数,省(区、市)妇联领导进同级党委人数,省(区、市)妇联领导进同级政协人数,硕士研究生妇联干部数,科以下妇联干部数,群众妇联干部数,行政编制妇联干部数,调入妇联干部数,调出妇联干部数,高中、中专及以下妇联干部数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,56761,30332,9512,961,7217,59097,21549,15784,1013,0,0,0,6676,37542,0,132,17615,97566,14638,21191,1136,24,22,24,0,96421,15784,69158,1273,8262,79951
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,24570,47197,10349,718,4944,54038,13271,14244,2739,0,0,0,4025,9391,149,321,30146,82834,10834,12554,1281,88,13,33,698,79774,14244,65336,2010,1629,51990
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,21362,23442,7332,393,8930,40714,4728,19,6027,10458,9,13045,10914,15555,672,344,36163,52529,9008,5058,324,24,21,23,709,46158,6763,38541,4256,3159,15638
2003年,25174,23153,4039,283,10473,41733,4893,19,5809,13822,6,13587,6555,21659,661,376,38909,52649,8999,3560,338,25,19,32,808,46464,5685,38616,4215,3331,12913
2004年,25998,23028,8024,286,10570,44868,4754,19,3679,14227,8,13762,6032,20394,677,335,45046,57336,6911,1956,371,24,20,30,889,53322,7343,44810,3331,2667,11382
2005年,28355,24897,7976,337,10912,49516,4556,13,3201,18625,43,23088,6447,22637,820,255,50380,61565,9156,1659,599,33,18,30,1127,58109,6894,48994,3385,2918,10045
2006年,32444,31485,10584,723,16733,60408,4010,10,3300,21654,10,22883,10839,18503,913,314,60277,75236,11500,3965,567,14,23,19,1531,71622,10251,54538,5580,5120,13418
2007年,31309,30758,11836,2241,20993,60259,3768,65,3501,24358,8,21541,10519,19814,160,304,61972,76144,10229,3669,452,28,23,30,1973,72339,11665,51482,4674,4291,12134
2008年,32738,31687,12521,621,21481,61396,3954,65,3391,25094,9,20443,6319,19607,966,344,68536,77567,10304,6473,474,30,25,32,2041,73832,11743,49613,4970,3547,6925
2009年,30020,30702,11101,1236,17161,60248,3785,29,3496,26689,18,19855,7239,18812,1000,658,62211,73059,10294,3862,474,27,16,30,2261,68905,8552,52036,4610,3961,8558
2010年,31617,33682,11871,952,18132,63322,3624,23,4013,24022,8,17056,7064,16041,841,355,67057,78122,12118,5902,385,25,14,25,2937,73754,10791,54088,6151,5644,8105
2011年,33976,39148,15233,1594,24809,71782,5186,51,4342,10372,8,20977,8291,24790,954,342,76447,89951,14260,6895,521,24,16,19,3184,85267,12462,58247,8023,7479,10269
2012年,31253,33007,12695,1119,0,62558,4180,57,4213,9786,65,32040,4354,22114,689,357,62808,78074,13603,0,574,29,24,22,3320,73504,10762,0,7051,6087,11889
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
