,企业在职职工参加养老保险人数,企业离退休人员参加养老保险人数,参加养老保险人数,在职职工参加养老保险人数,离退人员参加养老保险人数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,4816.9,893.4,5710.3,4816.9,893.4
1990年,5200.7,965.3,6166.0013,5200.7013,965.3
1991年,5653.7,1086.6,6740.2757,5653.7,1086.5757
1992年,7774.7,1681.5,9456.2,7774.7,1681.5
1993年,8008.2,1839.4,9847.6,8008.2,1839.4
1994年,8494.1,2079.4,10573.54,8494.14,2079.4
1995年,8737.8,2241.2,10978.9929,8737.7929,2241.2
1996年,8758.4,2358.3,11116.7,8758.4,2358.3
1997年,8670.9,2533.0,11203.9,8670.9,2533.0
1998年,8475.8,2727.3,11203.1,8475.8,2727.3
1999年,8859.2,2863.8,12485.4,9501.8,2983.6
2000年,9469.9,3016.5,13617.3965,10447.4965,3169.9
2001年,9733.0,3171.3,14182.5203,10801.885,3380.6353
2002年,9929.4,3349.2,14736.6,11128.8,3607.8
2003年,10324.5,3556.9,15506.7,11646.5,3860.2
2004年,10903.9,3775.0,16352.9,12250.3,4102.6
2005年,11710.6,4005.2,17487.9,13120.4,4367.5
2006年,12618.0,4238.6,18766.3,14130.9,4635.4
2007年,13690.6,4544.0,20136.9,15183.2,4953.7
2008年,15083.3717,4868.0,21891.0987,16587.5367,5303.562
2009年,16219.0,5348.0295,23549.8912,17743.0348,5806.8564
2010年,17822.7375,5811.6131,25707.2989,19402.3383,6304.9606
2011年,19970.0,6314.0,28391.2689,21565.0499,6826.219
2012年,21360.9444,6910.9327,30426.7982,22981.1156,7445.6825
2013年,22564.6934,7484.8058,32218.3756,24177.326,8041.0495
2014年,23932.3019,8013.5596,34124.3791,25530.9879,8593.3912
