,调解婚姻家庭纠纷数,调解房屋、宅基地纠纷数,调解损害赔偿纠纷数,调解纠纷数合计,调解邻里纠纷数
1978年,0,0,0,0,0
1979年,0,0,0,0,0
1980年,0,0,0,0,0
1981年,0,0,0,0,0
1982年,0,0,0,0,0
1983年,0,0,0,0,0
1984年,1726897,1063962,654195,6748583,0
1985年,1626436,1035618,570595,6332912,0
1986年,1890600,1107453,535584,7307049,0
1987年,2884765,1024296,482920,6966053,889502
1988年,3026280,974217,511273,7255199,925105
1989年,3065668,947975,526141,7341030,956102
1990年,3120948,894349,528148,7409220,989827
1991年,2853325,859857,531927,7125524,1074351
1992年,1979592,721004,464736,6173209,946080
1993年,2504711,687822,442967,6222958,947589
1994年,2499177,659980,492325,6123729,899226
1995年,2453843,641074,415886,6028481,883281
1996年,2364072,591567,414518,5802230,838157
1997年,2278068,556670,394960,5543166,800775
1998年,2059543,544742,386595,5267194,794588
1999年,1923175,538843,387208,5188646,764541
2000年,1951114,532656,364585,5030619,740161
2001年,1861409,522359,353218,4860695,729237
2002年,1753027,482739,353371,4636157,694451
2003年,1657030,454171,335132,4492157,690547
2004年,1140130,398759,340021,4414233,793917
2005年,1049969,388032,332514,4486825,836919
2006年,1015616,386350,346018,4628018,929423
2007年,1005181,350105,406640,4800238,913173
2008年,1019226,364572,449054,4981370,993980
2009年,1143913,364977,545094,5797300,1241838
2010年,1596880,590628,643448,8418393,1791702
2011年,1761612,614109,727803,8935341,2043793
2012年,1772695,626444,730610,9265855,2213346
2013年,1750137,625880,745469,9439429,2276627
2014年,1842000,647000,727000,9330000,2361000
