,交通运输、仓储和邮政业外商投资企业投资总额,住宿和餐饮业外商投资企业投资总额,信息传输、计算机服务和软件业外商投资企业投资总额,其他外商投资企业投资总额,农、林、牧、渔业外商投资企业投资总额,制造业外商投资企业投资总额,卫生、社会保障和社会福利业外商投资企业投资总额,外商投资企业投资总额,居民服务和其他服务业外商投资企业投资总额,建筑业外商投资企业投资总额,房地产业外商投资企业投资总额,批发和零售业外商投资企业投资总额,教育外商投资企业投资总额,文化、体育和娱乐业外商投资企业投资总额,水利、环境和公共设施管理业外商投资企业投资总额,电力、燃气及水的生产和供应业外商投资企业投资总额,科学研究、技术服务和地质勘查业外商投资企业投资总额,租赁和商务服务业外商投资企业投资总额,采矿业外商投资企业投资总额,金融业外商投资企业投资总额
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,102587.42,,,,,,,,,,,,
1993年,,,,,,,,382388.77,,,,,,,,,,,,
1994年,,,,,,,,490724.46,,,,,,,,,,,,
1995年,,,,,,,,639008.54,,,,,,,,,,,,
1996年,,,,,,,,715322.02,,,,,,,,,,,,
1997年,25956.0,,,,12451.0,398009.0,,753470.0,,22192.0,150784.0,,,,,44565.0,,,8586.0,1357.0
1998年,3069.0,,,,918.0,410308.0,,774229.0,,23716.0,156569.0,,,,,47459.0,,,3208.0,1777.0
1999年,32659.0,,,,9112.0,410291.0,,778567.52,,22894.0,154890.0,,,,,47852.0,,,2978.0,1764.0
2000年,33205.0,,,,9215.0,453632.0,,824675.0,,22131.0,151247.0,,,,,49105.0,,,2770.0,1999.0
2001年,41442.0,,,13994.0,9135.0,491322.0,,875011.0,,21547.0,149094.0,,,,,49505.0,,,3282.0,2089.0
2002年,44588.0,,,21407.0,10371.0,572761.0,,981893.0,,22937.0,148033.0,,,,,53898.0,,,3658.0,2530.0
2003年,56725.7023,,,19683.4957,11929.7302,670808.7496,,1117351.0,,25548.6789,156168.685,,,,,56224.3016,,,3929.4209,3603.26
2004年,,,,,,,,1311200.0,,,,,,,,,,,,
2005年,45910.0,,,25070.0,23460.0,895500.0,,1463990.0,,28100.0,185160.0,,,,,75950.0,,,6380.0,4670.0
2006年,57200.0,28200.0,34900.0,15400.0,25710.0,1041200.0,2200.0,1707600.0,10000.0,30800.0,227100.0,37800.0,500.0,13800.0,10200.0,86600.0,32200.0,39600.0,8100.0,5900.0
2007年,67913.9833745,35103.3144,59970.250175,7398.0048,23229.4635,1264627.9277,2308.13012,2108800.0,8160.7538,34741.7489,271239.5041,52447.7705688,578.3264,14645.77778,11348.6713,101967.108551,47590.381048,75873.621722,9568.4446,20076.2214
2008年,77361.4119,37294.816,70023.2099,8609.9235,25081.0864,1351960.2446,2521.031,2324130.4661,8289.3302,38951.9467,296320.5255,73962.9723,841.5654,14103.0945,13424.5402,112249.042,58624.9329,95749.4392,11115.4547,27645.8991
2009年,84293.5202,39237.6583,102472.6819,13059.9994,27902.0494,1388522.5744,2460.9156,2500000.0,7908.0087,40820.7815,308968.0958,83703.7502,947.4762,13254.8607,15081.8997,130608.9625,69868.4185,117110.9763,13757.7277,39984.9553
2010年,90700.0,37200.0,106300.0,13400.0,32500.0,1430600.0,2500.0,2705900.0,9300.0,64400.0,357000.0,103200.0,900.0,14200.0,17000.0,139600.0,91400.0,136700.0,15100.0,43700.0
2011年,107836.3614,37805.4921,91220.8143,14283.1248,37498.31,1559487.3504,2901.631,2993124.0213,10172.2057,71250.7631,399850.8638,129513.9998,951.9569,19220.4987,19275.6005,147555.7045,113994.0552,160132.9434,16548.901,53623.4447
2012年,,,,,,,,3261047.7725,,,,,,,,,,,,
2013年,131875.7554,37514.5577,97992.1444,10949.8517,44435.8265,1734205.036,3830.934,3517608.4657,11711.2077,76122.9504,499055.2357,196207.8441,1061.6785,20374.2885,21342.0612,169454.9678,147439.3579,209723.6959,17171.8024,87139.2699
2014年,137500.9451,37450.3364,69980.589,1173.3655,52214.4917,1832859.9603,5287.6064,3797728.6231,13169.229,66933.8602,558723.0626,236797.2796,1092.7993,22975.2073,24917.1657,177863.5627,177506.4771,262787.9587,18337.815,100156.9115
