,交通运输、仓储和邮政业外商投资企业数,住宿和餐饮业外商投资企业数,信息传输、计算机服务和软件业外商投资企业数,其他外商投资企业数,农、林、牧、渔业外商投资企业数,制造业外商投资企业数,卫生、社会保障和社会福利业外商投资企业数,外商投资企业数,居民服务和其他服务业外商投资企业数,建筑业外商投资企业数,房地产业外商投资企业数,批发和零售业外商投资企业数,教育外商投资企业数,文化、体育和娱乐业外商投资企业数,水利、环境和公共设施管理业外商投资企业数,电力、燃气及水的生产和供应业外商投资企业数,科学研究、技术服务和地质勘查业外商投资企业数,租赁和商务服务业外商投资企业数,采矿业外商投资企业数,金融业外商投资企业数
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,84371.0,,,,,,,,,,,,
1993年,,,,,,,,167507.0,,,,,,,,,,,,
1994年,,,,,,,,206096.0,,,,,,,,,,,,
1995年,,,,,,,,233564.0,,,,,,,,,,,,
1996年,,,,,,,,240447.0,,,,,,,,,,,,
1997年,3359.0,,,,7289.0,165636.0,,235681.0,,7112.0,13872.0,,,,,1314.0,,,2115.0,81.0
1998年,3474.0,,,,5538.0,161293.0,,227807.0,,6696.0,13911.0,,,,,1349.0,,,1506.0,77.0
1999年,3471.0,,,,5259.0,150020.0,,212436.0,,6172.0,13395.0,,,,,1345.0,,,1277.0,65.0
2000年,3352.0,,,,5066.0,142754.0,,203208.0,,5610.0,12732.0,,,,,1301.0,,,1131.0,72.0
2001年,3499.0,,,1538.0,4752.0,141668.0,,202306.0,,5139.0,11925.0,,,,,1268.0,,,1047.0,74.0
2002年,3540.0,,,2060.0,4640.0,146515.0,,208056.0,,4197.0,11850.0,,,,,1185.0,,,957.0,87.0
2003年,3660.0,,,2604.0,4957.0,159789.0,,226373.0,,4098.0,12203.0,,,,,1349.0,,,903.0,119.0
2004年,,,,,,,,242284.0,,,,,,,,,,,,
2005年,4339.0,,,3956.0,5752.0,179949.0,,353030.0,,3927.0,13265.0,,,,,1820.0,,,979.0,175.0
2006年,4743.0,6194.0,7045.0,535.0,5821.0,187458.0,210.0,376711.0,3311.0,3876.0,14438.0,15786.0,196.0,2308.0,786.0,1980.0,6954.0,12070.0,970.0,182.0
2007年,5149.0,6382.0,7717.0,551.0,6005.0,189030.0,209.0,406442.0,2770.0,3738.0,14741.0,19968.0,187.0,2239.0,816.0,2126.0,8919.0,14437.0,947.0,301.0
2008年,10106.0,13714.0,63084.0,8028.0,7399.0,199526.0,240.0,434937.0,5371.0,4883.0,18578.0,50358.0,274.0,2425.0,995.0,3351.0,11756.0,29776.0,1096.0,3977.0
2009年,10605.0,14995.0,64166.0,2885.0,7157.0,191671.0,239.0,434248.0,5220.0,4807.0,17758.0,56388.0,296.0,2279.0,1016.0,3696.0,12958.0,32395.0,1052.0,4665.0
2010年,10577.0,16091.0,64300.0,2999.0,7103.0,187547.0,243.0,445244.0,5138.0,4922.0,18143.0,64291.0,316.0,2354.0,1034.0,3931.0,14813.0,34875.0,1039.0,5528.0
2011年,10494.0,17481.0,57836.0,2964.0,6993.0,181017.0,229.0,446487.0,5001.0,4812.0,17826.0,73163.0,318.0,2276.0,1021.0,3920.0,16212.0,37491.0,991.0,6442.0
2012年,,,,,,,,440609.0,,,,,,,,,,,,
2013年,11337.0,22000.0,43421.0,880.0,6661.0,166195.0,217.0,445962.0,4754.0,4839.0,17497.0,91146.0,406.0,2613.0,1008.0,4222.0,18664.0,40593.0,870.0,8639.0
2014年,11390.0,24219.0,43433.0,1058.0,6784.0,161168.0,235.0,460699.0,4527.0,5033.0,17522.0,100565.0,410.0,2851.0,1055.0,4338.0,20970.0,44381.0,836.0,9924.0
