,经济活动人口
1978年,40682
1979年,41592
1980年,42903
1981年,44165
1982年,45674
1983年,46707
1984年,48433
1985年,50112
1986年,51546
1987年,53060
1988年,54630
1989年,55707
1990年,65323
1991年,66091
1992年,66782
1993年,67468
1994年,68135
1995年,68855
1996年,69765
1997年,70800
1998年,72087
1999年,72791
2000年,73992
2001年,73884
2002年,74492
2003年,74911
2004年,75290
2005年,76120
2006年,76315
2007年,76531
2008年,77046
2009年,77510
2010年,78388
2011年,78579
2012年,78894
2013年,79300
2014年,79690
