,交通运输、仓储和邮政业其他单位就业人员平均工资,住宿和餐饮业其他单位就业人员平均工资,信息传输、计算机服务和软件业其他单位就业人员平均工资,公共管理和社会组织其他单位就业人员平均工资,其他单位就业人员平均工资,农、林、牧、渔业其他单位就业人员平均工资,制造业其他单位就业人员平均工资,卫生、社会保障和社会福利业其他单位就业人员平均工资,居民服务和其他服务业其他单位就业人员平均工资,建筑业其他单位就业人员平均工资,房地产业其他单位就业人员平均工资,批发和零售业其他单位就业人员平均工资,教育其他单位就业人员平均工资,文化、体育和娱乐业其他单位就业人员平均工资,水利、环境和公共设施管理业其他单位就业人员平均工资,电力、燃气及水的生产和供应业其他单位就业人员平均工资,科学研究、技术服务和地质勘查业其他单位就业人员平均工资,租赁和商务服务业其他单位就业人员平均工资,采矿业其他单位就业人员平均工资,金融业其他单位就业人员平均工资
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,11238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,12437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,13486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,14843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,16519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,18362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,27578,15922,53807,11765,21004,12677,18394,21225,17410,16780,23181,19959,23099,22712,20388,29663,40707,34514,24513,42687
2007年,30892,17780,56392,13994,24271,14686,21210,24600,21014,18825,27004,23594,27494,25384,23390,34314,48861,37443,28291,51553
2008年,36041,19800,65686,21586,28552,17400,24401,28831,20566,21767,31556,28358,31211,29567,26869,38968,57827,43406,34246,62044
2009年,37883,21064,68067,17849,31350,19456,26617,30579,22877,24325,33311,30717,32663,32898,27154,41931,61697,45078,38640,67574
2010年,43176,23505,74178,21392,35801,21359,30609,34672,25536,27522,37102,35109,35282,37107,30217,47164,67716,50179,44907,77445
2011年,48362,27313,81005,23891,41323,23851,36360,38803,30287,32097,43183,42596,38912,44958,33331,52377,76446,60406,52703,88882
2012年,53592,30827,90839,28113,46360,27612,41453,45020,33992,36476,47983,47882,43473,51217,37466,58293,83362,65637,57001,97706
2013年,57720,33400,96618,34486,51453,34310,46297,50173,37738,42476,52052,50700,47194,60288,43213,66489,87590,74632,61475,109161
2014年,62749,36830,105724,38391,56485,35689,51163,54309,40752,46367,56459,55971,51494,65926,46682,72330,93884,78859,62481,117537
