,个体城镇就业人员,国有单位城镇就业人员,城镇就业人员,城镇集体单位城镇就业人员,外商投资单位城镇就业人员,有限责任公司城镇就业人员,港澳台商投资单位城镇就业人员,私营企业城镇就业人员,联营单位城镇就业人员,股份合作单位城镇就业人员,股份有限公司城镇就业人员
1978年,15.0,0.0,9514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,32.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,81.0,0.0,10525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,113.0,0.0,11053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,147.0,0.0,11428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,231.0,0.0,11746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,339.0,0.0,12229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,450.0,0.0,12808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,483.0,0.0,13292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,569.0,0.0,13783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,659.0,0.0,14267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,648.0,0.0,14390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,614.0,0.0,17041.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0
1991年,692.0,0.0,17465.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0
1992年,740.17,0.0,17861.0,0.0,0.0,0.0,0.0,97.78,0.0,0.0,0.0
1993年,929.52,0.0,18262.0,0.0,0.0,0.0,0.0,186.14,0.0,0.0,0.0
1994年,1225.0,0.0,18653.0,0.0,0.0,0.0,0.0,332.4,0.0,0.0,0.0
1995年,1560.0,0.0,19040.0,0.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0
1996年,1709.0,0.0,19922.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0
1997年,1919.0,0.0,20781.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0
1998年,2259.0,0.0,21616.0,0.0,0.0,0.0,0.0,973.0,0.0,0.0,0.0
1999年,2414.2402,0.0,22412.0,0.0,0.0,0.0,0.0,1052.6269,0.0,0.0,0.0
2000年,2136.1331,8101.9,23151.0,1499.3089,331.9638,687.4916,310.3174,1267.9076,42.123,155.0559,456.8793
2001年,2131.2452,7639.9,24123.0,1291.0,345.3,841.0,325.6,1526.7667,44.7,153.3,482.6
2002年,2268.8127,7162.9,25159.0,1122.0,391.0,1082.9,366.5,1998.6714,45.1,160.9,538.3
2003年,2376.9726,6875.6,26230.0,999.9,453.743,1261.0834,409.3837,2545.1667,44.0109,173.2829,591.5956
2004年,2521.2246,6709.9251,27293.0,897.1599,563.0,1436.0,469.8,2993.729,44.1,192.4,624.9
2005年,2777.7137,6488.199,28389.0,809.9329,688.4023,1750.2596,556.8311,3458.4308,45.0436,187.7297,698.791
2006年,3012.4858,6430.4735,29630.0,763.6301,796.1619,1920.4701,611.076,3954.28067,44.5942,177.6975,741.2296
2007年,3310.0,6424.0,30953.0,718.0,903.0,2075.0,680.0,4581.0,43.0,170.0,788.0
2008年,3609.0,6447.0,32103.0,662.0,943.0,2194.0,679.0,5124.0,43.0,164.0,840.0
2009年,4244.5466,6420.1597,33322.0,618.1304,977.9,2433.4,720.9,5544.3278,37.1,160.0,956.3
2010年,4467.4994,6516.4379,34687.0,597.496,1053.4669,2613.3865,769.6504,6070.9069,36.4807,155.9031,1023.863
2011年,5227.0,6704.1993,35914.0,603.0617,1217.0,3269.0,932.0,6912.0,37.0,149.0,1183.0
2012年,5643.0,6839.0,37102.0,589.0,1246.0,3787.0,969.0,7557.0,39.0,149.0,1243.0
2013年,6142.0,6365.0,38240.0,566.0,1566.0,6069.0,1397.0,8242.0,25.0,108.0,1721.0
2014年,7009.3121,6312.3127,39310.0,536.7103,1562.0827,6315.131,1392.8339,9857.3503,22.1159,103.2483,1751.1618
