,个体乡村就业人员,乡村就业人员,私营企业乡村就业人员
1978年,,30638.0,
1979年,,31025.0,
1980年,,31836.0,
1981年,,32672.0,
1982年,,33867.0,
1983年,,34690.0,
1984年,,35968.0,
1985年,,37065.0,
1986年,,37990.0,
1987年,,39000.0,
1988年,,40067.0,
1989年,,40939.0,
1990年,1491.0,47708.0,113.0
1991年,1616.0,48026.0,116.0
1992年,1727.54,48291.0,134.06
1993年,2009.78,48546.0,186.48
1994年,2550.9,48802.0,316.0
1995年,3054.0,49025.0,470.6
1996年,3308.3,49028.0,551.1
1997年,3522.4,49039.0,599.7
1998年,3855.1,49021.0,736.5
1999年,3826.6744,48982.0,968.9209
2000年,2933.8783,48934.0,1138.5879
2001年,2629.025,48674.0,1187.0977
2002年,2474.1207,48121.0,1410.6304
2003年,2259.5692,47506.0,1753.9699
2004年,2065.8835,46971.0,2023.5223
2005年,2122.8275,46258.0,2365.6348
2006年,2147.1915,45348.0,2632.01563
2007年,2186.6279,44368.0,2672.0829
2008年,2166.9655,43461.0,2780.2879
2009年,2340.8332,42506.0,3062.6375
2010年,2540.0644,41418.0,3346.6697
2011年,2718.3961,40506.0,3441.7202
2012年,2985.6494,39602.0,3738.6837
2013年,3193.4699,38737.0,4279.2408
2014年,3575.2485,37943.0,4533.0477
