,城镇登记失业人数,城镇登记失业率
1978年,530.0,5.3
1979年,567.6,5.4
1980年,541.5,4.9
1981年,439.5,3.8
1982年,379.4,3.2
1983年,271.4,2.3
1984年,235.7,1.9
1985年,238.5,1.8
1986年,264.4,2.0
1987年,276.6,2.0
1988年,296.2,2.0
1989年,377.9,2.6
1990年,383.2,2.5
1991年,352.2,2.3
1992年,363.9,2.3
1993年,420.1,2.6
1994年,476.4,2.8
1995年,519.6,2.9
1996年,552.8,3.0
1997年,576.8,3.1
1998年,571.0,3.1
1999年,575.0,3.1
2000年,595.0,3.1
2001年,681.0,3.6
2002年,770.0,4.0
2003年,800.0,4.3
2004年,827.0,4.2
2005年,839.0,4.2
2006年,847.0,4.1
2007年,830.0,4.0
2008年,886.0,4.2
2009年,921.0,4.3
2010年,908.0,4.1
2011年,922.0,4.1
2012年,917.0,4.1
2013年,926.0,4.05
2014年,952.0,4.09
