,中学国家财政性教育经费,中等专业学校国家财政性教育经费,中等职业学校国家财政性教育经费,其它类别学校国家财政性教育经费,农村普通初中国家财政性教育经费,农村普通小学国家财政性教育经费,国家财政性教育经费,小学国家财政性教育经费,幼儿园国家财政性教育经费,成人中专学校国家财政性教育经费,成人中学国家财政性教育经费,成人小学国家财政性教育经费,成人高等学校国家财政性教育经费,技工学校国家财政性教育经费,教育事业单位国家财政性教育经费,教育行政单位国家财政性教育经费,普通中学国家财政性教育经费,普通初中国家财政性教育经费,普通小学国家财政性教育经费,普通高中国家财政性教育经费,普通高等学校国家财政性教育经费,特殊教育学校国家财政性教育经费,职业高中国家财政性教育经费,高等学校国家财政性教育经费
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,6178286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,7287505.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,8677618.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,11747395.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,14115233.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,16717045.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,5578057.0,1307937.0,0.0,871027.0,0.0,3841222.0,18625416.3,6387064.0,220813.0,219278.0,13777.0,8305.0,280379.0,264239.0,0.0,0.0,5564280.0,0.0,6378759.0,0.0,3057455.0,67692.0,0.0,3337833.0
1998年,6005216.0,1254834.0,0.0,1017890.0,0.0,4130190.0,20324525.7,7007328.0,242177.0,194027.0,12623.0,7408.0,270275.0,260352.0,0.0,0.0,5992593.0,0.0,6999920.0,0.0,3567538.0,74100.0,0.0,3837813.0
1999年,6671228.9,1360576.9,0.0,1068944.2,0.0,4548153.3,22871756.1,7711763.9,275445.9,212061.5,12427.3,7055.6,296710.7,273278.0,0.0,0.0,6658801.6,0.0,7704708.3,0.0,4431601.2,81966.6,0.0,4728311.9
2000年,7500204.7,1396990.8,0.0,1184665.4,0.0,4967060.9,25626055.7,8493472.9,309974.8,226027.8,11052.1,5929.2,325201.6,276612.1,0.0,0.0,7489152.6,0.0,8487543.7,0.0,5311853.8,95716.5,0.0,5637055.4
2001年,9139116.4,1399673.0,0.0,1586207.5,0.0,6100089.2,30570099.5,10239873.6,363854.5,225382.7,11311.6,6336.8,331983.6,252763.1,0.0,0.0,9127804.8,0.0,10233536.8,0.0,6328003.5,116097.8,0.0,6659987.1
2002年,10623978.5,1356574.7,0.0,1782495.3,0.0,7100910.9,34914047.5,11641506.9,416389.4,226145.3,10665.7,4637.7,353713.3,196713.5,0.0,0.0,10613312.8,0.0,11636869.2,0.0,7521462.8,133194.5,0.0,7875176.1
