,中学教育经费,中等专业学校教育经费,中等职业学校教育经费,其它类别学校教育经费,农村普通初中教育经费,农村普通小学教育经费,小学教育经费,幼儿园教育经费,成人中专学校教育经费,成人中学教育经费,成人小学教育经费,成人高等学校教育经费,技工学校教育经费,教育事业单位教育经费,教育经费,教育行政单位教育经费,普通中学教育经费,普通初中教育经费,普通小学教育经费,普通高中教育经费,普通高等学校教育经费,特殊教育学校教育经费,职业高中教育经费,高等学校教育经费
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7315028.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8670490.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10599374.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14887812.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18779501.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22623393.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,7695569.0,2074311.0,0.0,1125136.0,0.0,5091529.0,8359049.0,341971.0,331022.0,19267.0,9388.0,457925.0,355906.0,0.0,25317325.7,0.0,7676303.0,0.0,8349661.0,0.0,3904842.0,76027.0,0.0,4362767.0
1998年,8755123.0,2256193.0,0.0,1434034.0,0.0,5381145.0,9197138.0,399874.0,346609.0,20692.0,8670.0,487821.0,345673.0,0.0,29490591.8,0.0,8734432.0,0.0,9188468.0,0.0,5493394.0,85203.0,0.0,5981215.0
1999年,9848874.7,2473986.6,0.0,1557315.8,0.0,5735693.6,9948143.0,455440.3,374495.8,29985.8,8159.9,559170.3,342343.8,0.0,33490416.4,0.0,9818888.9,0.0,9939983.1,0.0,7087280.0,93157.0,0.0,7646450.3
2000年,11323706.5,2536698.4,0.0,1812090.1,0.0,6139449.7,10821232.6,516303.4,384924.3,21684.5,6790.1,697861.0,359876.2,0.0,38490805.8,0.0,11302022.0,0.0,10814442.5,0.0,9133503.6,109770.9,0.0,9831364.6
2001年,13895667.0,2526961.3,0.0,2358932.1,0.0,7333944.4,12746891.5,602844.1,384263.8,31944.9,6817.4,809719.5,334232.9,0.0,46376626.2,0.0,13863722.1,0.0,12740074.1,0.0,11665761.8,132456.5,0.0,12475481.3
2002年,16704638.3,2505373.9,0.0,2608237.7,0.0,8389830.6,14485877.7,675844.0,406195.3,22348.5,5659.5,953539.3,366761.1,0.0,54800277.6,0.0,16682289.8,0.0,14480218.2,0.0,14878589.8,151392.0,0.0,15832129.1
2003年,19147185.4,2592065.4,0.0,2788807.3,0.0,8966437.5,15754519.1,742577.3,413751.3,26469.0,12100.8,1193319.6,425408.1,0.0,62082653.0,0.0,19120716.4,0.0,15742418.3,0.0,17543468.0,167411.1,0.0,18736787.6
