,中学国家财政预算内教育经费,中等专业学校国家财政预算内教育经费,中等职业学校国家财政预算内教育经费,其它类别学校国家财政预算内教育经费,农村普通初中国家财政预算内教育经费,农村普通小学国家财政预算内教育经费,国家财政预算内教育经费,小学国家财政预算内教育经费,幼儿园国家财政预算内教育经费,成人中专学校国家财政预算内教育经费,成人中学国家财政预算内教育经费,成人小学国家财政预算内教育经费,成人高等学校国家财政预算内教育经费,技工学校国家财政预算内教育经费,教育事业单位国家财政预算内教育经费,教育行政单位国家财政预算内教育经费,普通中学国家财政预算内教育经费,普通初中国家财政预算内教育经费,普通小学国家财政预算内教育经费,普通高中国家财政预算内教育经费,普通高等学校国家财政预算内教育经费,特殊教育学校国家财政预算内教育经费,职业高中国家财政预算内教育经费,高等学校国家财政预算内教育经费
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,4597308.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,5387381.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,6443914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,8839794.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,10283930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,12119133.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,3778879.0,1058212.0,0.0,665338.0,0.0,2827150.0,13577262.1,4467973.0,191321.0,150006.0,7763.0,5443.0,201207.0,103804.0,0.0,0.0,3771116.0,0.0,4462529.0,0.0,2644494.0,55807.0,0.0,2845701.0
1998年,4268491.0,1114806.0,0.0,762910.0,0.0,3162895.0,15655917.4,5109552.0,219422.0,157010.0,7297.0,5164.0,201026.0,93173.0,0.0,0.0,4261194.0,0.0,5104388.0,0.0,3350701.0,62582.0,0.0,3551727.0
1999年,4863612.0,1216931.4,0.0,798864.8,0.0,3620974.2,18157597.3,5875623.5,252127.7,172257.2,7179.5,5404.5,218844.6,95450.6,0.0,0.0,4856432.5,0.0,5870219.0,0.0,4226112.2,70601.1,0.0,4444956.8
2000年,5642880.5,1235808.7,0.0,884948.0,0.0,4122268.5,20856792.0,6720724.8,288603.8,182632.2,7038.6,4769.6,253229.8,113480.9,0.0,0.0,5635841.9,0.0,6715955.2,0.0,5044173.3,81810.0,0.0,5297403.1
2001年,7205864.8,1291489.0,0.0,1218018.2,0.0,5371368.1,25823761.9,8560870.4,346799.8,193074.8,7957.4,5487.3,262193.7,109458.1,0.0,0.0,7197907.4,0.0,8555383.1,0.0,6060683.1,99882.1,0.0,6322876.8
