,中学其他教育经费,中等专业学校其他教育经费,中等职业学校其他教育经费,其他教育经费,其它类别学校其他教育经费,农村普通初中其他教育经费,农村普通小学其他教育经费,小学其他教育经费,幼儿园其他教育经费,成人中专学校其他教育经费,成人中学其他教育经费,成人小学其他教育经费,成人高等学校其他教育经费,技工学校其他教育经费,教育事业单位其他教育经费,教育行政单位其他教育经费,普通中学其他教育经费,普通初中其他教育经费,普通小学其他教育经费,普通高中其他教育经费,普通高等学校其他教育经费,特殊教育学校其他教育经费,职业高中其他教育经费,高等学校其他教育经费
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,185056.9,,,,,,,,,,,,,,,,,,,,
1992年,,,,247380.2,,,,,,,,,,,,,,,,,,,,
1993年,,,,315100.4,,,,,,,,,,,,,,,,,,,,
1994年,,,,588906.6,,,,,,,,,,,,,,,,,,,,
1995年,,,,819759.8,,,,,,,,,,,,,,,,,,,,
1996年,,,,1149798.4,,,,,,,,,,,,,,,,,,,,
1997年,413849.0,112112.0,,1422783.4,219517.0,,152108.0,311949.0,29818.0,23303.0,1131.0,290.0,33329.0,14983.0,,,412719.0,,311659.0,,203377.0,4053.0,,236706.0
1998年,917691.0,289809.0,,1175699.9,386245.0,,252418.0,576319.0,65201.0,49728.0,2839.0,569.0,82184.0,42750.0,,,914852.0,,575750.0,,1064505.0,6908.0,,1146689.0
1999年,1091398.3,277118.6,,4094901.1,453383.6,,301039.8,693089.7,87442.9,56924.3,4728.4,370.9,82731.9,23333.9,,,1086669.9,,692718.8,,1253601.6,7252.1,,1336333.5
2000年,1270588.7,256743.2,,1483939.3,604339.8,,316111.8,755134.3,100629.6,54250.0,3195.3,314.3,105252.9,22065.6,,,1267393.4,,754820.0,,1677771.6,8292.3,,1783024.5
2001年,1568718.1,249882.5,,1821642.6,750671.3,,327769.4,823088.7,125090.2,60474.9,4173.8,330.5,104515.0,23280.7,,,1564544.3,,822758.2,,2158573.8,10245.7,,2263088.8
2002年,2149153.3,291443.3,,2278721.6,800744.2,,370274.6,1039697.5,134485.6,78638.0,4646.8,242.8,154313.5,91700.2,,,2144506.5,,1039454.7,,2840984.6,12025.4,,2995298.1
2003年,2556419.0,302089.5,,2721942.6,877114.1,,377841.0,1103084.2,147983.5,79180.0,6841.7,4764.5,225923.3,99512.0,,,2549577.3,,1098319.7,,3220992.2,13313.3,,3446915.5
2004年,2895659.1,318930.9,,3240413.8,992868.2,,437169.4,1150369.1,178266.9,81061.7,6420.2,353.0,228500.8,120677.2,,,2889238.9,,1150016.1,,3785361.8,14083.4,,4013862.6
2005年,3369599.6,316373.8,,3723842.4,1116908.0,,501677.5,1281470.3,219462.2,81871.2,9314.1,219.7,224644.5,145147.6,,,3360285.5,,1281250.6,,4662641.1,16858.4,,4887285.6
2006年,,,,4206736.2,,,,,,,,,,,,,,,,,,,,
2007年,950062.7,160164.6,337522.7,5166242.3,42080.4,183274.1,225974.1,514649.6,45247.6,24753.0,3029.6,28.8,105319.9,42494.6,276907.1,104514.6,947033.1,495141.6,514620.8,451891.5,2781039.9,8897.8,110110.5,2886359.8
2008年,913175.2,150503.8,320248.6,5115225.3,54661.1,165604.5,195418.2,466380.0,41521.8,21988.2,4260.5,7.5,88680.8,37990.2,283634.0,101763.1,908914.7,438151.4,466372.5,470763.3,2835082.3,10078.4,109766.4,2923763.1
2009年,934766.0,156799.0,328463.0,5435370.9,57042.0,166409.0,232265.0,513018.0,42151.0,22634.0,3922.0,12.0,99130.0,48876.0,303647.0,122463.0,930844.0,440601.0,513006.0,490242.0,3023369.0,11323.0,100154.0,3122499.0
2010年,867080.9,219482.5,415713.3,5724044.6,52127.6,177987.0,244855.3,526018.2,163217.1,23567.6,4040.8,1.6,71299.0,76692.2,272368.8,108717.7,863040.1,433743.0,526016.6,429297.1,3229067.9,18434.1,95971.0,3300366.9
2011年,871402.0,202024.0,414333.5,6341004.9,66679.3,161440.4,217073.3,517155.0,188574.6,21724.4,3052.3,17.8,62628.9,86596.6,269914.1,144566.9,868349.7,425599.1,517137.2,442750.6,3795366.1,10384.5,103988.5,3857995.0
2012年,,,,6640278.0,,,,,,,,,,,,,,,,,,,,
2013年,,,,7173384.1,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
