,中学社会捐赠经费,中等专业学校社会捐赠经费,中等职业学校社会捐赠经费,其它类别学校社会捐赠经费,农村普通初中社会捐赠经费,农村普通小学社会捐赠经费,各类学校教育经费社会捐赠经费,小学社会捐赠经费,幼儿园社会捐赠经费,成人中专学校社会捐赠经费,成人中学社会捐赠经费,成人小学社会捐赠经费,成人高等学校社会捐赠经费,技工学校社会捐赠经费,教育事业单位社会捐赠经费,教育行政单位社会捐赠经费,普通中学社会捐赠经费,普通初中社会捐赠经费,普通小学社会捐赠经费,普通高中社会捐赠经费,普通高等学校社会捐赠经费,特殊教育学校社会捐赠经费,职业高中社会捐赠经费,高等学校社会捐赠经费
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,628209.7,,,,,,,,,,,,,,,,,
1992年,,,,,,,696285.2,,,,,,,,,,,,,,,,,
1993年,,,,,,,701856.1,,,,,,,,,,,,,,,,,
1994年,,,,,,,974487.1,,,,,,,,,,,,,,,,,
1995年,,,,,,,1628414.0,,,,,,,,,,,,,,,,,
1996年,,,,,,,1884189.5,,,,,,,,,,,,,,,,,
1997年,732531.0,37206.0,,21886.0,,579503.0,1706587.6,780912.0,15933.0,7510.0,1190.0,147.0,3334.0,6754.0,,,731342.0,,780765.0,,58471.0,2439.0,,61805.0
1998年,610617.0,32564.0,,19800.0,,410299.0,1418537.3,585676.0,15143.0,6844.0,191.0,182.0,3554.0,1379.0,,,610427.0,,585494.0,,114640.0,2559.0,,118194.0
1999年,552386.7,23103.8,,34988.0,,277933.8,1258694.2,442076.4,14045.5,3931.9,188.9,103.6,2214.4,819.9,,,552197.8,,441972.8,,161676.6,1965.3,,163891.0
2000年,536857.3,13689.0,,23084.9,,215425.7,1139556.9,370626.4,15533.4,2974.3,67.4,33.8,1615.9,1480.2,,,536789.9,,370592.6,,151828.4,2929.2,,153444.3
2001年,534870.6,9630.1,,22053.3,,206455.9,1128851.8,356733.5,14156.1,1944.1,80.1,7.1,1532.9,1146.7,,,534790.5,,356726.4,,172774.7,3081.6,,174307.6
2002年,599213.5,8202.9,,24998.2,,175005.8,1272791.0,327885.4,14908.1,2184.5,68.0,0.7,1260.9,1158.8,,,599145.5,,327884.7,,278253.4,2868.3,,279514.3
2003年,485117.1,6433.0,,13485.0,,119638.5,1045926.9,254164.2,12487.8,904.6,59.0,3.5,991.4,951.3,,,485058.1,,254160.7,,256375.0,2454.8,,257366.4
2004年,401723.9,4812.0,,23469.5,,113534.6,934203.8,254101.8,13665.3,880.7,43.4,0.0,881.6,313.3,,,401680.5,,254101.4,,215439.7,4778.7,,216321.3
2005年,386405.3,5536.6,,23311.9,,127271.2,931612.9,268410.0,18842.8,1017.4,25.8,0.8,1159.6,967.0,,,386379.5,,268409.2,,210796.3,3522.8,,211955.9
2006年,,,,,,,899077.6,,,,,,,,,,,,,,,,,
2007年,313234.2,8636.6,28908.7,4305.0,56506.4,110054.1,930583.9,263987.6,15228.2,646.4,30.7,,2857.1,1026.6,15064.2,11438.6,313203.5,183922.2,263987.5,129281.3,271809.0,3751.3,18599.1,274666.1
2008年,368121.0,16353.5,30597.8,1601.9,82296.8,123320.6,1026663.3,269479.3,14505.1,729.7,42.1,,3657.0,799.5,25108.3,22947.7,368078.9,213045.0,269479.3,155033.9,286343.0,4302.2,12715.1,290000.0
2009年,529660.0,9787.0,38950.0,2105.0,118134.0,169537.0,1254990.5,344857.0,18365.0,303.0,63.0,,2134.0,2678.0,29954.0,22306.0,529597.0,287620.0,344857.0,241978.0,261761.0,4899.0,26182.0,263895.0
2010年,406118.8,8990.7,25514.8,633.9,87611.6,118664.6,1078839.4,260262.1,50213.9,1585.1,19.2,,3461.0,461.4,15895.2,13959.3,406099.6,224253.8,260262.1,181845.8,296356.5,6423.9,14477.6,299817.5
2011年,363248.0,9057.7,24765.0,302.8,63884.3,102146.3,1118675.1,218536.5,50189.0,523.1,93.8,,2663.8,1756.8,9970.6,11908.9,363154.2,177104.6,218536.5,186049.6,431869.8,5220.7,13427.4,434533.6
2012年,,,,,,,956919.3,,,,,,,,,,,,,,,,,
2013年,,,,,,,855444.5,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
