,住房租金类居民消费价格指数(上年=100),居住类居民消费价格指数(上年=100),建房及装修材料类居民消费价格指数(上年=100),水电燃料类居民消费价格指数(上年=100),自有住房类居民消费价格指数(上年=100)
1978年,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0
1994年,0.0,121.3,0.0,0.0,0.0
1995年,0.0,110.6,0.0,0.0,0.0
1996年,0.0,111.4,0.0,0.0,0.0
1997年,0.0,108.3,0.0,0.0,0.0
1998年,115.5,101.7,94.9,102.6,0.0
1999年,110.7,101.7,96.9,102.3,0.0
2000年,109.2,104.8,98.5,107.7,101.9
2001年,108.6382,101.1504,98.8042,102.4881,100.0075
2002年,104.412,99.9366,98.3619,102.8857,95.3842
2003年,103.5336,102.0883,99.5104,105.7199,99.0547
2004年,103.013,104.8697,104.2693,107.4616,100.9188
2005年,101.858,105.437,102.6316,108.5567,105.5687
2006年,102.73744,104.64088,103.88369,105.85389,103.73612
2007年,104.17169,104.47378,105.14546,103.02039,107.03362
2008年,103.50457,105.54056,107.05442,106.43356,102.79412
2009年,101.59239,96.39608,100.16658,97.91364,85.25398
2010年,104.93745,104.4651,103.25241,105.48046,103.56064
2011年,105.34661429,105.291229,104.68469944,103.48552936,106.54198597
2012年,102.73699893,102.14622646,101.04217655,102.44556,102.30036807
2013年,104.08908875,102.79915528,101.21759425,101.62165723,103.83581638
2014年,103.26025288,102.04730538,101.02830485,100.69451893,102.96097014
