,书报杂志类居民消费价格指数(上年=100),娱乐教育文化用品及服务类居民消费价格指数(上年=100),学杂托幼费类居民消费价格指数(上年=100),教材及参考书类居民消费价格指数(上年=100),教育类居民消费价格指数(上年=100),文化娱乐用品居民消费价格指数(上年=100),文化娱乐类居民消费价格指数(上年=100),文娱用耐用消费品及服务类居民消费价格指数(上年=100),文娱费类居民消费价格指数(上年=100),旅游类居民消费价格指数(上年=100)
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,106.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,110.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,100.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,105.2,96.6,0.0,102.9,0.0,100.5,102.4,91.7,110.5,0.0
1999年,104.9,96.8,0.0,103.3,0.0,100.3,102.3,92.0,108.0,0.0
2000年,104.6,97.4,0.0,107.5,0.0,99.5,101.7,92.0,108.2,0.0
2001年,101.9367,106.6157,114.1,106.107,113.628,99.3938,101.7387,91.1676,104.4181,100.3192
2002年,100.953,100.6144,104.0,98.9653,103.6833,98.8728,101.2402,90.4605,104.1901,95.9391
2003年,100.4413,101.3259,104.5,101.7276,104.3342,98.706,101.2578,92.671,104.6434,95.4167
2004年,100.5645,101.2901,103.4,102.813,103.3965,99.3919,101.0603,93.3416,103.2423,100.6475
2005年,100.7585,102.2152,105.4,100.8778,105.0653,99.8151,101.16,93.838,102.8714,99.5676
2006年,100.70358,99.52206,100.0,100.26601,100.02452,99.60905,101.03848,94.18446,102.59437,103.09413
2007年,100.69317,99.01663,99.6,99.06944,99.56493,99.48236,101.03278,93.06225,102.6619,102.33134
2008年,102.09888,99.33147,100.5,100.61142,100.53497,99.87816,101.29532,92.28782,102.08463,101.05437
2009年,107.61039,99.3429,101.4,102.91285,101.56977,99.84156,102.54598,90.58293,102.11114,97.50776
2010年,100.60043,100.62341,101.3,102.62949,101.40094,99.65366,100.97955,94.30937,102.28458,104.91475
2011年,100.95878155,100.37424523,0.0,101.14081277,101.32984727,100.58744786,101.07827907,93.65643999,101.47460562,103.84863467
2012年,101.37996755,100.51223885,0.0,101.70924815,101.71979369,100.38462903,101.2775757,94.47902408,101.86697029,101.70960844
2013年,101.04293431,101.75283892,0.0,102.31748724,102.73014182,100.17681128,101.3959514,96.3495765,102.38107936,103.97809076
2014年,101.59633137,101.88454647,0.0,101.31696101,102.38782932,100.28191875,101.25961507,97.27872904,101.79440854,104.95132872
