,个人服务类居民消费价格指数(上年=100),个人用品及服务类居民消费价格指数(上年=100),个人饰品类居民消费价格指数(上年=100),中药材及中成药类居民消费价格指数(上年=100),保健器具及用品类居民消费价格指数(上年=100),化妆美容用品类居民消费价格指数(上年=100),医疗保健和个人用品类居民消费价格指数(上年=100),医疗保健服务类居民消费价格指数(上年=100),医疗保健类居民消费价格指数(上年=100),医疗器具及用品类居民消费价格指数(上年=100),清洁化妆用品类居民消费价格指数(上年=100),西药类居民消费价格指数(上年=100)
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,111.7,,,,,
1995年,,,,,,,111.3,,,,,
1996年,,,,,,,109.3,,,,,
1997年,,,,,,,104.7,,,,,
1998年,,,,107.5,,,102.8,,102.8,101.3,,99.5
1999年,,,,105.2,,,100.9,111.7,100.9,100.7,,97.9
2000年,,,,105.2,,,100.3,,100.3,99.5,,97.0
2001年,101.681,99.474,97.8245,101.3664,97.317,99.8276,100.0017,110.5017,100.2589,98.2892,97.9118,94.8216
2002年,101.1999,99.4752,99.2663,96.6073,97.1153,99.657,98.8356,108.1664,98.5472,97.2474,97.3393,94.5431
2003年,100.7885,100.1807,102.8799,104.9957,98.2066,99.5359,100.8728,108.8896,101.1803,101.0376,97.0945,94.4916
2004年,101.7913,101.1586,104.5178,98.949,98.6228,98.8238,99.6882,105.2003,99.0516,102.2652,98.4287,94.8964
2005年,101.8947,100.7744,101.6343,96.5182,99.9646,99.3787,99.9198,105.1812,99.5468,97.3621,99.4432,97.7226
2006年,102.52132,103.1573,110.78474,99.87731,100.34443,99.70285,101.10327,103.02209,100.21516,97.16257,99.88084,98.38557
2007年,103.09773,102.09555,104.46829,107.8596,101.07565,100.09347,102.10509,102.23363,102.10873,98.16212,100.3119,99.12655
2008年,105.0003,104.37106,109.65313,106.78591,102.11101,100.63333,102.90398,100.48162,102.24805,99.70863,101.71962,101.10099
2009年,103.82925,100.79171,96.25922,102.61402,101.0532,100.77262,101.1858,100.9722,101.36813,101.59886,102.10247,101.02737
2010年,102.75682,103.02567,108.44336,111.17204,101.56667,100.47835,103.1836,100.8577,103.25585,104.97848,100.3797,100.97707
2011年,104.93851223,104.36966442,108.83918459,111.90258446,104.40421975,101.04925039,103.36342676,100.61212321,102.88483214,101.91871792,101.80473607,99.72310205
2012年,105.32826906,102.63030953,100.21167751,105.02239813,102.54050213,101.27457437,101.99974674,100.70142934,101.6955028,102.74055577,103.51341268,100.29566944
2013年,105.42339778,100.98793895,95.30792641,103.30676303,102.07851741,101.03619443,101.332284,101.52070224,101.49995626,100.74425609,102.01847608,100.19021329
2014年,104.21567162,100.42347405,95.25040914,103.04647857,103.87495045,100.65059103,101.270572,101.15755794,101.68096952,100.62949642,100.94570131,100.64205735
