,其它食品类居民消费价格指数(上年=100),在外用膳食品类居民消费价格指数(上年=100),大米类居民消费价格指数(上年=100),干豆类及豆制品类居民消费价格指数(上年=100),干鲜瓜果类居民消费价格指数(上年=100),水产品类居民消费价格指数(上年=100),油脂类居民消费价格指数(上年=100),液体乳及乳制品类居民消费价格指数(上年=100),淀粉及制品类居民消费价格指数(上年=100),粮食类居民消费价格指数(上年=100),糕点饼干面包类居民消费价格指数(上年=100),糖类居民消费价格指数(上年=100),肉禽及其制品类居民消费价格指数(上年=100),茶及饮料类居民消费价格指数(上年=100),茶叶类居民消费价格指数(上年=100),菜类居民消费价格指数(上年=100),蛋类居民消费价格指数(上年=100),调味品类居民消费价格指数(上年=100),面粉类居民消费价格指数(上年=100),食品类居民消费价格指数(上年=100),饮料类居民消费价格指数(上年=100),鲜果类居民消费价格指数(上年=100),鲜菜类居民消费价格指数(上年=100)
1992年,0.0,0.0,0.0,0.0,0.0,105.4,105.9,0.0,0.0,124.3,0.0,0.0,0.0,0.0,0.0,109.6,0.0,0.0,0.0,107.7,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,116.3,116.2,0.0,0.0,127.7,0.0,0.0,0.0,0.0,0.0,115.7,0.0,0.0,0.0,114.3,0.0,0.0,0.0
1994年,0.0,129.8,0.0,0.0,120.6,120.3,161.3,0.0,0.0,150.7,0.0,0.0,141.6,0.0,0.0,133.3,115.0,0.0,0.0,131.8,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,121.2,114.4,116.0,0.0,0.0,136.8,0.0,0.0,126.4,0.0,0.0,127.3,114.6,0.0,0.0,122.9,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,104.5,106.0,92.1,0.0,0.0,106.5,0.0,0.0,104.5,0.0,0.0,119.1,116.5,0.0,0.0,107.6,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,94.4,100.2,101.5,0.0,0.0,91.1,0.0,0.0,105.5,0.0,0.0,100.0,79.3,0.0,0.0,99.9,0.0,0.0,0.0
1998年,101.7,101.1,0.0,97.3,96.2,93.9,100.0,100.3,105.4,96.9,100.8,96.2,90.9,0.0,0.0,99.6,100.9,99.5,0.0,96.8,0.0,96.6,99.9
1999年,99.5,99.9,0.0,91.3,97.8,93.3,94.5,99.3,96.7,96.9,100.3,91.5,90.7,0.0,0.0,101.0,91.6,100.6,0.0,95.8,0.0,99.4,100.7
2000年,98.5,99.7,0.0,102.0,96.6,101.7,86.8,100.0,98.6,88.6,99.7,103.7,98.5,0.0,0.0,104.7,84.5,101.5,0.0,97.4,0.0,96.0,105.5
2001年,98.9,100.1873,100.2,99.0,99.8729,97.1496,91.7265,99.1,99.5,99.3448,98.9,104.6,101.6283,99.1,101.0,100.9412,106.0244,102.2,99.1,100.0148,98.3,100.2533,101.3506
2002年,99.0,99.9335,98.3,98.0,103.1243,96.6713,98.7056,99.0,100.4,98.3342,98.8,97.3,99.5485,99.0,100.9,98.203,102.63,101.2,98.5,99.4049,98.2,103.5526,98.094
2003年,99.1271,100.1421,103.1277,106.4548,102.9916,100.3238,112.6175,99.1536,100.5583,102.2961,99.2864,97.4574,103.3141,99.1524,99.6864,117.7272,98.5528,100.1377,101.7688,103.4331,98.9015,101.8308,120.5089
2004年,101.2414,104.06,133.1579,120.4648,103.9981,112.7384,118.1683,100.4765,106.7643,126.4222,101.632,102.2046,117.5745,100.0136,101.1002,95.0995,120.1507,101.4679,124.079,109.8715,99.5064,102.2443,93.8708
2005年,101.3419,102.3529,101.2,102.4263,102.2166,105.9455,94.2519,100.9108,105.5406,101.4254,100.9455,104.039,102.4901,100.1188,100.7875,109.0913,104.5892,101.3601,100.2,102.9101,99.8116,101.5594,110.3757
2006年,101.23147395,101.60371,104.31518355,100.77627014,117.92565,101.21577,98.63388,100.87373071,101.75757297,102.73375,101.33101269,111.23557956,97.0596,101.00333848,101.23650067,108.24897,95.9952,102.26439892,99.71778629,102.34682,100.89531947,121.46509,108.23579
2007年,104.21014398,107.34848,105.36951171,108.01402018,102.19671,105.06543,126.71313,102.69885517,106.21594149,106.3267,103.55694737,101.55090778,131.66578,101.48252849,103.27525281,107.86515,121.80135,104.06341381,107.25054435,112.34067,100.67550009,100.088,107.33111
2008年,108.41579252,111.82476,104.29553415,134.41551613,110.83191,114.16453,125.37073,117.03233051,111.22708542,107.02591,109.2176443,103.99096552,121.72702,103.7492576,102.24698351,110.95591,104.31307,105.49071829,106.09402506,114.33223,104.4297533,108.98303,110.66214
2009年,101.6551916,102.6926,105.95314324,98.31521511,107.10969,102.45862,81.7254,101.54751696,103.3777585,105.59093,102.87598311,102.46426335,91.27214,101.82101451,101.41766732,113.57271,101.56149,103.41955234,107.19388797,100.74766,101.98686697,109.13789,115.42577
2010年,101.7,103.5713,116.2,109.2,114.64469,108.07663,103.75959,102.8,108.2,111.78477,102.4,108.3,102.92126,101.3,102.6,118.51613,108.31316,104.1,107.5,107.21328,100.7,115.61691,118.66308
2011年,105.74438184,108.22233948,114.20835849,105.37805984,115.92388577,112.06646239,113.4099719,105.14388211,115.85474178,112.22182055,108.13532707,111.20924568,122.61216663,103.9558192,103.91624935,101.05886039,114.23197272,105.54594424,109.41843129,111.7981733,103.97665757,116.40800023,100.48409576
2012年,104.18008142,106.72374508,103.99998757,102.007826,100.07248882,107.95965417,105.10443617,103.17778636,103.16028232,103.95781835,104.25537696,104.18337126,102.07444015,104.16850667,103.32804414,113.74846568,97.1474917,104.17543183,102.58110884,104.84465994,104.61107192,98.83373603,115.86589766
2013年,101.40589859,104.74398917,102.34312701,105.34930952,105.88839117,104.19482329,100.29411268,105.73516129,103.30095535,104.64580632,102.48945742,100.48094194,104.3266993,102.00111829,101.95046656,108.03027904,104.94758435,103.55705539,108.77896905,104.66970226,102.02746302,107.08782318,108.08603064
2014年,101.57323841,103.33036265,101.2362442,103.97801671,114.08168228,104.38491137,95.09042498,108.50502801,102.16398725,103.12791845,101.8757785,100.06251109,100.36144334,101.81675044,101.88630476,99.22019005,110.36997987,103.12083596,103.14063568,103.0853792,101.78060147,117.96967852,98.52432031
