,室内装饰品类居民消费价格指数(上年=100),家具类居民消费价格指数(上年=100),家庭日用杂品类居民消费价格指数(上年=100),家庭服务及加工维修服务费类居民消费价格指数(上年=100),家庭设备用品及维修服务类居民消费价格指数(上年=100),家庭设备类居民消费价格指数(上年=100),床上用品类居民消费价格指数(上年=100),耐用消费品类居民消费价格指数(上年=100)
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,103.8,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,100.7,0.0,0.0,0.0
1998年,99.5,98.2,99.9,0.0,98.4,96.8,100.3,97.3
1999年,98.0,97.5,98.1,0.0,97.7,96.8,98.2,97.0
2000年,98.6,97.4,98.2,99.4,97.7,96.2,98.7,96.6
2001年,98.2503,98.0,98.6091,101.5169,97.7361,95.1,99.3474,96.1364
2002年,98.7779,97.7,97.9936,101.2419,97.4525,95.0,98.7242,95.9487
2003年,98.826,97.8853,98.3029,101.0792,97.4151,94.637,98.4476,95.8017
2004年,99.1867,98.8612,99.8484,101.8716,98.6368,96.0988,99.3051,97.1037
2005年,99.4604,99.2442,100.374,104.35,99.8929,98.4912,99.405,98.7657
2006年,99.96636,100.23647664,101.09159,105.76011,101.22026,101.1999268,99.55529,100.84694
2007年,100.30424,101.90132604,101.74827,107.19991,101.93749,101.44254168,99.42924,101.61369
2008年,100.2057,102.25366559,104.915,109.02315,102.82887,100.65378865,99.71724,101.24527
2009年,99.73928,99.67330873,102.49933,105.22058,100.18234,97.2966438,98.77534,98.14853
2010年,99.93448,100.4,100.2751,106.72596,99.98625,97.4,99.90087,98.48113
2011年,101.00545516,102.41712548,102.47536884,111.39255203,102.39409446,99.30891918,104.74996218,100.36603534
2012年,100.77929797,101.25611924,102.60269004,109.71427611,101.93570036,99.87996659,100.43444548,100.35757288
2013年,100.42972869,101.24947982,101.28385808,108.69178692,101.4748869,99.75073889,100.47001879,100.27554768
2014年,99.96391766,101.48047204,100.8059513,107.33680625,101.20018458,99.66704809,100.00167321,100.30821579
