,运动员获世界冠军个数,运动员获世界冠军人数,运动员获世界冠军项数,运动员获女子世界冠军个数,运动员获女子世界冠军人数,运动员获女子世界冠军项数
1978年,4.0,4.0,4.0,2.0,2.0,2.0
1979年,12.0,20.0,12.0,6.5,11.0,6.5
1980年,3.0,3.0,3.0,,,
1981年,25.0,53.0,25.0,12.5,32.0,12.5
1982年,13.0,31.0,12.0,2.0,15.0,2.0
1983年,39.0,50.0,37.0,17.0,24.0,15.0
1984年,37.0,46.0,33.0,10.0,26.0,10.0
1985年,46.0,70.0,42.0,23.0,41.0,20.0
1986年,26.0,56.0,26.0,14.0,34.0,14.0
1987年,69.0,72.0,64.0,41.5,34.0,39.0
1988年,54.0,59.0,54.0,36.5,30.0,36.5
1989年,82.0,83.0,80.0,50.0,48.0,49.0
1990年,54.0,61.0,54.0,33.5,30.0,33.5
1991年,93.0,86.0,88.0,61.5,51.0,57.5
1992年,89.0,68.0,86.0,72.5,52.0,69.5
1993年,103.0,106.0,101.0,68.5,70.0,66.5
1994年,79.0,86.0,79.0,53.5,45.0,53.5
1995年,102.0,187.0,98.0,51.5,86.0,49.5
1996年,75.0,58.0,72.0,57.0,42.0,55.0
1997年,92.0,96.0,87.0,50.5,46.0,46.0
1998年,83.0,89.0,75.0,55.0,59.0,49.0
1999年,92.0,129.0,91.0,44.0,72.0,43.0
2000年,110.0,109.0,92.0,66.5,60.0,52.0
2001年,90.0,138.0,79.0,54.5,77.0,46.5
2002年,110.0,123.0,99.0,64.0,81.0,58.0
2003年,84.0,94.0,17.0,49.0,62.5,15.5
2004年,101.0,175.0,27.0,56.0,98.0,21.0
2005年,106.0,159.0,22.0,63.0,89.0,19.0
2006年,141.0,169.0,24.0,76.0,87.0,18.0
2007年,123.0,217.0,22.0,70.0,123.0,16.0
2008年,120.0,151.0,24.0,65.5,83.0,17.0
2009年,142.0,223.0,30.0,87.5,134.0,17.0
2010年,108.0,180.0,22.0,54.5,81.0,13.0
2011年,138.0,198.0,24.0,78.0,102.0,13.5
2012年,107.0,140.0,24.0,,,
2013年,124.0,164.0,22.0,,,
2014年,98.0,206.0,22.0,,,
