,中央艺术表演团体从业人数,乐团、合唱团从业人数,京剧剧团从业人数,其他艺术表演团体从业人数,其他部门艺术表演团体从业人数,县、市艺术表演团体从业人数,国有艺术表演团体从业人数,地、市艺术表演团体从业人数,戏曲剧团从业人数,执行事业会计制度的艺术表演团体从业人数,执行企业会计制度的艺术表演团体从业人数,文化部门艺术表演团体从业人数,文工团、文宣队、乌兰牧骑从业人数,曲艺、杂技、木偶、皮影团从业人数,歌剧、舞剧、歌舞剧团从业人数,歌舞团、轻音乐团从业人数,省、区、市艺术表演团体从业人数,综合性艺术表演团体从业人数,艺术表演团体从业人数,话剧、儿童剧、滑稽剧团从业人数,集体艺术表演团体从业人数
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,128182.0,,,,17667.0,12986.0,29259.0,,,,201081.0,10260.0,
1988年,,,,,,,,,117203.0,,,,15923.0,12198.0,29006.0,,,,186086.0,9033.0,
1989年,,,,,,,,,107364.0,,,,15139.0,11281.0,28357.0,,,,173185.0,8453.0,
1990年,,,,,,,,,104446.0,,,,13619.0,11316.0,30201.0,,,,170565.0,8586.0,
1991年,,,,,,,,,103454.0,,,,15559.0,11203.0,29274.0,,,,170337.0,8642.0,
1992年,,,,,,,,,99182.0,,,,14876.0,10748.0,29043.0,,,,164800.0,8720.0,
1993年,,,,,,,,,95861.0,,,,14715.0,10386.0,28520.0,,,,159923.0,8346.0,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,1698.0,10187.0,,,,,,83810.0,,,,12808.0,10268.0,7945.0,22196.0,,,145998.0,7273.0,
1999年,,1708.0,9933.0,,,,,,82362.0,,,,12042.0,10058.0,8722.0,22404.0,,,144560.0,7264.0,
2000年,,1793.0,9583.0,,,,,,79120.0,,,,12335.0,9969.0,9038.0,22025.0,,,141440.0,7160.0,
2001年,,1656.0,9347.0,,,,,,75653.0,,,,10878.0,9601.0,11035.0,21754.0,,,138200.0,7623.0,
2002年,,1702.0,9263.0,,,,,,75169.0,,,,10685.0,8984.0,11056.0,22592.0,,,137459.0,7271.0,
2003年,,2276.0,8689.0,,,,,,74283.0,,,,10186.0,9439.0,11576.0,22468.0,,,137059.0,6831.0,
2004年,,2290.0,8044.0,,,,,,73529.0,,,,9335.0,8845.0,10916.0,21666.0,,5904.0,142081.0,9596.0,
2005年,,2425.0,7981.0,,,,,,72525.0,,,,10206.0,9218.0,9671.0,21585.0,,7665.0,141678.0,8383.0,
2006年,,2503.0,7490.0,,,,,,71459.0,,,,10068.0,9664.0,11096.0,21931.0,,8961.0,144167.0,8485.0,
2007年,,2710.0,8471.0,,,,,,84713.0,,,,9604.0,14375.0,12458.0,32927.0,,17030.0,185413.0,11596.0,
2008年,,2764.0,7383.0,,,,,,82205.0,,,,10773.0,18116.0,11441.0,29260.0,,17871.0,184678.0,12248.0,
2009年,,6049.0,8139.0,,,,,,92387.0,,,,10831.0,21501.0,12723.0,38005.0,,20337.0,208174.0,6341.0,
2010年,5060.0,7323.0,7933.0,79538.0,84713.0,135192.0,128099.0,49025.0,95293.0,,,135940.0,11411.0,21805.0,13316.0,37597.0,31376.0,27182.0,220653.0,6726.0,13016.0
2011年,5463.0,7231.0,8067.0,89730.0,94224.0,139240.0,127046.0,48563.0,94003.0,125105.0,101494.0,132375.0,10433.0,22034.0,13091.0,39590.0,33333.0,33017.0,226599.0,7200.0,9823.0
2012年,3367.0,7178.0,7378.0,111344.0,121999.0,158251.0,123311.0,48816.0,92528.0,98199.0,143848.0,120048.0,8854.0,20942.0,13589.0,40276.0,31613.0,44185.0,242047.0,14495.0,7392.0
2013年,5313.0,,,155197.0,143861.0,187066.0,99035.0,39501.0,,86470.0,174395.0,117004.0,,,,,28985.0,,260865.0,,6633.0
2014年,5291.0,,,158359.0,147595.0,190130.0,97899.0,38346.0,,84179.0,178708.0,115292.0,,,,,29120.0,,262887.0,,6629.0
