,中央艺术表演团体演出收入,乐团、合唱团演出收入,京剧剧团演出收入,其他艺术表演团体演出收入,其他部门艺术表演团体演出收入,县、市艺术表演团体演出收入,国有艺术表演团体演出收入,地、市艺术表演团体演出收入,戏曲剧团演出收入,执行事业会计制度的艺术表演团体演出收入,执行企业会计制度的艺术表演团体演出收入,文化部门艺术表演团体演出收入,文工团、文宣队、乌兰牧骑演出收入,曲艺、杂技、木偶、皮影团演出收入,歌剧、舞剧、歌舞剧团演出收入,歌舞团、轻音乐团演出收入,省、区、市艺术表演团体演出收入,综合性艺术表演团体演出收入,艺术表演团体演出收入,话剧、儿童剧、滑稽剧团演出收入,集体艺术表演团体演出收入
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,217.0,635.0,,,,10126.0,,9506.0,,,,584.0,1721.0,2497.0,,,,15169.0,644.0,5043.0
1988年,,148.0,573.0,,,,10923.0,,9892.0,,,,750.0,2160.0,2465.0,,,,16129.0,714.0,5206.0
1989年,,172.0,5358.0,,,,10782.0,,35446.0,,,,655.0,5576.0,2067.0,,,,16003.0,865.0,5221.0
1990年,,347.0,708.0,,,,12674.0,,11312.0,,,,711.0,2366.0,2200.0,,,,18041.0,1102.0,5367.0
1991年,,171.0,742.0,,,,12341.0,,11134.0,,,,653.0,2500.0,2316.0,,,,17798.0,1024.0,5457.0
1992年,,263.0,826.0,,,,13753.0,,11983.0,,,,660.0,3013.0,2564.0,,,,19559.0,1075.0,5806.0
1993年,,214.2,910.4,,,,15615.9,,13034.0,,,,808.6,3205.9,3220.4,,,,21756.0,1272.9,6140.1
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,1104.7,2083.2,,,,32037.8,,22430.0,,,,1163.6,6068.9,8415.9,1104.7,,,41730.0,2546.9,9692.2
1999年,,24629.0,23038.0,,,,387859.0,,238802.0,,,,9932.0,72863.0,37425.0,77754.0,,,489670.0,28265.0,101811.0
2000年,,2201.0,2666.0,,,,41369.0,,24224.0,,,,1178.0,8391.0,4001.0,8848.0,,,51650.0,2807.0,10281.0
2001年,,1205.0,2843.4,,,,47701.2,,25486.0,,,,2895.0,8162.4,6007.0,9560.0,,,57448.4,4138.0,9575.9
2002年,,3191.0,3635.0,,,,54896.0,,29706.0,,,,1091.0,8085.0,6900.0,10741.0,,,64884.0,5169.0,9756.0
2003年,,5018.0,3222.0,,,,60674.0,,28231.0,,,,1148.0,9166.0,8427.0,15001.0,,,71781.0,4789.0,9796.0
2004年,,5338.0,3690.0,,,,78892.0,,32880.0,,,,1934.0,11112.0,10616.0,18484.0,,,93304.0,8911.0,9453.0
2005年,,5713.0,4807.0,,,,86304.0,,35747.0,,,,2465.0,11000.0,9481.0,19660.0,,5914.0,98268.0,8288.0,10665.0
2006年,,3830.7,4880.8,,,,96309.3,,38717.0,,,,6138.3,11692.8,11346.1,22988.5,,6183.4,109824.9,8928.1,11408.8
2007年,,7648.0,6380.0,,,,106338.0,,44969.7,,,,1581.5,10972.9,14107.5,25021.7,,5275.6,120396.1,10819.2,13355.1
2008年,20175.0,9906.0,6590.0,1256.0,,28753.0,119101.0,39665.0,49441.0,,,,1730.0,11183.0,13281.0,30846.0,44484.0,6470.0,133077.0,10220.0,12720.0
2009年,21333.9,13707.3,8335.4,128022.3,133866.8,147257.3,142612.8,58174.7,98087.9,,,154347.5,5113.8,24841.2,20262.4,79365.7,61448.4,34154.7,288214.3,12681.3,17579.2
2010年,27388.4,15790.2,9272.3,156600.8,166419.8,167672.0,170355.6,72936.0,113253.5,,,176275.7,6349.1,24292.1,29862.1,79784.9,74699.1,51717.9,342695.5,21645.7,15739.1
2011年,35175.1,25105.6,12153.9,303070.7,302208.3,298432.7,207712.6,93057.6,142893.4,177665.7,349079.1,224536.5,7116.2,37463.7,44982.3,129989.2,100079.4,111023.6,526744.8,28170.8,15961.5
2012年,22593.6,20935.3,12487.9,403441.0,417012.8,421138.8,223505.3,94097.8,150692.8,135018.2,506462.2,224467.5,4178.9,62888.0,48327.7,123165.7,103650.3,171716.8,641480.4,59575.4,14533.9
2013年,6898.0,,,634738.0,590089.0,601309.0,94407.0,47164.0,,133270.0,602262.0,145443.0,,,,,80161.0,,735532.0,,6387.0
2014年,24956.6,,,582527.6,536853.7,576456.7,160673.1,61619.0,,124551.8,632476.1,220174.2,,,,,93995.6,,757027.9,,13827.2
