,中央艺术表演团体收入合计,乐团、合唱团收入合计,京剧剧团收入合计,其他艺术表演团体收入合计,其他部门艺术表演团体收入合计,县、市艺术表演团体收入合计,国有艺术表演团体收入合计,地、市艺术表演团体收入合计,戏曲剧团收入合计,执行事业会计制度的艺术表演团体收入合计,执行企业会计制度的艺术表演团体收入合计,文化部门艺术表演团体收入合计,文工团、文宣队、乌兰牧骑收入合计,曲艺、杂技、木偶、皮影团收入合计,歌剧、舞剧、歌舞剧团收入合计,歌舞团、轻音乐团收入合计,省、区、市艺术表演团体收入合计,综合性艺术表演团体收入合计,艺术表演团体收入合计,话剧、儿童剧、滑稽剧团收入合计,集体艺术表演团体收入合计
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,611.0,2233.0,,,,25906.0,,20039.0,,,,1141.0,4839.0,5248.0,,,,34342.0,2464.0,8436.0
1993年,,891.3,2708.0,,,,32236.3,,23867.3,,,,1407.0,5210.1,6911.8,,,,41676.6,3389.1,9440.3
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,6995.9,20161.1,,,,191788.9,,108180.9,,,,10846.0,21571.9,6046.1,6995.9,,,218545.5,18282.8,26756.6
1999年,,81723.0,224219.0,,,,2145115.0,,1157131.0,,,,113241.0,240985.0,207490.0,422469.0,,,2426446.0,203407.0,281331.0
2000年,,9716.0,24388.0,,,,233046.0,,124176.0,,,,12886.0,25255.0,23371.0,47171.0,,,263664.0,21089.0,30600.0
2001年,,11112.0,30579.3,,,,281030.8,,142452.0,,,,13357.0,29098.4,33667.7,54665.0,,,311852.3,27501.3,29988.2
2002年,,15313.0,33873.0,,,,332780.0,,165779.0,,,,15753.0,31810.0,38528.0,65666.0,,,365331.0,32481.0,31282.0
2003年,,22195.0,33691.0,,,,365011.0,,170251.0,,,,15536.0,36299.0,46706.0,73197.0,,,400867.4,36683.0,32966.0
2004年,,23935.0,41963.0,,,,435009.0,,192395.0,,,,21860.0,40464.0,52082.0,82863.0,,,485625.0,51686.0,31363.0
2005年,,24851.0,47132.0,,,,486153.0,,211211.0,,,,25055.0,42391.0,47699.0,92676.0,,32391.0,527146.0,50872.0,35095.0
2006年,,29409.2,47189.5,,,,537532.9,,226699.8,,,,28009.3,49744.9,63668.7,104038.8,,34085.7,590879.5,55223.1,36444.1
2007年,,29023.7,60657.3,,,,638148.7,,275827.9,,,,22342.2,50766.4,78896.5,121897.1,,36719.1,691049.8,75576.9,44672.4
2008年,66666.0,34991.0,81521.0,8775.0,,140359.0,745183.0,295803.0,327740.0,,,,25969.0,59114.0,85316.0,145517.0,300202.0,45987.0,803030.0,78396.0,49072.0
2009年,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,
2011年,108336.2,76338.8,95537.8,372048.2,404631.9,541057.4,1122065.5,431298.3,527562.9,1113839.4,530514.0,1135631.0,59475.5,89834.3,142350.1,301986.0,459571.0,243630.7,1540262.9,99084.6,46149.2
2012年,84024.9,80856.3,105252.9,963993.6,972772.8,1102633.9,1297845.7,512620.0,643439.1,1083600.5,1226859.2,1337687.0,47526.6,150038.5,164985.2,552456.4,611181.2,454357.5,2310459.7,216800.5,48620.5
2013年,143381.0,,,1543647.0,1421582.0,1625796.0,1206700.0,463286.0,,1045394.0,1754872.0,1378684.0,,,,,567803.0,,2800266.0,,49920.0
2014年,147740.2,,,918096.2,805202.7,1003181.9,1294567.6,476835.8,,1134136.1,1129909.9,1458843.3,,,,,636288.1,,2264046.0,,51382.2
