,中央艺术表演团体到农村演出场次,乐团、合唱团到农村演出场次,京剧剧团到农村演出场次,其他艺术表演团体到农村演出场次,其他部门艺术表演团体到农村演出场次,县、市艺术表演团体到农村演出场次,国有艺术表演团体到农村演出场次,地、市艺术表演团体到农村演出场次,戏曲剧团到农村演出场次,执行事业会计制度的艺术表演团体到农村演出场次,执行企业会计制度的艺术表演团体到农村演出场次,文化部门艺术表演团体到农村演出场次,文工团、文宣队、乌兰牧骑到农村演出场次,曲艺、杂技、木偶、皮影团到农村演出场次,歌剧、舞剧、歌舞剧团到农村演出场次,歌舞团、轻音乐团到农村演出场次,省、区、市艺术表演团体到农村演出场次,综合性艺术表演团体到农村演出场次,艺术表演团体到农村演出场次,话剧、儿童剧、滑稽剧团到农村演出场次,集体艺术表演团体到农村演出场次
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,2.15,0.57,0.0,0.0,0.0,17.39,0.0,28.86,0.0,0.0,0.0,0.02,6.62,0.82,0.0,0.0,0.0,38.79,0.32,21.4
1988年,0.0,0.02,0.44,0.0,0.0,0.0,16.08,0.0,26.73,0.0,0.0,0.0,2.24,4.2,1.32,0.0,0.0,0.0,34.78,0.27,18.7
1989年,0.0,0.0,0.42,0.0,0.0,0.0,14.4,0.0,24.41,0.0,0.0,0.0,2.0,3.93,1.1,0.0,0.0,0.0,31.7,0.73,17.32
1990年,0.0,0.02,0.35,0.0,0.0,0.0,15.19,0.0,23.86,0.0,0.0,0.0,2.34,4.0,1.1,0.0,0.0,0.0,31.63,0.34,16.44
1991年,0.0,0.0,0.36,0.0,0.0,0.0,13.9,0.0,22.3,0.0,0.0,0.0,1.94,3.4,1.0,0.0,0.0,0.0,28.9,0.24,15.0
1992年,0.0,0.01,0.39,0.0,0.0,0.0,13.8,0.0,21.97,0.0,0.0,0.0,1.91,2.87,0.98,0.0,0.0,0.0,27.92,0.22,14.12
1993年,0.0,0.0,0.4,0.0,0.0,0.0,12.9,0.0,21.5,0.0,0.0,0.0,1.7,2.4,0.6,0.0,0.0,0.0,26.4,0.2,13.5
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.3,0.0,0.0,0.0,14.4,0.0,19.3,0.0,0.0,0.0,2.2,2.2,0.9,0.0,0.0,0.0,26.0,0.0,11.8
1999年,0.0,0.0,0.3,0.0,0.0,0.0,14.3,0.0,19.0,0.0,0.0,0.0,2.1,2.4,0.2,1.0,0.0,0.0,25.8,0.0,11.5
2000年,0.0,0.0,0.3,0.0,0.0,0.0,14.0,0.0,18.3,0.0,0.0,0.0,2.1,2.9,0.3,0.9,0.0,0.0,26.0,0.0,11.0
2001年,0.0,0.0,0.4,0.0,0.0,0.0,14.4,0.0,17.4,0.0,0.0,0.0,2.2,2.4,0.7,1.3,0.0,0.0,24.3,0.2,9.8
2002年,0.0,0.0,0.4,0.0,0.0,0.0,14.5,0.0,17.8,0.0,0.0,0.0,2.1,2.0,0.6,1.2,0.0,0.0,23.9,0.2,9.3
2003年,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,15.7,0.0,0.0,0.0,0.19,0.21,0.0,0.1,0.0,0.0,21.5,0.0,12.0
