,中央艺术表演团体机构数,乐团、合唱团数,京剧剧团数,其他艺术表演团体机构数,其他部门艺术表演团体机构数,县、市艺术表演团体机构数,国有艺术表演团体机构数,地、市艺术表演团体机构数,戏曲剧团数,执行事业会计制度的艺术表演团体机构数,执行企业会计制度的艺术表演团体机构数,文化部门艺术表演团体机构数,文工团、文宣队、乌兰牧骑数,曲艺、杂技、木偶、皮影团数,歌剧、舞剧、歌舞剧团数,歌舞团、轻音乐团数,省、区、市艺术表演团体机构数,综合性艺术表演团体数,艺术表演团体机构数,话剧、儿童剧、滑稽剧团数,集体艺术表演团体机构数
1978年,,,,,,,,,,,,,,,,,,,3150.0,,
1979年,,,,,,,,,,,,,,,,,,,3482.0,,
1980年,,,,,,,,,,,,,,,,,,,3533.0,,
1981年,,,,,,,,,,,,,,,,,,,3483.0,,
1982年,,,,,,,,,,,,,,,,,,,3460.0,,
1983年,,,,,,,,,,,,,,,,,,,3444.0,,
1984年,,,,,,,,,,,,,,,,,,,3397.0,,
1985年,,,,,,,,,,,,,,,,,,,3317.0,,
1986年,,,,,,,,,,,,,,,,,,,3195.0,,
1987年,,22.0,,,,,,,1954.0,,,,490.0,270.0,261.0,,,,3094.0,97.0,
1988年,,21.0,,,,,,,1861.0,,,,466.0,260.0,283.0,,,,2985.0,94.0,
1989年,,24.0,,,,,,,1767.0,,,,445.0,234.0,289.0,,,,2850.0,91.0,
1990年,,22.0,,,,,,,1722.0,,,,440.0,233.0,298.0,,,,2805.0,90.0,
1991年,,21.0,,,,,,,1707.0,,,,432.0,227.0,41.0,252.0,,,2772.0,92.0,
1992年,,21.0,,,,,,,1695.0,,,,432.0,218.0,43.0,250.0,,,2753.0,94.0,
1993年,,18.0,,,,,,,1667.0,,,,421.0,215.0,42.0,254.0,,,2707.0,90.0,
1994年,,20.0,,,,,,,1647.0,,,,427.0,212.0,44.0,258.0,,,2698.0,90.0,
1995年,,19.0,116.0,,,,,,1634.0,,,,425.0,209.0,45.0,261.0,,,2682.0,89.0,
1996年,,17.0,114.0,,,,,,1587.0,,,,415.0,209.0,61.0,283.0,,,2664.0,92.0,
1997年,,19.0,113.0,,,,,,1573.0,,,,432.0,204.0,59.0,283.0,,,2663.0,93.0,
1998年,,17.0,112.0,,,,,,1562.0,,,,424.0,210.0,65.0,286.0,,,2652.0,88.0,
1999年,,17.0,110.0,,,,,,1541.0,,,,410.0,209.0,74.0,295.0,,,2632.0,86.0,
2000年,,17.0,109.0,,,,,,1520.0,,,,419.0,209.0,79.0,289.0,,,2619.0,86.0,
2001年,,16.0,109.0,,,,,,1483.0,,,,385.0,188.0,112.0,323.0,,,2605.0,98.0,
2002年,,15.0,111.0,,,,,,1472.0,,,,383.0,178.0,109.0,343.0,,,2587.0,87.0,
2003年,,32.0,104.0,,,,,,1466.0,,,,361.0,189.0,104.0,361.0,,,2601.0,88.0,
2004年,,28.0,110.0,,,,,,1544.0,,,,313.0,173.0,92.0,347.0,,122.0,2759.0,140.0,
2005年,,37.0,109.0,,,,,,1531.0,,,,351.0,189.0,97.0,345.0,,137.0,2805.0,118.0,
2006年,,34.0,93.0,,,,,,1505.0,,,,330.0,194.0,109.0,380.0,,171.0,2866.0,143.0,
2007年,,49.0,116.0,,,,,,1917.0,,,,320.0,529.0,164.0,729.0,,562.0,4512.0,242.0,
2008年,,39.0,90.0,,,,,,1914.0,,,,452.0,906.0,156.0,743.0,,611.0,5114.0,293.0,
2009年,,58.0,109.0,,,,,,2333.0,,,,344.0,1117.0,190.0,1137.0,,871.0,6139.0,89.0,
2010年,16.0,97.0,108.0,4243.0,4267.0,5825.0,2247.0,765.0,2451.0,,,2597.0,351.0,1125.0,266.0,1232.0,258.0,1233.0,6864.0,109.0,374.0
2011年,17.0,97.0,109.0,4551.0,4639.0,6034.0,2213.0,755.0,2417.0,2285.0,4770.0,2416.0,340.0,1154.0,187.0,1387.0,249.0,1370.0,7055.0,103.0,291.0
2012年,17.0,122.0,114.0,4713.0,5193.0,6326.0,2399.0,755.0,2250.0,1819.0,5502.0,2128.0,308.0,1002.0,250.0,1283.0,223.0,1674.0,7321.0,432.0,209.0
2013年,20.0,,,6243.0,6113.0,7465.0,1752.0,505.0,,1601.0,6579.0,2067.0,,,,,190.0,,8180.0,,185.0
2014年,18.0,,,6910.0,6716.0,8055.0,1675.0,505.0,,1581.0,7188.0,2053.0,,,,,191.0,,8769.0,,184.0
