,木材产量,松脂产量,橡胶产量,油桐籽产量,油茶籽产量,生漆产量
1978年,5162.3,337600.0,101600.0,391150.0,478900.0,2200.0
1979年,2375.4,403500.0,108000.0,324500.0,617300.0,2700.0
1980年,5359.3,420750.0,112945.0,303350.0,490350.0,2450.0
1981年,2823.4,562300.0,128000.0,359850.0,653800.0,2950.0
1982年,2849.2,469800.0,153000.0,338500.0,493900.0,2900.0
1983年,2555.9,303600.0,172000.0,368200.0,434500.0,2750.0
1984年,2965.3,369300.0,189000.0,361600.0,535550.0,2300.0
1985年,6323.4,343946.0,187901.0,378770.0,619229.0,2168.0
1986年,2966.7,416287.2,209709.0,346227.1,437746.4,2874.1
1987年,2515.3,522917.0,237578.0,341742.0,518398.0,3296.0
1988年,2405.2,461370.0,239810.0,358697.0,462622.0,3334.0
1989年,2232.7,486837.0,242766.0,334757.0,667245.0,2950.5
1990年,5571.0,435244.0,264243.0,350770.0,523313.0,2683.0
1991年,4906.5,440431.0,296353.0,327544.0,620727.0,2945.0
1992年,5357.5,469331.0,309348.0,437154.0,629112.0,3350.0
1993年,4393.6,580780.0,326062.0,421027.0,487942.0,3376.0
1994年,3778.2,569270.0,374002.0,434539.0,630737.0,3219.0
1995年,6766.9,548133.0,424025.0,404929.0,623128.0,2976.0
1996年,6710.0,581000.0,402000.0,408000.0,697000.0,4000.0
1997年,6395.0,701000.0,452000.0,454000.0,857000.0,4000.0
1998年,5966.0,543000.0,462000.0,439000.0,723000.0,4600.0
1999年,5236.8,571000.0,490000.0,448000.0,793000.0,5300.0
2000年,4724.0,551057.0,480248.0,453461.0,823224.0,5279.0
2001年,4552.0,564000.0,477000.0,407000.0,825000.0,4942.0
2002年,4436.07,564000.0,527000.0,389000.0,855000.0,6000.0
2003年,4758.87,626000.0,565000.0,373000.0,779000.0,9000.0
2004年,5197.0,673000.0,575000.0,381000.0,875000.0,10000.0
2005年,5560.3,767134.0,513618.06,368688.0,875022.0,14316.0
2006年,6611.7786,908784.0,537983.3,382989.0,919947.0,20762.0
2007年,6976.6491,965618.0,588379.7,361285.0,939096.0,12891.0
2008年,8108.3426,849205.0,547861.43,370966.0,989859.0,15526.0
2009年,7068.2913,1046579.0,618866.43,367287.0,1169289.0,20498.0
2010年,8089.6,1115711.0,690811.7,433624.0,1092243.0,20093.0
2011年,8145.9226,1156612.0,750852.9,437702.0,1480044.0,18867.0
2012年,8174.8679,1215065.0,802254.55,427048.0,1727708.0,26027.0
2013年,8438.495,1307747.0,864805.87,418924.0,1776506.0,25154.0
2014年,8233.2955,1309520.0,840171.37,416065.0,2023445.0,22290.0
