,乡村人口,乡村户数
1978年,80319.7,17347.0
1979年,80738.7,17491.1
1980年,81096.0,17672.7
1981年,81880.7,18016.2
1982年,82798.8,18278.6
1983年,83536.0,18523.2
1984年,84300.5,18792.6
1985年,84419.7,19076.5
1986年,85007.2,19574.5
1987年,85713.1,20168.3
1988年,86725.4,20859.4
1989年,87831.0,21504.0
1990年,89590.3,22237.2
1991年,90525.1,22566.2
1992年,91154.4,22849.0
1993年,91333.7,22983.8
1994年,91526.4,23165.3
1995年,91674.8,23281.7
1996年,91940.9,23437.7
1997年,91524.6,23406.2
1998年,91960.08,23677.98
1999年,92216.25,23810.54
2000年,92819.7382,24148.7328
2001年,93382.88,24432.23
2002年,93502.5472,24569.363
2003年,93750.62,24793.14
2004年,94253.66,24971.42
2005年,94907.453,25222.6229
2006年,94813.3087,25268.39915
2007年,95094.721,25434.907
2008年,95579.6341,25663.5274
2009年,96110.5005,25975.6661
2010年,96618.9387,26384.6249
2011年,96808.57864,26606.96984
2012年,97065.6337,26802.321
2013年,,
2014年,,
