,农用塑料薄膜使用量
1978年,0.0
1979年,0.0
1980年,0.0
1981年,0.0
1982年,0.0
1983年,0.0
1984年,0.0
1985年,0.0
1986年,0.0
1987年,0.0
1988年,0.0
1989年,0.0
1990年,0.0
1991年,642145.0
1992年,780611.0
1993年,707321.0
1994年,887064.0
1995年,915487.0
1996年,1056151.0
1997年,1161532.0
1998年,1206867.0
1999年,1258674.16
2000年,1335446.33
2001年,1449286.0
2002年,1530756.2
2003年,1591670.34
2004年,1679985.23
2005年,1762325.419
2006年,1845481.83
2007年,1937467.94
2008年,2006924.27
2009年,2079696.647
2010年,2172991.392
2011年,2294535.896
2012年,2383002.281
2013年,2493183.0
2014年,0.0
