,农村发电设备容量,农村发电量,农村在建电站规模,农村当年新开工电站规模,农村新增发电设备容量,农村水电建设本年完成投资额
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,13978100.0,4181100.0,,,791000.0,348848.0
1991年,14942700.0,4066800.0,,,1009100.0,476529.0
1992年,15728195.0,4818494.0,4170000.0,,964769.0,594081.0
1993年,16622781.0,5841049.0,9600000.0,,995124.0,792747.0
1994年,17566675.0,5771834.0,10500000.0,,1163873.0,1020937.0
1995年,18721073.0,6316247.0,10760000.0,,1207854.0,1321689.0
1996年,20095552.0,6496723.0,,,1408342.0,1442828.0
1997年,21771773.0,7221270.0,,,1780352.0,1452004.0
1998年,23390300.0,7560916.0,,,1741631.0,1585787.0
1999年,25562760.0,7715124.0,8717000.0,386000.0,2344285.0,1833853.0
2000年,27487791.0,8755014.0,7459500.0,2384000.0,2060127.0,2220993.0
2001年,28787476.0,9490187.0,3547500.0,1462800.0,1714454.0,2133741.0
2002年,31044576.0,10366868.0,5680800.0,1419000.0,1883648.0,2393195.0
2003年,34157792.0,10966512.0,10850143.0,6385500.0,2702834.0,3006249.0
2004年,38655048.0,11045527.0,16652425.0,5362090.0,4363322.0,3762995.0
2005年,43090145.0,13571702.0,17727677.0,4284511.0,4964672.0,4343826.0
2006年,47196651.0,14835889.0,20653424.0,4501575.0,6403520.0,4604296.0
2007年,53855597.0,16346041.0,20944545.0,4498420.0,6578193.0,5117926.0
2008年,51274371.0,16275902.0,21239258.0,3787365.0,4194106.0,4568884.0
2009年,55121211.0,15672471.0,12890100.0,2194445.0,3807072.0,4563240.0
2010年,59240190.6,20444256.42,13700560.0,2425973.0,3793551.0,4398452.91
2011年,62123430.0,17566867.0,10309266.0,1585709.0,3277465.0,4243988.0
2012年,65686071.0,21729246.0,9947388.0,1658258.0,3399616.0,3671548.0
2013年,71186268.0,22327712.0,9477045.0,1357859.0,2460601.0,3457046.81
2014年,73221047.0,22814929.0,9666971.0,939855.0,2553873.0,3171306.0
