,园林水果产量,柑桔产量,柿子产量,梨产量,水果产量,瓜类产量,甜瓜产量,红枣产量,红毛茶产量,绿毛茶产量,苹果产量,茶叶产量,草莓产量,菠萝产量,葡萄产量,西瓜产量,香蕉产量
1978年,656.97,38.27,71.565,151.695,0.0,0.0,0.0,34.885,0.0,0.0,227.515,26.8,0.0,6.62,10.385,0.0,8.535
1979年,701.455,58.165,50.65,143.795,0.0,0.0,0.0,33.89,0.0,0.0,286.88,27.715,0.0,7.745,12.565,0.0,7.445
1980年,679.255,71.26,56.04,146.63,0.0,0.0,0.0,37.16,7.1,17.8,236.31,30.37,0.0,7.52,11.0,0.0,6.13
1981年,780.085,79.755,50.55,159.34,0.0,0.0,0.0,39.78,6.11,21.445,300.575,34.26,0.0,9.055,14.75,0.0,12.625
1982年,771.295,93.89,48.245,175.525,0.0,0.0,0.0,42.61,6.905,24.74,242.955,39.73,0.0,13.435,18.595,0.0,20.12
1983年,948.705,129.64,55.315,179.51,0.0,0.0,0.0,38.73,6.815,24.2,354.105,40.055,0.0,12.465,24.71,0.0,20.665
1984年,984.53,149.875,60.795,209.99,0.0,0.0,0.0,43.935,7.595,24.25,294.12,41.415,0.0,13.195,29.385,0.0,29.99
1985年,1163.94564,180.8347,67.98733,213.6766,0.0,0.0,0.0,43.20377,8.69296,23.8455,361.4111,43.2337,0.0,18.3157,36.1409,0.0,63.1017
1986年,1347.74709,254.7983,65.56715,234.76,0.0,0.0,0.0,54.46479,12.4003,25.69799,333.67834,46.04675,0.0,30.2668,44.159,0.0,125.1094
1987年,1667.9158,322.3848,76.063,248.904,0.0,0.0,0.0,57.1508,12.5386,30.10894,426.3836,50.79718,0.0,41.163,64.0878,0.0,202.9498
1988年,1666.1004,256.0013,73.2921,272.1242,0.0,0.0,0.0,52.0072,11.4386,34.5474,434.4394,54.5417,0.0,48.5151,79.2247,0.0,182.9672
1989年,1831.9316,456.1104,65.0283,256.4959,0.0,0.0,0.0,45.4446,13.1255,31.4333,449.892,53.4876,0.0,51.0954,87.4245,0.0,140.3736
1990年,1874.4222,485.4935,62.4773,235.2753,0.0,0.0,0.0,42.3222,10.968,33.2502,431.9315,54.007,0.0,46.2549,85.8525,0.0,145.5927
1991年,2176.1256,633.2543,64.1576,249.776,0.0,0.0,0.0,44.9392,8.336,35.7373,454.0445,54.1581,0.0,42.9222,91.5882,0.0,198.117
1992年,2440.093,516.0081,72.4329,284.6121,0.0,0.0,0.0,48.8183,7.5501,38.3302,655.5836,55.9827,0.0,44.1682,112.5102,0.0,245.0988
1993年,3011.2154,656.0974,78.9113,321.713,0.0,0.0,0.0,52.2874,7.4614,42.0721,906.9557,59.9941,0.0,45.4748,135.477,0.0,270.068
1994年,3499.8152,680.5445,82.687,404.2932,0.0,0.0,0.0,65.0196,7.585,40.2877,1112.9017,58.8468,0.0,48.5019,152.2083,0.0,289.7832
1995年,4214.6267,822.4984,96.9353,494.2445,0.0,0.0,0.0,78.2069,5.2003,41.3784,1400.7662,58.8553,0.0,53.9408,174.1707,0.0,312.5003
1996年,4652.8224,845.7,102.5218,580.7,4652.8,3467.9832,363.5773,77.8537,5.0229,42.4157,1704.7,59.3,0.0,49.2766,188.3142,2806.6914,253.6
1997年,5089.3223,1010.2,107.5417,641.5,5089.3,3892.7935,411.29,93.6058,4.9515,44.3164,1721.9,61.3,0.0,52.7288,203.2805,3289.7731,289.2
1998年,5452.8533,859.0,131.4136,727.5,5452.9,5112.5916,484.6492,110.3613,5.6827,48.0211,1948.1,66.5,0.0,64.4925,235.8219,4452.6002,351.8
1999年,6237.6432,1078.7,148.1327,774.2,6237.6,5463.2036,576.7125,110.3373,4.8899,49.6986,2080.2,67.6,0.0,88.2616,270.8127,4616.4883,419.4
2000年,6225.14703,878.3129,159.1906,841.241276,6225.14703,0.0,0.0,130.6036,4.7294,49.8057,2043.122971,68.3324,0.0,85.6517,328.16984,0.0,494.1454
2001年,6657.9966,1160.6915,158.4665,879.6097,6658.0377,6843.6234739,742.51547,130.8633,4.2949,51.3154,2001.4986,70.1699,0.0,86.9049,368.0,5717.827139,527.2352
2002年,6951.9803,1199.0,174.05912,930.9,6952.0,7422.600442,864.80451,157.3698,4.3547,54.6124,1924.1,74.5,139.43841,82.73065,447.9453,6256.311524,555.7
2003年,7551.5217,1345.3709,179.511,979.8424,14517.4,6965.8899,824.2342,171.8689,3.9948,56.9907,2110.1776,76.814,169.791,82.1868,517.5939,5800.236,590.3279
2004年,8394.1334,1495.8302,199.8214,1064.2287,15340.9,6946.7486,806.4228,201.1217,4.3689,61.3709,2367.5473,83.5231,185.8505,80.8254,567.5318,5751.5429,605.6148
2005年,8835.5015,1591.914881,218.5041,1132.351434,16120.0949,7284.593355,882.57312,248.8506,4.7941,69.102,2401.1081,93.485729,195.707505,84.8902,579.441108,5989.34315,651.8128
2006年,9599.224702,1789.832851,232.0346,1198.608274,17101.967422,7502.74272,950.577513,305.286,4.834,76.385594,2605.929804,102.8064,187.422982,89.070088,627.075639,6184.516405,690.124892
2007年,10520.32315,2058.270789,257.41429,1289.500499,18136.287387,7615.964237,1034.09203,303.062266,5.3165,87.153437,2785.993462,116.549987,187.179985,90.509044,669.681372,6203.615782,779.665565
2008年,11338.924675,2331.258394,271.099827,1353.814226,19220.188771,7881.264096,1193.370844,363.4071,6.9692,92.658672,2984.660915,125.759972,200.04043,93.363274,715.1484,6282.169029,783.467249
2009年,12246.393025,2521.102439,283.416516,1426.297852,20395.505417,8149.112392,1215.338735,424.777293,7.1944,100.630205,3168.078798,135.86418,220.60083,104.256275,794.061202,6478.467878,883.390438
2010年,12865.269149,2645.244741,287.556541,1505.708406,21401.412742,8536.181067,1226.736537,446.833466,6.8134,104.638186,3326.328959,147.5069,233.00279,107.604212,854.894583,6818.10037,956.05223
2011年,14083.3015608,2944.0354523,318.723866,1579.4801468,22768.1825966,8684.8810358,1278.4727483,542.6761926,11.36793,113.764636,3598.4832415,162.321377,249.076797,119.10621,906.7464335,6889.3470853,1039.99618
2012年,15104.4382657,3167.79601122,341.758585144,1707.30257048,24056.836207,8952.3979413,1331.58299925,588.71213421,13.2415900264,124.782657168,3849.0692163,178.975261,276.086391076,128.709495,1054.31536135,7071.26752897,1155.795026
2013年,0.0,3320.9414292,353.8823,1730.0751215,25093.0384999,9321.7794,1433.6814,633.9973,15.9967,131.3362,3968.2618348,192.445736,0.0,138.6361,1155.0024316,7294.3838,1207.523758
2014年,0.0,3492.66322285,0.0,1796.43544334,26142.2437245,0.0,0.0,0.0,0.0,0.0,4092.31751495,209.571696,0.0,0.0,1254.57875246,0.0,1179.193317
