,实有茶园面积,本年采摘茶园面积
1978年,1047.53333333,
1979年,1050.6,
1980年,1040.8,660.866666667
1981年,1060.8,705.466666667
1982年,1096.93333333,752.133333333
1983年,1104.73333333,785.333333333
1984年,1077.4,777.933333333
1985年,1044.86666667,795.933333333
1986年,1023.93333333,803.8
1987年,1044.06666667,809.466666667
1988年,1055.93333333,816.933333333
1989年,1065.0,821.4
1990年,1061.33333333,822.0
1991年,1060.13333333,828.866666667
1992年,1084.2,840.3
1993年,1170.8,911.0
1994年,1134.8,884.0
1995年,1115.3,868.2
1996年,1103.0,870.5
1997年,1076.2,868.3
1998年,1056.462,859.501
1999年,1130.31,909.36
2000年,1088.95303333,879.616033333
2001年,1140.67313333,887.7152
2002年,1134.2362,894.562682018
2003年,1207.246,925.102
2004年,1262.31,971.78
2005年,1351.93946667,1041.18617333
2006年,1431.27293333,1100.16334667
2007年,1613.31472667,1200.84528
2008年,1719.42387333,1283.19232
2009年,1848.54086667,1327.98186667
2010年,1970.09846667,1426.06128867
2011年,2112.50923333,1644.66273033
2012年,2279.943686,1735.20382667
2013年,2468.8,1857.2
2014年,,
