,果园面积,柑桔园面积,梨园面积,苹果园面积,葡萄园面积,香蕉园面积
1978年,1657.0,177.866666667,278.933333333,678.866666667,26.3333333333,4.53333333333
1979年,1755.93333333,214.733333333,298.933333333,738.533333333,29.2266666667,4.66666666667
1980年,1782.7,260.133333333,299.333333333,742.933333333,31.6,5.26666666667
1981年,1796.6,274.333333333,295.733333333,726.6,37.4666666667,5.2
1982年,1951.66666667,322.0,297.266666667,720.8,46.6666666667,9.13333333333
1983年,2014.6,353.4,294.6,726.133333333,58.4666666667,13.3333333333
1984年,2218.93333333,401.266666667,301.333333333,756.866666667,64.2,18.6666666667
1985年,2736.0,506.933333333,337.933333333,865.4,86.6666666667,47.3333333333
1986年,3671.6,672.133333333,394.533333333,1173.8,114.733333333,71.6
1987年,4508.2,863.8,441.666666667,1440.93333333,142.733333333,152.666666667
1988年,5065.8,955.266666667,487.466666667,1660.46666667,146.6,141.866666667
1989年,5371.86666667,1025.93333333,481.866666667,1689.93333333,138.666666667,110.8
1990年,5179.0,1061.2,480.666666667,1633.13333333,122.6,108.8
1991年,5318.0,1122.73333333,482.866666667,1661.46666667,113.933333333,132.933333333
1992年,5818.0,1087.3,521.2,1914.5,139.0,182.0
1993年,6432.0,1130.3,597.1,2250.3,133.6,187.8
1994年,7264.0,1123.9,750.0,2690.3,148.9,150.8
1995年,8098.0,1214.1,859.4,2953.1,152.5,189.83
1996年,8553.0,1279.8,931.9,2986.8,153.5,175.5
1997年,8648.0,1309.2,924.0,2838.3,157.9,180.0
1998年,8535.0,1270.422,927.802,2621.473,176.441,178.022
1999年,8667.0,1282.83,976.67,2439.14,223.21,202.69
2000年,8932.0,1271.778,1014.64093333,2254.13426667,282.9728,249.1866
2001年,9042.5538,1323.68373333,1026.45706667,2066.21726667,334.377,244.9818
2002年,9097.86506667,1404.52706667,1042.26173333,1938.30666667,392.334666667,247.938266667
2003年,9436.518,1505.72533333,1061.509,1900.371,420.834,255.526
2004年,9768.18,1627.23,1078.6,1876.6,413.5,264.42
2005年,10034.7984,1717.013,1112.04166667,1890.366,407.919333333,276.347666667
2006年,10122.5560667,1814.59426667,1087.1078,1898.877,418.728,285.649533333
2007年,10471.1278667,1941.37966,1071.28279667,1961.84224,438.297563333,306.618
2008年,10734.2591333,2030.81800667,1074.46806667,1992.26212333,451.217,317.821066667
2009年,11139.5087567,2160.2596,1074.30523333,2049.11303333,493.4346,338.761146667
2010年,11543.8505367,2210.99123333,1063.13546333,2139.94133667,551.98504,357.332366667
2011年,11830.55164,2288.30002,1085.54373333,2177.31503333,596.933266667,386.04326
2012年,12139.925533,2306.26089267,1088.57018433,2231.34746,665.600133333,394.696
2013年,12371.3547233,2422.2,1111.7,2272.2,714.6,392.0
2014年,13127.2398116,0.0,0.0,0.0,0.0,0.0
