,农业机械总动力,农用大中型拖拉机动力,农用大中型拖拉机数量,农用排灌柴油机动力,农用排灌柴油机数量,农用排灌电动机动力,农用排灌电动机数量,大中型拖拉机配套农具,小型拖拉机动力,小型拖拉机数量,小型拖拉机配套农具,机动脱粒机数量,渔用机动船动力,渔用机动船数量,联合收割机动力,联合收割机数量
1978年,11749.9,1755.033,557358.0,2521.5645,2657000.0,2253.4,2256000.0,1192000.0,1171.2225,1373000.0,1454000.0,2106000.0,213.591,47176.0,0.0,18987.0
1979年,13379.5,2103.9713,666823.0,2665.698,2813000.0,2532.8,2436000.0,1313000.0,1433.4895,1671000.0,1934000.0,2328000.0,230.2,52225.0,0.0,23026.0
1980年,14745.7453,2369.26615,744865.0,2717.6625,2899000.0,2728.5,2583000.0,1369000.0,1615.52575,1874000.0,2191000.0,2498000.0,258.4547,61022.0,105.8447753,27045.0
1981年,15680.1,2522.667,792032.0,2673.342,2855000.0,2790.3,2691000.0,1390000.0,1759.8105,2037000.0,2215000.0,2517000.0,293.17841475,73586.0,134.8725,31268.0
1982年,16614.2095,2613.15795,812447.0,2653.2765,2842000.0,2932.209,2834000.0,1374000.0,1988.86555,2287000.0,2305000.0,2584000.0,322.2961,95692.0,141.0689,33904.0
1983年,18021.9,2708.111,840776.0,2701.272,2947000.0,3022.32,3030000.0,1308000.0,2391.6989,2750000.0,2623000.0,2999000.0,326.78265,120167.0,153.79305,35728.0
1984年,19497.2224,2719.65835,853914.0,2616.012,2890000.0,3113.46,3166000.0,1170000.0,2887.2788,3298000.0,2918200.0,3233000.0,335.16735,143430.0,160.70675,35861.0
1985年,20912.5,2743.63565,852357.0,2566.032,2865000.0,3149.2545,3216000.0,1128000.0,3366.9719,3824000.0,3202000.0,3441000.0,367.1616,172582.0,163.281,34573.0
1986年,22950.0,2807.0,866463.0,2690.0,3043000.0,3291.0,3369000.0,1006000.0,4003.0,4526000.0,3830000.0,3676000.0,424.0,205923.0,140.0,30945.0
1987年,24836.0,2876.0,880952.0,2818.0,3202000.0,3397.0,3547000.0,1035000.0,4713.0,5300000.0,4134000.0,3971000.0,486.0,238628.0,173.0,33802.0
1988年,26575.0,2896.0,870187.0,2998.0,3492000.0,3517.0,3915000.0,971000.0,5319.0,5958000.0,5201000.0,4491000.0,545.0,262126.0,177.0,35004.0
1989年,28067.0,2814.0,848220.0,3207.0,3867000.0,3607.0,4132000.0,991000.0,5848.0,6543000.0,6043000.0,4525000.0,609.0,289205.0,184.0,36582.0
1990年,28707.7,2745.5,813521.0,3348.5,4111000.0,3748.8,4308000.0,974000.0,6231.4,6981000.0,6488000.0,4933000.0,696.0,320927.0,190.9,38719.0
1991年,29388.6,2682.4,784466.0,3447.1,4330000.0,3785.9,4541000.0,991000.0,6528.6,7304000.0,7327000.0,5181000.0,733.4,329843.0,213.1,43996.0
1992年,30308.4,2630.2,758904.0,3441.6,4377000.0,3867.8,4683000.0,1044000.0,6604.0,7507000.0,8308000.0,5325000.0,786.1,335875.0,228.7,51075.0
1993年,31816.6,2532.5,721216.0,3613.0,4554275.0,3900.6,4800000.0,1001000.0,7042.8,7883400.0,8657000.0,5793511.0,804.4,334656.0,236.5,56304.0
1994年,33802.5,2463.4,693154.0,3730.95,4711516.0,4098.8,5132538.0,979719.0,7399.7,8236687.0,8662000.0,5759844.0,831.1,351327.0,253.7,63918.0
1995年,36118.1,2404.1,671846.0,3839.1,4912068.0,4038.1,5352244.0,991220.0,7848.1,8646356.0,9579774.0,6058837.0,965.7,376813.0,242.7,75351.0
1996年,38546.9,2415.1,670848.0,3984.94,5092934.0,4405.3,5712027.0,1049900.0,8385.2,9189200.0,10911500.0,6608748.0,864.1,358869.0,302.0,96378.0
1997年,42015.6,2486.6,689051.0,4292.7,5461235.0,4569.4,6270727.0,1157316.0,9337.4,10484813.0,12530020.0,6934379.0,1083.99,400010.0,370.9,141312.0
1998年,45207.7,2587.89,725215.0,4498.95,5816118.0,4726.73,6644916.0,1203687.0,10031.49,11220551.0,14378324.0,7607702.0,1174.42,411322.0,467.45,182629.0
1999年,48996.12,2772.76,784216.0,4934.57,6449528.0,4843.58,7005389.0,1320429.0,11008.93,12002509.0,16210408.0,8340276.0,1253.07,417379.0,570.45,226036.0
2000年,52573.6063,3161.1152,974547.0,5232.6453,6881174.0,4983.893,7413111.0,1399886.0,11663.8699,12643696.0,17887868.0,8761800.0,1338.6824,459888.0,660.9269,262578.0
2001年,55172.1,2901.68,829900.0,5579.9917,7285693.0,5115.8708,7756695.0,1469355.0,12257.9166,13050840.0,18821829.0,9034737.0,1379.6633,480125.0,744.4712,282871.0
2002年,57929.85,3073.42,911670.0,5667.8854,7506066.0,5301.8019,8109120.0,1578861.0,12694.9879,13393884.0,20033634.0,8982654.0,1381.176,485693.0,855.72,310147.0
2003年,60386.541,3229.83,980560.0,5592.746,7495652.0,5336.05,8370559.0,1698436.0,13060.16,13777056.0,21171505.0,8836967.0,1425.941,478123.0,1085.799,365041.0
2004年,64027.91,3713.09,1118636.0,5804.19,7775427.0,5459.81,8835399.0,1887110.0,13855.41,14549279.0,23096911.0,9147243.0,1384.2,486878.0,1265.6,410520.0
2005年,68397.8486,4293.4897,1395981.0,6033.9615,8099100.0,5635.8192,9214863.0,2262004.0,14660.8601,15268916.0,24649726.0,9262031.0,1376.1035,439604.0,1549.94595,480378.0
2006年,72522.1234,5245.2955,1718247.0,6148.7737,8363525.0,5862.4897,10060504.5,2615014.0,15229.0782,15678994.5,26265699.0,9656410.0,1498.2973,492126.0,1896.191175,565578.0
2007年,76589.563462,6101.052376,2062731.0,6282.75439,8614952.0,6055.4294,10364935.0,3082785.0,15729.230276,16191147.0,27329552.0,9872961.0,1605.261,524848.0,2194.542706,633784.0
2008年,82190.4132,8186.4957,2995214.0,6561.6936,8983851.0,6347.0492,10863833.0,4353649.0,16647.6635,17224101.0,27945401.0,9631477.0,0.0,0.0,2707.3747,743474.0
2009年,87496.1,9772.5979,3515757.0,6795.4508,9249167.0,6548.1519,11347984.0,5420586.0,16922.6874,17509031.0,28805621.0,9879424.0,0.0,0.0,3364.3146,858372.0
2010年,92780.4757,11166.9875,3921723.0,6959.2345,9462526.0,6796.1425,11761542.0,6128598.0,17278.3893,17857921.0,29925485.0,10167963.0,1582.9,2476000.0,4042.3199,992062.0
2011年,97734.658521,12850.152593,4406471.0,7104.542482,9683914.0,7012.18539,12130377.0,6989501.0,17420.966478,18112663.0,30620134.0,10018720.0,0.0,3016000.0,4730.973239,1113708.0
2012年,102558.96,14436.39,4852400.0,7163.88,9823100.0,7157.37,12488100.0,7635200.0,17467.36,17972300.0,30806220.0,10423200.0,0.0,3488000.0,5670.54,1278821.0
2013年,103906.7505,0.0,5270200.0,0.0,9347000.0,0.0,9347000.0,8266200.0,0.0,17522800.0,30492100.0,10075800.0,0.0,0.0,0.0,1421000.0
2014年,108056.58,0.0,5679500.0,0.0,9361300.0,0.0,0.0,8896400.0,0.0,17297700.0,30536300.0,0.0,0.0,0.0,0.0,0.0
