,大牲畜年底头数,山羊年底只数,牛期末数量,猪年底头数,绵羊年底只数,羊年底只数,马期末数量,驴期末数量,骆驼期末数量,骡期末数量
1978年,9389.2,7354.0,7072.4,30128.5,9639.7,16993.7,1124.5,748.1,43.443,386.8
1979年,9459.1,8057.3,7134.6,31970.5,10256.8,18314.2,1114.5,747.3,60.4,402.3
1980年,9524.6,8068.4,7167.6,30543.1,10662.7,18731.1,1104.2,774.8,61.4,416.6
1981年,9764.1,7826.4,7330.1,29370.2,10946.6,18773.0,1097.2,841.5,62.8,432.5
1982年,10112.7,7522.2,7607.3,30078.3,10656.8,18179.0,1098.1,899.9,61.0,446.4
1983年,10349.6,6803.5,7808.4,29853.6,9891.6,16695.1,1080.6,944.9,56.4,459.3
1984年,10838.9,6320.7,8212.8,30679.2,9519.3,15840.0,1097.8,996.2,53.1,479.0
1985年,11381.8,6167.4,8682.0,33139.6,9421.0,15588.0,1108.1,1041.5,53.0,497.2
1986年,11896.1,6722.0,9166.7,33719.1,9900.9,16623.0,1098.8,1068.9,50.4,511.3
1987年,12191.1,7768.7,9465.1,32773.3,10265.5,18034.0,1069.1,1084.6,47.5,524.8
1988年,12537.8,9095.6,9794.8,34221.8,11057.1,20153.0,1054.0,1105.2,47.2,536.6
1989年,12804.8,9813.4,10075.2,35281.0,11350.8,21164.0,1029.4,1113.6,47.5,539.1
1990年,13021.3,9720.5,10288.4,36240.8,11281.6,21002.0,1017.4,1119.8,46.3,549.4
1991年,13174.55,9535.5,10459.2,36964.6,11085.5,20621.0,1009.4,1115.8,44.1,560.6
1992年,13485.1,9761.0,10784.0,38421.1,10971.9,20732.9,1001.7,1098.3,40.1,561.0
1993年,13987.5,10569.6,11315.7,39300.1,11161.8,21731.4,995.9,1088.6,37.3,549.8
1994年,14918.68,12308.31,12331.81,41461.54,11744.43,24052.79,1003.8,1092.27,35.63,555.19
1995年,15861.67,14959.28,13206.01,44169.19,12726.31,27685.59,1007.09,1074.51,35.08,538.85
1996年,13360.2,12315.8,11031.8,36283.6,11412.5,23728.3,871.5,944.4,34.5,478.0
1997年,14541.8,13480.1,12182.2,40034.8,12095.6,25575.7,891.2,952.8,35.0,480.6
1998年,14803.2,14168.3,12441.9,42256.3,12735.2,26903.5,898.1,955.8,33.5,473.9
1999年,15024.8,14816.3,12698.3,43144.2,13109.5,27925.8,891.4,934.8,33.0,467.3
2000年,14638.1124454,14945.6029756,12353.1524454,41633.6087513,13002.6166664,27948.2196421,876.58,922.73,32.62,453.03
2001年,13980.9,14562.3,11809.2,41950.5,13062.8,27625.0,826.0,881.5,27.9,436.2
2002年,13672.3,14841.2,11567.8,41776.2,13399.7,28240.9,808.7682,849.8838,26.43,419.4445
2003年,13467.3,14967.9,11434.4,41381.8,14339.5,29307.4,790.02,820.69,26.49,395.74
2004年,13191.4,15195.5,11235.4,42123.4,15230.5,30426.0,763.8511,791.9142,26.22,373.9537
2005年,12894.8371961,14658.9611051,10990.7830961,43319.1061222,15133.7072107,29792.6683158,739.9645,777.1569,26.56,360.3727
2006年,12287.1017952,13768.0150327,10465.1136952,41850.3856713,14601.7979673,28369.813,719.4559,730.5568,26.91,345.0654
2007年,12309.3475521,14336.4675625,10594.7896097,43989.4596501,14228.2471163,28564.7146788,702.766085549,689.139965236,24.2,298.451891605
2008年,12250.6923025,15229.217708,10575.9973025,46291.3307048,12855.7390591,28084.9244671,682.0901,673.1372,24.0,295.4677
2009年,12357.5662317,15050.1,10726.5304317,46996.0409594,13402.1,28452.2,678.4973,648.4199,24.8315,279.2871
2010年,12238.5134999,14203.9256091,10626.4333999,46460.0093436,13883.9657145,28087.8913236,677.062,639.6666,25.6315,269.72
2011年,11966.1769471,14274.2351983,10360.4618471,46862.7,13961.5450497,28235.782148,670.8668,647.7879,27.2803,259.7801
2012年,11891.7776108,14136.1490422,10343.4054108,47592.2449624,14367.9848849,28504.1339271,633.477,636.1496,29.5016,249.2389
2013年,11853.172322,14034.5405142,10385.144922,47411.2598007,15001.7166297,29036.2571439,602.7401,603.3519,31.5836,230.3518
2014年,12022.904461,14465.9169974,10578.043361,46582.7444308,15849.0035947,30314.9250809,604.3327,582.6119,33.3523,224.5642
