,乡数,乡镇数,村民委员会数,镇数
1978年,0.0,52781.0,690388.0,0.0
1979年,0.0,53348.0,698613.0,0.0
1980年,0.0,54183.0,709820.0,0.0
1981年,0.0,54371.0,718022.0,0.0
1982年,0.0,54352.0,719438.0,0.0
1983年,0.0,56331.0,750141.0,0.0
1984年,0.0,72182.0,933485.0,0.0
1985年,62851.0,72153.0,940617.0,9302.0
1986年,61766.0,71521.0,847894.0,9755.0
1987年,58016.0,68296.0,830302.0,10280.0
1988年,45393.0,56002.0,740375.0,10609.0
1989年,44704.0,55764.0,746432.0,11060.0
1990年,44446.0,55838.0,743278.0,11392.0
1991年,43660.0,55542.0,804153.0,11882.0
1992年,34115.0,48250.0,806032.0,14135.0
1993年,32956.0,48179.0,802352.0,15223.0
1994年,31642.0,48075.0,802052.0,16433.0
1995年,29854.0,47136.0,740150.0,17282.0
1996年,27486.0,45484.0,740128.0,17998.0
1997年,26287.0,44689.0,739447.0,18402.0
1998年,26402.0,45462.0,739980.0,19060.0
1999年,25557.0,44741.0,737429.0,19184.0
2000年,24043.0,43735.0,734715.0,19692.0
2001年,20606.0,40161.0,709257.0,19555.0
2002年,19243.0,39054.0,694515.0,19811.0
2003年,18440.0,38028.0,678589.0,19588.0
2004年,17781.0,36952.0,652718.0,19171.0
2005年,16621.0,35509.0,640139.0,18888.0
2006年,15629.0,34461.0,631183.5,18832.0
2007年,15468.0,34052.0,621046.0,18584.0
2008年,15067.0,34301.0,603589.0,19234.0
2009年,14848.0,34170.0,599078.0,19322.0
2010年,14571.0,33981.0,594658.0,19410.0
2011年,13587.0,33270.0,589874.0,19683.0
2012年,13281.0,33162.0,588407.0,19881.0
2013年,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0
