,乡村办水电站个数,乡村办水电站装机容量,农村用电量,农用化肥施用折纯量,农用复合肥施用折纯量,农用氮肥施用折纯量,农用磷肥施用折纯量,农用钾肥施用折纯量,有效灌溉面积
1978年,82387.0,228.4,253.1,884.0,0.0,0.0,0.0,0.0,44965.0
1979年,83224.0,276.3,282.7,1086.3,0.0,0.0,0.0,0.0,45003.1333333
1980年,80319.0,304.1,320.8,1269.4,27.2,934.2,273.3,34.6,44888.0666667
1981年,74017.0,336.0,369.9,1334.9,0.0,0.0,0.0,0.0,44573.8
1982年,66256.0,353.0,396.9,1513.4,0.0,0.0,0.0,0.0,44176.8666667
1983年,62328.0,346.3,435.2,1659.8,86.2,1163.8,351.4,58.4,44644.0666667
1984年,60062.0,361.5,464.0,1739.8,126.5,1215.3,328.6,69.4,44453.0
1985年,55754.0,380.2,508.9,1775.8,179.6,1204.9,310.9,80.4,44035.9
1986年,54136.0,387.9,586.7,1930.6,180.8,1312.6,359.8,77.4,44225.8
1987年,51978.0,394.1,658.8,1999.3,208.7,1326.8,371.9,91.9,44403.0
1988年,51558.0,461.1,712.0,2141.5,241.2,1417.1,382.1,101.2,44375.91
1989年,50862.0,416.8,790.5,2357.1,280.9,1536.8,418.9,120.5,44917.2
1990年,52387.0,428.8,844.5,2590.3,341.6,1638.4,462.4,147.9,47403.1
1991年,49644.0,456.88,963.2,2805.1,405.5,1726.1,499.6,173.9,47822.1
1992年,48082.0,478.7,1106.9,2930.2,462.4,1756.1,515.7,196.0,48590.1
1993年,45153.0,481.9,1244.9,3151.9,529.4,1835.1,575.1,212.3,48727.9
1994年,48722.0,503.6,1473.9,3317.9,600.6,1882.0,600.7,234.8,48759.1
1995年,40699.0,519.5,1655.7,3593.7,670.8,2021.9,632.4,268.5,49281.2
1996年,37743.0,533.7,1812.7,3827.9,734.7,2145.3,658.4,289.6,50381.0
1997年,36117.0,562.5,1980.1,3980.7,798.1,2171.7,689.1,322.0,51239.0
1998年,33185.0,634.8,2042.1,4084.0,822.0,2233.3,682.5,345.7,52296.0
1999年,31678.0,664.1,2173.4,4124.3,880.03,2180.94,697.78,365.64,53158.0
2000年,29962.0,698.5,2421.295147,4146.4122,917.87,2161.5,690.471,376.4953,53820.33
2001年,29183.0,896.6,2610.8,4253.7634,983.6852,2164.1123,705.7297,399.5662,54249.3910667
2002年,27633.0,812.2,2993.4,4339.39,1040.35,2157.31,712.23,422.37,54355.0
2003年,26696.0,862.3,3432.9,4411.6,1109.8301,2149.8891,713.8587,438.0124,54014.0
2004年,27115.0,993.8,3933.0,4636.6,1204.0,2221.89,735.96,467.29,54478.0
2005年,26726.0,1099.2,4375.70163868,4766.2183,1303.1794,2229.2897,743.8405,489.4527,55029.339
2006年,27493.0,1243.0,4895.8,4927.6928,1385.85308321,2262.49635854,769.505338551,509.746719699,55750.4959
2007年,27664.0,1366.6,5509.9,5107.83205,1502.97892,2297.20775,773.0154,533.61868,56518.3426667
2008年,44433.0,5127.4371,5713.151959,5239.022745,1608.600449,2302.879554,780.077092,545.19595,58471.680387
2009年,44430.0,5116.7,6104.4391,5404.4,1698.7,2329.9,797.7,564.3,59261.4
2010年,44815.0,5924.0,6632.346918,5561.67996567,1798.50172982,2353.68191804,805.641896372,586.442321446,60347.698
2011年,45151.0,6212.3,7139.615368,5704.2356468,1895.08581794,2381.41669471,819.190088081,605.128943168,61681.5613
2012年,45799.0,6568.6071,7508.4608477,5838.84898,1989.969501,2399.886854,828.572324,617.713501,62490.5240113
2013年,46849.0,7119.0,8549.52391027,5911.863706,2057.478018,2394.244413,830.612698,627.419377,63473.303742
2014年,47073.0,7322.0,8884.44749335,5995.93803986,2115.80751653,2392.85505292,845.339332273,641.936891137,64539.528895
