,国有农场农作物播种面积,国有农场农场数,国有农场农用化肥施用量(折纯量)数,国有农场农用排灌动力机械数,国有农场农用机械总动力,国有农场农用载重汽车数,国有农场大中型农用拖拉机数,国有农场大牲畜年末数,国有农场小型及手扶拖拉机数,国有农场干胶产量,国有农场果园年末实有面积,国有农场桑园年末实有面积,国有农场棉花总产量,国有农场棉花播种面积,国有农场橡胶园年末实有面积,国有农场水产品产量,国有农场水果产量,国有农场油料总产量,国有农场油料播种面积,国有农场牛奶产量,国有农场猪年末数,国有农场猪牛羊肉产量,国有农场猪肉产量,国有农场禽蛋产量,国有农场粮食作物播种面积,国有农场粮食总产量,国有农场糖料总产量,国有农场糖料播种面积,国有农场绵羊年末数,国有农场羊年末数,国有农场羊毛产量,国有农场耕地面积,国有农场职工人数,国有农场联合收割机数,国有农场茶叶产量,国有农场茶园年末实有面积,国有农场麻类总产量,国有农场麻类播种面积,按当年价格计算国有农场农业总产值
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,4396.4,2301.0,191.5,7.1341,97.5,2.4875,6.8802,227.3,9.5327,21.3207,136.666666667,0.666666666667,17.4,221.8,395.133333333,17.1,57.8,30.0,335.133333333,86.1,379.3,37.6,24.9,15.8,3194.66666667,913.9,457.5,132.866666667,728.6,860.4,1.9,4651.26666667,491.9,1.9319,5.9,56.5333333333,1.9,10.1333333333,184.9
1989年,4594.13333333,2312.0,210.7,7.5828,103.0,2.539,6.999,229.9,10.824,21.5194,140.066666667,0.666666666667,18.8,219.466666667,398.4,18.1,69.6,31.3,304.0,89.4,403.7,41.0,27.8,17.5,3412.86666667,1056.2,486.0,129.466666667,759.4,901.6,2.0,4662.33333333,536.5,1.8182,6.1,57.2,1.3,5.53333333333,215.3
1990年,4742.33333333,2335.0,239.2,7.8217,104.6,2.4905,6.8993,238.5,11.005,23.1391,139.666666667,0.933333333333,28.8,263.533333333,401.4,19.8,69.0,39.0,332.4,97.0,399.2,37.8,30.1,18.7,3493.13333333,1251.8,658.7,158.333333333,777.6,925.8,2.1,4706.26666667,548.4,1.7445,6.1,58.0,1.5,4.4,240.5
1991年,4498.1,2166.0,237.3,8.71,95.1,2.1998,6.4825,226.7,10.88,25.3217,131.3,1.4,35.1,317.7,401.3,20.5,68.3,37.1,314.7,103.9,359.7,37.2,28.9,19.9,3223.7,1055.6,641.9,163.0,737.0,870.7,21000.0,4464.0,536.6,1.5427,4.5,45.1,0.5,2.3,238.0
1992年,4314.4,2149.0,243.7,8.855,96.4,2.0336,6.4512,225.3,11.0672,26.2399,133.0,2.2,37.2,355.9,401.2,22.6,74.5,38.1,318.3,111.8,372.0,39.7,31.1,9.1,3000.1,1089.2,752.7,166.4,707.3,838.3,19000.0,4517.0,541.9,1.534,4.6,45.0,0.6,2.3,255.5
1993年,4431.4,2159.0,237.4,9.39,97.6,2.06,6.3457,224.5,12.68,,148.5,2.2,38.6,340.2,393.0,25.3,81.5,33.5,288.9,105.1,391.2,42.3,33.4,20.9,3167.8,1109.1,644.4,149.0,707.5,841.2,19000.0,4482.0,532.3,1.5037,4.8,45.2,0.7,2.5,302.1
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
